a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3883.37_3883.37	2920.05_2920.05	2196.07_2196.07
251	3848.56_3848.56	2919.83_2919.83	2366.59_2366.59
252	4014.33_4014.33	3018.96_3018.96	2443.09_2443.09
253	3886.79_3886.79	2763.39_2763.39	2283.54_2283.54
254	3763.17_3763.17	2805.8_2805.8	2376.19_2376.19
255	3844.61_3844.61	2851.21_2851.21	2284.25_2284.25
256	3886.91_3886.91	2909.73_2909.73	2294.03_2294.03
257	3780.69_3780.69	2868.37_2868.37	2340.44_2340.44
258	3852.5_3852.5	2847.91_2847.91	2433.65_2433.65
259	3854.64_3854.64	2959.98_2959.98	2218.99_2218.99
260	3843.74_3843.74	2957.85_2957.85	2387.37_2387.37
261	3928.25_3928.25	3042.81_3042.81	2401.28_2401.28
262	3969.28_3969.28	3044.77_3044.77	2354.83_2354.83
263	4043.61_4043.61	3009.4_3009.4	2538.85_2538.85
264	4021.15_4021.15	3024.01_3024.01	2413.62_2413.62
265	3750.01_3750.01	2806.17_2806.17	2312.53_2312.53
266	3967.15_3967.15	3026.63_3026.63	2563.64_2563.64
267	4006.57_4006.57	3175.28_3175.28	2615.92_2615.92
268	4034.87_4034.87	3053.06_3053.06	2461.99_2461.99
269	3966.06_3966.06	2888.72_2888.72	2120.78_2120.78
270	3964.48_3964.48	3092.76_3092.76	2526.67_2526.67
271	3917.54_3917.54	2943.19_2943.19	2299.72_2299.72
272	3959.03_3959.03	2988.83_2988.83	2440.05_2440.05
273	3951.96_3951.96	2959.84_2959.84	2305.71_2305.71
274	4006.38_4006.38	3072.58_3072.58	2474.96_2474.96
275	4047.75_4047.75	2983.53_2983.53	2318.02_2318.02
276	4009.29_4009.29	2951.19_2951.19	2509.29_2509.29
277	4058.83_4058.83	3135.75_3135.75	2517.88_2517.88
278	4090.5_4090.5	3289.55_3289.55	2524.22_2524.22
279	4088.22_4088.22	3061.22_3061.22	2495.44_2495.44
280	3902.62_3902.62	3027.87_3027.87	2210.66_2210.66
281	4053.8_4053.8	3185.63_3185.63	2637.51_2637.51
282	3916.95_3916.95	3123.39_3123.39	2584.74_2584.74
283	4095.07_4095.07	2959.79_2959.79	2236.1_2236.1
284	3972.09_3972.09	2923.29_2923.29	2516.88_2516.88
285	4080.6_4080.6	3162.73_3162.73	2337.8_2337.8
286	4005.55_4005.55	3049.61_3049.61	2477.48_2477.48
287	3830.1_3830.1	2891.72_2891.72	2421.8_2421.8
288	4081.26_4081.26	3017.72_3017.72	2444.63_2444.63
289	3960.22_3960.22	3081.71_3081.71	2410.99_2410.99
290	4050.82_4050.82	3036.41_3036.41	2394.49_2394.49
291	3983.39_3983.39	2971.56_2971.56	2230.32_2230.32
292	4004.13_4004.13	3047.81_3047.81	2465.04_2465.04
293	4001.97_4001.97	2894.9_2894.9	2312.48_2312.48
294	3930.86_3930.86	3033.88_3033.88	2377.15_2377.15
295	4010.27_4010.27	3123.31_3123.31	2441.97_2441.97
296	4075.2_4075.2	2739.75_2739.75	2058.16_2058.16
297	3987.74_3987.74	3029.75_3029.75	2373.97_2373.97
298	4043.51_4043.51	2804.36_2804.36	2205.96_2205.96
299	4024.24_4024.24	2922.18_2922.18	2189.44_2189.44
300	4110.92_4110.92	3211.77_3211.77	2448.29_2448.29
301	3960.35_3960.35	2878.49_2878.49	2427.5_2427.5
302	3943.73_3943.73	3142.16_3142.16	2450.77_2450.77
303	3853.55_3853.55	2848.42_2848.42	2253.69_2253.69
304	4073.78_4073.78	3006.86_3006.86	2142.55_2142.55
305	4077.1_4077.1	3086.08_3086.08	2411.55_2411.55
306	4054.15_4054.15	3102.64_3102.64	2437.4_2437.4
307	3844.82_3844.82	3008.39_3008.39	2268.72_2268.72
308	4020.59_4020.59	2999.05_2999.05	2391.7_2391.7
309	3967.27_3967.27	3061.72_3061.72	2477.73_2477.73
310	3892.23_3892.23	3016.22_3016.22	2380.15_2380.15
311	3917.55_3917.55	3041.31_3041.31	2503.26_2503.26
312	3881.2_3881.2	2955.94_2955.94	2291.79_2291.79
313	4100.81_4100.81	3053.39_3053.39	2596.96_2596.96
314	4047.13_4047.13	3086.9_3086.9	2589.52_2589.52
315	4025.44_4025.44	2893.5_2893.5	2197.88_2197.88
316	4068.56_4068.56	3030.94_3030.94	2491.33_2491.33
317	4047.78_4047.78	3056.69_3056.69	2228.85_2228.85
318	3957.38_3957.38	2959.68_2959.68	2354.69_2354.69
319	3921.32_3921.32	2964.64_2964.64	2285.71_2285.71
320	4098.45_4098.45	3161.15_3161.15	2374.04_2374.04
321	4065.68_4065.68	3117.01_3117.01	2257.01_2257.01
322	3913.67_3913.67	3044.86_3044.86	2344.53_2344.53
323	4075.93_4075.93	3012_3012	2207.21_2207.21
324	3987.67_3987.67	3111.32_3111.32	2556.72_2556.72
325	4055.12_4055.12	3105.85_3105.85	2544.42_2544.42
326	4056.73_4056.73	3156.39_3156.39	2470.38_2470.38
327	4086.54_4086.54	3013.16_3013.16	2515.46_2515.46
328	4033.21_4033.21	3227.79_3227.79	2427.53_2427.53
329	3999.34_3999.34	2988.19_2988.19	2395.33_2395.33
330	3967.01_3967.01	3011.1_3011.1	2364.85_2364.85
331	3986.67_3986.67	3081.36_3081.36	2440.19_2440.19
332	4097.21_4097.21	3146.12_3146.12	2404.22_2404.22
333	3957.52_3957.52	2898.27_2898.27	2250.8_2250.8
334	3968.07_3968.07	2882.72_2882.72	2195.99_2195.99
335	3932.7_3932.7	3020.04_3020.04	2251.79_2251.79
336	3973.88_3973.88	2855.86_2855.86	2157.68_2157.68
337	3972.44_3972.44	3055.59_3055.59	2370.05_2370.05
338	3915.52_3915.52	2981.03_2981.03	2408.17_2408.17
339	3928.93_3928.93	2791.2_2791.2	2187.94_2187.94
340	4030.92_4030.92	3042.09_3042.09	2312.13_2312.13
341	4026.85_4026.85	3013.1_3013.1	2366.86_2366.86
342	3974.61_3974.61	3172.87_3172.87	2382.49_2382.49
343	4025.95_4025.95	3056.03_3056.03	2542.71_2542.71
344	3941.57_3941.57	3044.65_3044.65	2522.43_2522.43
345	4050.14_4050.14	3195.73_3195.73	2518.38_2518.38
346	3971.97_3971.97	3053.17_3053.17	2452.65_2452.65
347	3868.73_3868.73	2936.99_2936.99	2259.15_2259.15
348	4010.11_4010.11	3174.63_3174.63	2537.88_2537.88
349	4007.93_4007.93	3141.4_3141.4	2351.18_2351.18
350	3960.91_3960.91	2962.86_2962.86	2254.53_2254.53
351	3954.47_3954.47	3032.91_3032.91	2349.52_2349.52
352	4008.76_4008.76	2990.06_2990.06	2245.93_2245.93
353	3939.76_3939.76	2998.09_2998.09	2407.55_2407.55
354	3998.56_3998.56	3062.09_3062.09	2641.32_2641.32
355	3996.75_3996.75	2905.39_2905.39	2100.35_2100.35
356	4018.57_4018.57	3140.42_3140.42	2550.75_2550.75
357	4006.28_4006.28	2860.95_2860.95	2387.72_2387.72
358	3983.17_3983.17	3052.9_3052.9	2391.72_2391.72
359	4026.2_4026.2	3046.38_3046.38	2394.35_2394.35
360	4107.88_4107.88	3185.69_3185.69	2374_2374
361	3927.51_3927.51	2981.05_2981.05	2400.78_2400.78
362	3967.34_3967.34	3013.18_3013.18	2209.12_2209.12
363	4063.72_4063.72	3217.39_3217.39	2620.26_2620.26
364	4028.13_4028.13	3137.48_3137.48	2318.17_2318.17
365	3875.69_3875.69	2988.09_2988.09	2407.58_2407.58
366	3985.21_3985.21	3037.77_3037.77	2336.74_2336.74
367	4051.04_4051.04	3148.49_3148.49	2494.75_2494.75
368	3992.91_3992.91	3055.46_3055.46	2426.44_2426.44
369	4001.69_4001.69	3214.94_3214.94	2662.29_2662.29
370	3950.14_3950.14	3056.49_3056.49	2414.56_2414.56
371	3810.79_3810.79	3011.28_3011.28	2433.05_2433.05
372	3977.46_3977.46	2969.64_2969.64	2156.18_2156.18
373	4027.33_4027.33	3026.97_3026.97	2320.23_2320.23
374	3925.38_3925.38	3094.27_3094.27	2183.41_2183.41
375	3954.12_3954.12	3050.75_3050.75	2358.83_2358.83
376	3895.22_3895.22	2930.29_2930.29	2398.12_2398.12
377	3948.2_3948.2	2853.35_2853.35	2279.11_2279.11
378	3970.02_3970.02	3052.64_3052.64	2456.56_2456.56
379	3979.1_3979.1	2986.57_2986.57	2319.14_2319.14
380	3885.74_3885.74	2913.29_2913.29	2291.73_2291.73
381	4076.52_4076.52	3153.37_3153.37	2516.94_2516.94
382	3882.75_3882.75	2896.36_2896.36	2361.71_2361.71
383	4032.51_4032.51	3069.9_3069.9	2349.93_2349.93
384	3920.22_3920.22	2821.81_2821.81	2298.01_2298.01
