a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
700	3814.8_3814.8	3083.51_3083.51	2241.29_2241.29
701	3885.1_3885.1	2982.71_2982.71	2185.64_2185.64
702	3943.72_3943.72	3152.75_3152.75	2403.95_2403.95
703	3858.66_3858.66	3054.82_3054.82	2279.21_2279.21
704	3954.23_3954.23	3091.19_3091.19	2322.93_2322.93
705	3805.65_3805.65	2947.07_2947.07	2407.71_2407.71
706	3817.01_3817.01	2904.69_2904.69	2306.24_2306.24
707	3938.5_3938.5	3019.1_3019.1	2007.11_2007.11
708	3981.58_3981.58	3093.89_3093.89	2280.03_2280.03
709	3887.54_3887.54	2975.59_2975.59	2402.17_2402.17
710	3900.36_3900.36	3159.27_3159.27	2296.29_2296.29
711	3828.19_3828.19	3026.91_3026.91	2206.53_2206.53
712	3820.74_3820.74	3046.88_3046.88	2314.66_2314.66
713	3909.81_3909.81	3071.66_3071.66	2486.32_2486.32
714	3741.25_3741.25	3059.08_3059.08	2537.33_2537.33
715	3860.25_3860.25	2868.59_2868.59	2233.16_2233.16
716	3804.11_3804.11	3030.21_3030.21	2441.89_2441.89
717	3794.45_3794.45	3108.14_3108.14	2450.8_2450.8
718	3850.19_3850.19	3077.16_3077.16	2577.69_2577.69
719	3830.83_3830.83	3199.25_3199.25	2649.26_2649.26
720	3758.76_3758.76	3159.43_3159.43	2409.7_2409.7
721	3859.11_3859.11	3070.09_3070.09	2268.48_2268.48
722	3892_3892	3056.36_3056.36	2434.66_2434.66
723	3853.93_3853.93	3195.48_3195.48	2618.1_2618.1
724	3928.59_3928.59	3099.53_3099.53	2135_2135
725	3882.67_3882.67	3077.58_3077.58	2451.82_2451.82
726	3843.83_3843.83	2955.4_2955.4	2338.24_2338.24
727	3911_3911	3175.79_3175.79	2467.13_2467.13
728	3850.61_3850.61	3173.86_3173.86	2591.16_2591.16
729	3997_3997	3190.67_3190.67	2600.47_2600.47
730	3819.66_3819.66	3048.65_3048.65	2334.45_2334.45
731	3959.35_3959.35	2971.93_2971.93	2180.53_2180.53
732	3839.13_3839.13	3131.26_3131.26	2370.14_2370.14
733	3981_3981	3196.03_3196.03	2563.19_2563.19
734	3894.68_3894.68	3144.29_3144.29	2451.81_2451.81
735	3896.14_3896.14	3175.87_3175.87	2568.94_2568.94
736	3834.59_3834.59	3190.81_3190.81	2455.28_2455.28
737	3869.81_3869.81	3026.81_3026.81	2376.2_2376.2
738	3912.45_3912.45	3017.3_3017.3	2326.46_2326.46
739	3857.77_3857.77	3116.7_3116.7	2499.28_2499.28
740	3803.52_3803.52	3060.81_3060.81	2267_2267
741	3874.48_3874.48	3131.26_3131.26	2562.95_2562.95
742	3945.33_3945.33	3076.09_3076.09	2431.97_2431.97
743	3978.56_3978.56	3115.05_3115.05	2453.74_2453.74
744	3835.26_3835.26	3082.08_3082.08	2268.2_2268.2
745	3892.41_3892.41	3118.65_3118.65	2388.96_2388.96
746	3943.7_3943.7	3219.01_3219.01	2593.86_2593.86
747	3927.02_3927.02	3158.29_3158.29	2642.18_2642.18
748	3884.06_3884.06	3092.01_3092.01	2398.92_2398.92
749	3903.13_3903.13	3108.03_3108.03	2440.49_2440.49
750	3815.97_3815.97	3137.75_3137.75	2303.92_2303.92
751	3898.61_3898.61	3170.95_3170.95	2490.42_2490.42
752	3917.75_3917.75	2946.84_2946.84	2212.84_2212.84
753	3882.61_3882.61	3042.86_3042.86	2099.39_2099.39
754	3873.62_3873.62	3037.11_3037.11	2295.55_2295.55
755	3824.11_3824.11	3130.05_3130.05	2421.16_2421.16
756	3808.1_3808.1	3030.19_3030.19	2399.85_2399.85
757	3929.63_3929.63	3110.64_3110.64	2672.26_2672.26
758	3986.89_3986.89	3023.67_3023.67	2438.56_2438.56
759	4024.39_4024.39	3186.03_3186.03	2462.37_2462.37
760	3936.8_3936.8	3067.88_3067.88	2473.04_2473.04
761	3935_3935	3114.84_3114.84	2450.96_2450.96
762	3811.83_3811.83	2847.41_2847.41	2244.29_2244.29
763	3974.8_3974.8	2994.07_2994.07	2363.42_2363.42
764	4013.98_4013.98	3008.97_3008.97	2340.81_2340.81
765	3997.28_3997.28	3136.19_3136.19	2459.57_2459.57
766	3988.74_3988.74	3146.46_3146.46	2429.62_2429.62
767	3972_3972	3133.25_3133.25	2362.79_2362.79
768	3921.95_3921.95	3192.01_3192.01	2317.14_2317.14
769	4029.11_4029.11	3031.57_3031.57	2581.76_2581.76
770	3974.22_3974.22	3069.02_3069.02	2431.73_2431.73
771	3955.43_3955.43	3098.08_3098.08	2386.13_2386.13
772	3921.22_3921.22	2942.21_2942.21	2306.57_2306.57
773	3904.43_3904.43	3202.41_3202.41	2582.84_2582.84
774	3872.22_3872.22	3090.19_3090.19	2497.16_2497.16
775	3911.03_3911.03	3028.2_3028.2	2377.51_2377.51
776	3905.32_3905.32	3122.8_3122.8	2232.56_2232.56
777	3705.39_3705.39	2782.15_2782.15	2268.9_2268.9
778	4018.46_4018.46	3157.98_3157.98	2511.08_2511.08
779	3849.43_3849.43	3107.26_3107.26	2258.75_2258.75
780	4068.38_4068.38	3298.89_3298.89	2393.32_2393.32
781	3832.23_3832.23	3136.13_3136.13	2255.03_2255.03
782	3886.94_3886.94	3219.86_3219.86	2488.9_2488.9
783	4044.65_4044.65	3234.43_3234.43	2495.89_2495.89
784	3916.5_3916.5	3127.57_3127.57	2221.85_2221.85
785	3809.58_3809.58	2868.76_2868.76	2288.94_2288.94
786	4006.34_4006.34	3247.74_3247.74	2417.93_2417.93
787	3941.5_3941.5	2977.09_2977.09	2419.63_2419.63
788	3933.06_3933.06	3221_3221	2429.69_2429.69
789	3873.49_3873.49	3149.92_3149.92	2335.84_2335.84
790	3917.17_3917.17	2910.59_2910.59	2451.86_2451.86
791	3834.99_3834.99	2808.66_2808.66	2298.08_2298.08
792	3852.74_3852.74	3087.84_3087.84	2502.54_2502.54
793	3876.94_3876.94	3004.24_3004.24	2416.56_2416.56
794	3772.81_3772.81	2905.68_2905.68	2112.22_2112.22
795	3900.03_3900.03	3097.58_3097.58	2413.5_2413.5
796	3995.18_3995.18	3034.54_3034.54	2549.76_2549.76
797	3874.79_3874.79	3188.74_3188.74	2359.87_2359.87
798	3889.85_3889.85	2934.91_2934.91	2256.24_2256.24
799	3987.62_3987.62	3277.25_3277.25	2346.84_2346.84
800	4026.6_4026.6	3151.88_3151.88	2296.53_2296.53
801	3796.46_3796.46	3054.9_3054.9	2203.78_2203.78
802	4025.23_4025.23	3212.12_3212.12	2468.56_2468.56
803	3897.07_3897.07	3077.6_3077.6	2551.15_2551.15
804	3901.96_3901.96	3235.31_3235.31	2538.23_2538.23
805	3823.2_3823.2	2928.67_2928.67	2394.91_2394.91
806	3981.6_3981.6	3203.51_3203.51	2688.33_2688.33
807	3897.92_3897.92	3034.95_3034.95	2244.12_2244.12
808	3937.06_3937.06	3085.26_3085.26	2295.15_2295.15
809	3980.38_3980.38	3122.95_3122.95	2462.57_2462.57
810	3919.46_3919.46	3179.09_3179.09	2405.01_2405.01
811	3991.25_3991.25	3141.21_3141.21	2614.85_2614.85
812	3911.34_3911.34	3052.65_3052.65	2275.08_2275.08
813	3827.5_3827.5	3012.3_3012.3	2157.45_2157.45
814	3896.69_3896.69	3052.56_3052.56	2331.81_2331.81
815	3967.88_3967.88	3128.83_3128.83	2468.12_2468.12
816	3961.02_3961.02	3219.52_3219.52	2317.24_2317.24
817	3961.05_3961.05	3167.43_3167.43	2236.6_2236.6
818	3921.74_3921.74	3114.98_3114.98	2363.63_2363.63
819	3895.57_3895.57	2988.71_2988.71	1997.89_1997.89
820	3813.9_3813.9	3027.08_3027.08	2198.21_2198.21
