a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3853.97_3853.97	3179.25_3179.25	2631.85_2631.85
251	3870.13_3870.13	3182.39_3182.39	2591.37_2591.37
252	3935.65_3935.65	3156.44_3156.44	2505.9_2505.9
253	3829.86_3829.86	3095.09_3095.09	2450.26_2450.26
254	3878.8_3878.8	3127.98_3127.98	2465.22_2465.22
255	3858.79_3858.79	3171.66_3171.66	2479.53_2479.53
256	3909.93_3909.93	3176.97_3176.97	2573.43_2573.43
257	3766.12_3766.12	3006.93_3006.93	2326.68_2326.68
258	3813.28_3813.28	3016.34_3016.34	2393.2_2393.2
259	3785.85_3785.85	3042.27_3042.27	2471.16_2471.16
260	3712.4_3712.4	2992.49_2992.49	2457.56_2457.56
261	3698.7_3698.7	2983.8_2983.8	2443.18_2443.18
262	3664.51_3664.51	2969.01_2969.01	2429.84_2429.84
263	3716.44_3716.44	3044.5_3044.5	2398.27_2398.27
264	3671.5_3671.5	3029.54_3029.54	2471.02_2471.02
265	3684.78_3684.78	3022.15_3022.15	2395.06_2395.06
266	3701.73_3701.73	3025.61_3025.61	2406.89_2406.89
267	3713.4_3713.4	3060.98_3060.98	2427.49_2427.49
268	3625.86_3625.86	2991.18_2991.18	2381.77_2381.77
269	3602.92_3602.92	2991.49_2991.49	2411.2_2411.2
270	3685.8_3685.8	3005.4_3005.4	2509.07_2509.07
271	3652.58_3652.58	2974.88_2974.88	2460.58_2460.58
272	3636.57_3636.57	2915.03_2915.03	2445.96_2445.96
273	3716.73_3716.73	2986.87_2986.87	2461.43_2461.43
274	3686.43_3686.43	2969.34_2969.34	2414.99_2414.99
275	3730.56_3730.56	2974.22_2974.22	2469.63_2469.63
276	3682.74_3682.74	2945_2945	2391.41_2391.41
277	3726.36_3726.36	3002.08_3002.08	2411.59_2411.59
278	3673.63_3673.63	2984.83_2984.83	2417.52_2417.52
279	3688.76_3688.76	2999.91_2999.91	2438.45_2438.45
280	3719.73_3719.73	3043.29_3043.29	2426.36_2426.36
281	3648.53_3648.53	2947.76_2947.76	2436.13_2436.13
282	3672.8_3672.8	3005.68_3005.68	2407.01_2407.01
283	3673.49_3673.49	3017.28_3017.28	2376.44_2376.44
284	3682_3682	2980.66_2980.66	2473.49_2473.49
285	3741.38_3741.38	3004.94_3004.94	2437.29_2437.29
286	3747.49_3747.49	2971.98_2971.98	2371.78_2371.78
287	3729.46_3729.46	2947.42_2947.42	2348_2348
288	3769.47_3769.47	2980.99_2980.99	2312.25_2312.25
289	3719.94_3719.94	2929.34_2929.34	2307.62_2307.62
290	3717.54_3717.54	2879.26_2879.26	2253.88_2253.88
291	3683.86_3683.86	2929.32_2929.32	2266.2_2266.2
292	3695.52_3695.52	2944.34_2944.34	2343.01_2343.01
293	3723_3723	2936.24_2936.24	2400.54_2400.54
294	3673.62_3673.62	2929.9_2929.9	2447.89_2447.89
295	3672.68_3672.68	2949.63_2949.63	2449.96_2449.96
296	3719.9_3719.9	2957.58_2957.58	2425.14_2425.14
297	3769.76_3769.76	2984_2984	2439.39_2439.39
298	3791.52_3791.52	3036.11_3036.11	2464.6_2464.6
299	3811.74_3811.74	3053.31_3053.31	2453.72_2453.72
300	3678.68_3678.68	2953.97_2953.97	2409.46_2409.46
301	3634.03_3634.03	2909.71_2909.71	2367.68_2367.68
302	3577.62_3577.62	2881.21_2881.21	2432.76_2432.76
303	3556.76_3556.76	2894.86_2894.86	2341.18_2341.18
304	3538.84_3538.84	2847.59_2847.59	2323.81_2323.81
305	3606.81_3606.81	2951.7_2951.7	2300.75_2300.75
306	3658.11_3658.11	2969.62_2969.62	2299.41_2299.41
307	3579.36_3579.36	2891.01_2891.01	2231.31_2231.31
308	3621.95_3621.95	2902.33_2902.33	2241.54_2241.54
309	3641.79_3641.79	2904.9_2904.9	2274.29_2274.29
310	3614.42_3614.42	2826.58_2826.58	2227.89_2227.89
311	3562.28_3562.28	2811.41_2811.41	2253.36_2253.36
312	3551.03_3551.03	2806.15_2806.15	2313.16_2313.16
313	3618.86_3618.86	2877.72_2877.72	2329.37_2329.37
314	3597.42_3597.42	2826.66_2826.66	2324.2_2324.2
315	3678.98_3678.98	2911.53_2911.53	2302.66_2302.66
316	3665.78_3665.78	2947.9_2947.9	2335.48_2335.48
317	3669.69_3669.69	2930.99_2930.99	2299.08_2299.08
318	3643.39_3643.39	2919.95_2919.95	2272.67_2272.67
319	3663.32_3663.32	2879.18_2879.18	2303.47_2303.47
320	3675.38_3675.38	2812.4_2812.4	2284.91_2284.91
321	3570.75_3570.75	2765.05_2765.05	2167.3_2167.3
322	3714.71_3714.71	2868.66_2868.66	2276.39_2276.39
323	3629.85_3629.85	2802.64_2802.64	2305.99_2305.99
324	3641.81_3641.81	2845.13_2845.13	2300.62_2300.62
325	3633.42_3633.42	2866.73_2866.73	2286.78_2286.78
326	3596.8_3596.8	2856.16_2856.16	2264.82_2264.82
327	3645.62_3645.62	2896.13_2896.13	2225.5_2225.5
328	3617.06_3617.06	2860.79_2860.79	2189.03_2189.03
329	3625.57_3625.57	2840.94_2840.94	2221.22_2221.22
330	3657.34_3657.34	2908.26_2908.26	2209.42_2209.42
331	3648.85_3648.85	2859.05_2859.05	2252.54_2252.54
332	3675_3675	2865.05_2865.05	2257.29_2257.29
333	3748.72_3748.72	3006.44_3006.44	2389.82_2389.82
334	3639.63_3639.63	2961.51_2961.51	2375.01_2375.01
335	3659.2_3659.2	2999.53_2999.53	2347.76_2347.76
336	3669.84_3669.84	2959.85_2959.85	2282.93_2282.93
337	3694.34_3694.34	2982.64_2982.64	2263.08_2263.08
338	3645.03_3645.03	2989.09_2989.09	2307.9_2307.9
339	3676.54_3676.54	2921.34_2921.34	2213.51_2213.51
340	3663.08_3663.08	2962.26_2962.26	2324.73_2324.73
341	3657.13_3657.13	2946.47_2946.47	2336.29_2336.29
342	3752.64_3752.64	3009.83_3009.83	2358.63_2358.63
343	3635.37_3635.37	2955.16_2955.16	2380.65_2380.65
344	3669.02_3669.02	2982.56_2982.56	2402.57_2402.57
345	3680.85_3680.85	2968.22_2968.22	2386.88_2386.88
346	3703.13_3703.13	2967.77_2967.77	2272.94_2272.94
347	3679.44_3679.44	2951.01_2951.01	2338.76_2338.76
348	3683.88_3683.88	3025.17_3025.17	2375.45_2375.45
349	3778.88_3778.88	3047.59_3047.59	2384.88_2384.88
350	3689.33_3689.33	2999.06_2999.06	2361.25_2361.25
351	3730.45_3730.45	2948.74_2948.74	2385.61_2385.61
352	3729.42_3729.42	2993.28_2993.28	2480.27_2480.27
353	3711.85_3711.85	2961.47_2961.47	2485.14_2485.14
354	3674.63_3674.63	2959.88_2959.88	2491.5_2491.5
355	3675.98_3675.98	2961.81_2961.81	2492.45_2492.45
356	3654.04_3654.04	2957.18_2957.18	2400.29_2400.29
357	3691.16_3691.16	2933.53_2933.53	2331.51_2331.51
358	3717.26_3717.26	2932.52_2932.52	2307.71_2307.71
359	3704.56_3704.56	2881.61_2881.61	2269.07_2269.07
360	3648.45_3648.45	2910.31_2910.31	2274.82_2274.82
361	3674.35_3674.35	2971.39_2971.39	2348.95_2348.95
362	3714.51_3714.51	2923.49_2923.49	2375.87_2375.87
363	3672.48_3672.48	2917.93_2917.93	2321.1_2321.1
364	3636.17_3636.17	2926.56_2926.56	2316.62_2316.62
365	3617.25_3617.25	2907.19_2907.19	2292.4_2292.4
366	3605.01_3605.01	2849.92_2849.92	2241.12_2241.12
367	3643.69_3643.69	2884.74_2884.74	2392.84_2392.84
368	3658.52_3658.52	2866.81_2866.81	2256.13_2256.13
369	3656.11_3656.11	2909.39_2909.39	2277.44_2277.44
370	3559.06_3559.06	2826.64_2826.64	2241.11_2241.11
371	3590.68_3590.68	2879.11_2879.11	2248.09_2248.09
372	3548.25_3548.25	2825.01_2825.01	2246.63_2246.63
373	3674.77_3674.77	2897.51_2897.51	2202.68_2202.68
374	3689.11_3689.11	2858.48_2858.48	2069.59_2069.59
375	3643.18_3643.18	2784.54_2784.54	2072.37_2072.37
376	3686.34_3686.34	2744.41_2744.41	2123.35_2123.35
377	3711.75_3711.75	2891.93_2891.93	2216.1_2216.1
378	3656.14_3656.14	2789.04_2789.04	2176.18_2176.18
379	3616.57_3616.57	2806.69_2806.69	2256.82_2256.82
380	3745.5_3745.5	2866.1_2866.1	2206.6_2206.6
381	3725.02_3725.02	2925.8_2925.8	2172.96_2172.96
382	3715.67_3715.67	2900.79_2900.79	2204.03_2204.03
383	3701.11_3701.11	2843.88_2843.88	2195.71_2195.71
384	3727.01_3727.01	2836.24_2836.24	2274.32_2274.32
385	3778.5_3778.5	2898.93_2898.93	2225.1_2225.1
386	3733.81_3733.81	2882.13_2882.13	2222.86_2222.86
387	3782.54_3782.54	2895.21_2895.21	2236.08_2236.08
