a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	4013.74_4013.74	3046.97_3046.97	2427.61_2427.61
251	3997.47_3997.47	3012.01_3012.01	2295.46_2295.46
252	4016.14_4016.14	3193.95_3193.95	2573.34_2573.34
253	4104_4104	3203.25_3203.25	2591.56_2591.56
254	3984.87_3984.87	3066.13_3066.13	2429.14_2429.14
255	4104.96_4104.96	2987.09_2987.09	2183.53_2183.53
256	3929.2_3929.2	3022.26_3022.26	2210.69_2210.69
257	4007.63_4007.63	3029.69_3029.69	2460.9_2460.9
258	3915.36_3915.36	3125.34_3125.34	2411.25_2411.25
259	3932.55_3932.55	2949.74_2949.74	2332.6_2332.6
260	4082.4_4082.4	3139.68_3139.68	2189.42_2189.42
261	3993.1_3993.1	2975.04_2975.04	2382.51_2382.51
262	3995.22_3995.22	2879.31_2879.31	2152.71_2152.71
263	3987.59_3987.59	3019.93_3019.93	2366.27_2366.27
264	4117.97_4117.97	2982.43_2982.43	2285.85_2285.85
265	3991.87_3991.87	3008.3_3008.3	2320.5_2320.5
266	4072.48_4072.48	2880.77_2880.77	2294.07_2294.07
267	3990.44_3990.44	3011.13_3011.13	2366.66_2366.66
268	4115.74_4115.74	3254.54_3254.54	2391_2391
269	4020.65_4020.65	3157.09_3157.09	2615.05_2615.05
270	3935.54_3935.54	2934.67_2934.67	2263.63_2263.63
271	4038.74_4038.74	3021.67_3021.67	2364.16_2364.16
272	3986.77_3986.77	3161.34_3161.34	2487.48_2487.48
273	4031.74_4031.74	2942.24_2942.24	2344.41_2344.41
274	3917.42_3917.42	2961.29_2961.29	2281.2_2281.2
275	3855.31_3855.31	2808.24_2808.24	2274.65_2274.65
276	4041.79_4041.79	3126.59_3126.59	2566_2566
277	4047.35_4047.35	3054.93_3054.93	2529.3_2529.3
278	3955.02_3955.02	3053.51_3053.51	2426.61_2426.61
279	3925.5_3925.5	2828.41_2828.41	2203.7_2203.7
280	3980.08_3980.08	3056.51_3056.51	2484.4_2484.4
281	3949.73_3949.73	3019.28_3019.28	2411.69_2411.69
282	4019.01_4019.01	3131.68_3131.68	2287.19_2287.19
283	3933.58_3933.58	2893.33_2893.33	2192.64_2192.64
284	4040.64_4040.64	3013.57_3013.57	2275.56_2275.56
285	3994.37_3994.37	3127.12_3127.12	2482.37_2482.37
286	4089.35_4089.35	3068.25_3068.25	2449.18_2449.18
287	3971.14_3971.14	2925.49_2925.49	2176.12_2176.12
288	3930.34_3930.34	3098.37_3098.37	2425.3_2425.3
289	4022.84_4022.84	3164.1_3164.1	2521.03_2521.03
290	4017.43_4017.43	3148.28_3148.28	2490.72_2490.72
291	4015.42_4015.42	3105.94_3105.94	2508.02_2508.02
292	3880.93_3880.93	3034.49_3034.49	2419.38_2419.38
293	3960.15_3960.15	2949.1_2949.1	2407.91_2407.91
294	3982.53_3982.53	2988.82_2988.82	2133.45_2133.45
295	3917.2_3917.2	2988.1_2988.1	2311.85_2311.85
296	4103.65_4103.65	3032.04_3032.04	2464.03_2464.03
297	3934.99_3934.99	2928.91_2928.91	2227.51_2227.51
298	4083.15_4083.15	3059.47_3059.47	2446.44_2446.44
299	4016.67_4016.67	3158.54_3158.54	2629.66_2629.66
300	4030.72_4030.72	3084.14_3084.14	2520.28_2520.28
301	3939.49_3939.49	3042.9_3042.9	2397.86_2397.86
302	4002.76_4002.76	3077.32_3077.32	2433.23_2433.23
303	3985.22_3985.22	2933.67_2933.67	2353.24_2353.24
304	3907.91_3907.91	2923.88_2923.88	2262.62_2262.62
305	3848.72_3848.72	2999.76_2999.76	2345.23_2345.23
306	3949.35_3949.35	3000.89_3000.89	2161.74_2161.74
307	3999.97_3999.97	2957.9_2957.9	2465.18_2465.18
308	4003.17_4003.17	3050.7_3050.7	2227.46_2227.46
309	4002.28_4002.28	3032.27_3032.27	2288.61_2288.61
310	4009.7_4009.7	3080.27_3080.27	2454.13_2454.13
311	3969.88_3969.88	2940.1_2940.1	2436.05_2436.05
312	4107.6_4107.6	3021.85_3021.85	2415.22_2415.22
313	3923.91_3923.91	2923.8_2923.8	2094.35_2094.35
314	4022.82_4022.82	3242.4_3242.4	2331.55_2331.55
315	4005.03_4005.03	3077.71_3077.71	2377.06_2377.06
316	3991.26_3991.26	2992.08_2992.08	2413.22_2413.22
317	3997.39_3997.39	3058.79_3058.79	2441.74_2441.74
318	3973.55_3973.55	3083.6_3083.6	2470.04_2470.04
319	4019.53_4019.53	2843.82_2843.82	2183.39_2183.39
320	4020.45_4020.45	3030.15_3030.15	2384.74_2384.74
321	3947.85_3947.85	3018.19_3018.19	2363.64_2363.64
322	4019.61_4019.61	3256.51_3256.51	2457.14_2457.14
323	4047.9_4047.9	3052.97_3052.97	2436.77_2436.77
324	4026.03_4026.03	2955.51_2955.51	2378.14_2378.14
325	3945.55_3945.55	3007.49_3007.49	2154.96_2154.96
326	3984.49_3984.49	2987.64_2987.64	2177.11_2177.11
327	3982.12_3982.12	2909.98_2909.98	2292.32_2292.32
328	3946.2_3946.2	2951.07_2951.07	2365.38_2365.38
329	3928.24_3928.24	3141.14_3141.14	2456.25_2456.25
330	3947.1_3947.1	3081.8_3081.8	2392.4_2392.4
331	3942.6_3942.6	2967.81_2967.81	2348.34_2348.34
332	3869.03_3869.03	3134.64_3134.64	2547.04_2547.04
333	3911.46_3911.46	2858.16_2858.16	2113.48_2113.48
334	3940.19_3940.19	2979.23_2979.23	2390.12_2390.12
335	3978.91_3978.91	3021.45_3021.45	2287.91_2287.91
336	4089.56_4089.56	3036.97_3036.97	2287.95_2287.95
337	3980.93_3980.93	3027.81_3027.81	2386.75_2386.75
338	3926.64_3926.64	3042.46_3042.46	2269.18_2269.18
339	3902.35_3902.35	3022.66_3022.66	2442.11_2442.11
340	3930.97_3930.97	2960.99_2960.99	2152.8_2152.8
341	3967.96_3967.96	3055.1_3055.1	2371.51_2371.51
342	3877.39_3877.39	2885.79_2885.79	2278.27_2278.27
343	4010.27_4010.27	3096.5_3096.5	2332.62_2332.62
344	3961.9_3961.9	2921.52_2921.52	2267.29_2267.29
345	4099.5_4099.5	2987.37_2987.37	2332.93_2332.93
346	4026.03_4026.03	3024.17_3024.17	2377.11_2377.11
347	3967.86_3967.86	2928.84_2928.84	2300.61_2300.61
348	4050.81_4050.81	3084.85_3084.85	2299.37_2299.37
349	3989.3_3989.3	2964.34_2964.34	2344.43_2344.43
350	4058.65_4058.65	2952.17_2952.17	2367.81_2367.81
351	3892.14_3892.14	2977.79_2977.79	2219.76_2219.76
352	3836.84_3836.84	2998.34_2998.34	2276.22_2276.22
353	4093.26_4093.26	3071.25_3071.25	2525.86_2525.86
354	3955.4_3955.4	3079.57_3079.57	2455.82_2455.82
355	4039.41_4039.41	3244.23_3244.23	2476.42_2476.42
356	4085.97_4085.97	3194.46_3194.46	2482.93_2482.93
357	3975.82_3975.82	3084.15_3084.15	2210.22_2210.22
358	3949.86_3949.86	3073.08_3073.08	2431.68_2431.68
359	3975.07_3975.07	3062.23_3062.23	2231.97_2231.97
360	4027.83_4027.83	3067.58_3067.58	2400.28_2400.28
361	3985.5_3985.5	3101.67_3101.67	2408.12_2408.12
362	3849.58_3849.58	2974.07_2974.07	2541.5_2541.5
363	4023.09_4023.09	3181.65_3181.65	2289.42_2289.42
364	3898.85_3898.85	3060.5_3060.5	2543.81_2543.81
365	3781.31_3781.31	2978.77_2978.77	2177.72_2177.72
366	4010.7_4010.7	2930.12_2930.12	2265.79_2265.79
367	3875.25_3875.25	3036.28_3036.28	2338.29_2338.29
368	3838.31_3838.31	3002.86_3002.86	2266.99_2266.99
369	4079.56_4079.56	3138.89_3138.89	2694.72_2694.72
370	4046.8_4046.8	3232.2_3232.2	2402.54_2402.54
371	3888.89_3888.89	2994.94_2994.94	2367.23_2367.23
372	3935.35_3935.35	2864.13_2864.13	2248.08_2248.08
373	3928.23_3928.23	3099.45_3099.45	2564.74_2564.74
374	3941.5_3941.5	3061.46_3061.46	2269.33_2269.33
375	3957.2_3957.2	2966.31_2966.31	2322.59_2322.59
376	4063.34_4063.34	2964.67_2964.67	2353.69_2353.69
377	3942.41_3942.41	3095.67_3095.67	2334.63_2334.63
378	3994.83_3994.83	2991.11_2991.11	2267.97_2267.97
379	3983.32_3983.32	3061.28_3061.28	2363.19_2363.19
380	3989.76_3989.76	3200.39_3200.39	2451.17_2451.17
381	4032.18_4032.18	3022.97_3022.97	2388.26_2388.26
382	4036.78_4036.78	3097.4_3097.4	2481.51_2481.51
383	4042.52_4042.52	3265.64_3265.64	2787.13_2787.13
384	3902.75_3902.75	3105.75_3105.75	2388.15_2388.15
385	3933.17_3933.17	3002.3_3002.3	2326.05_2326.05
386	4003.55_4003.55	3001.64_3001.64	2403.14_2403.14
387	4019.36_4019.36	3164.41_3164.41	2418.12_2418.12
388	3969.99_3969.99	3189.37_3189.37	2377.57_2377.57
389	3862.26_3862.26	3032.92_3032.92	2283.67_2283.67
390	4086.63_4086.63	3135.05_3135.05	2427.88_2427.88
391	4049.27_4049.27	3102.13_3102.13	2329.81_2329.81
392	3952.7_3952.7	2923.85_2923.85	2264.02_2264.02
393	4023.31_4023.31	3066.95_3066.95	2282.12_2282.12
394	3983.71_3983.71	3017.46_3017.46	2485.4_2485.4
395	4017.07_4017.07	3132.28_3132.28	2393.48_2393.48
396	3938.91_3938.91	3022.06_3022.06	2376.69_2376.69
397	3949.77_3949.77	3141.87_3141.87	2309.4_2309.4
398	3916.04_3916.04	3050.34_3050.34	2466.41_2466.41
399	3915.35_3915.35	2896.81_2896.81	2337.01_2337.01
400	4029.91_4029.91	3137.16_3137.16	2434.71_2434.71
401	4087.81_4087.81	3119.76_3119.76	2438.87_2438.87
402	4009.62_4009.62	3065.04_3065.04	2259.18_2259.18
403	3944.92_3944.92	3026.28_3026.28	2432.82_2432.82
404	4027.41_4027.41	2952.39_2952.39	2396.75_2396.75
405	4003.89_4003.89	2917.92_2917.92	2409.12_2409.12
406	4020.19_4020.19	2861.35_2861.35	2216.86_2216.86
407	3973.34_3973.34	3026.34_3026.34	2255.63_2255.63
408	3966.16_3966.16	2979.42_2979.42	2251.18_2251.18
409	3957.33_3957.33	3109.67_3109.67	2345.65_2345.65
410	4028.77_4028.77	2919.81_2919.81	2203.59_2203.59
411	3962.94_3962.94	2897.03_2897.03	2285.13_2285.13
412	3967.37_3967.37	3051.29_3051.29	2161.13_2161.13
