a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3665.72_3665.72	2783.81_2783.81	2130.37_2130.37
251	3636.2_3636.2	2832.24_2832.24	2243.47_2243.47
252	3659.77_3659.77	2874.7_2874.7	2196.56_2196.56
253	3706.07_3706.07	2896.94_2896.94	2293.82_2293.82
254	3700.25_3700.25	2872.93_2872.93	2132.18_2132.18
255	3672.18_3672.18	2851.61_2851.61	2128.06_2128.06
256	3753.28_3753.28	2807.57_2807.57	2131.26_2131.26
257	3746.61_3746.61	2845.66_2845.66	2131.23_2131.23
258	3694.98_3694.98	2773.35_2773.35	2124.83_2124.83
259	3712.77_3712.77	2782.35_2782.35	2165.59_2165.59
260	3626.71_3626.71	2725.42_2725.42	2059.67_2059.67
261	3670.46_3670.46	2782.16_2782.16	2174.3_2174.3
262	3586.03_3586.03	2800.37_2800.37	2138.57_2138.57
263	3552.31_3552.31	2740.85_2740.85	2068.62_2068.62
264	3553.03_3553.03	2748.08_2748.08	2151.96_2151.96
265	3613.28_3613.28	2788.18_2788.18	2156.56_2156.56
266	3555.1_3555.1	2769.8_2769.8	2086.51_2086.51
267	3557.39_3557.39	2725.47_2725.47	2162.62_2162.62
268	3599.47_3599.47	2727.55_2727.55	2100.61_2100.61
269	3633.22_3633.22	2737.96_2737.96	2114_2114
270	3682.87_3682.87	2830.19_2830.19	2245.26_2245.26
271	3700.13_3700.13	2822.57_2822.57	2226.35_2226.35
272	3697.45_3697.45	2845.38_2845.38	2261.8_2261.8
273	3643.89_3643.89	2827.67_2827.67	2187.7_2187.7
274	3609.86_3609.86	2796.5_2796.5	2192.61_2192.61
275	3655.37_3655.37	2771.07_2771.07	2205.73_2205.73
276	3647.54_3647.54	2831.82_2831.82	2290.55_2290.55
277	3566.49_3566.49	2735.34_2735.34	2163.06_2163.06
278	3597.53_3597.53	2730.89_2730.89	2172.72_2172.72
279	3598.77_3598.77	2741.31_2741.31	2090.58_2090.58
280	3571.59_3571.59	2713.43_2713.43	2072.34_2072.34
281	3593.52_3593.52	2725.65_2725.65	2076.63_2076.63
282	3568.61_3568.61	2667.77_2667.77	2081.58_2081.58
283	3505.49_3505.49	2617.62_2617.62	2053.1_2053.1
284	3521.37_3521.37	2646.15_2646.15	2028.52_2028.52
285	3531.45_3531.45	2697.22_2697.22	2098.55_2098.55
286	3463.77_3463.77	2637.74_2637.74	2031.04_2031.04
287	3500.29_3500.29	2673.73_2673.73	2027.44_2027.44
288	3448.04_3448.04	2608.72_2608.72	2069.64_2069.64
289	3451.84_3451.84	2597.16_2597.16	1991.05_1991.05
290	3444.03_3444.03	2578.31_2578.31	1944.93_1944.93
291	3481.73_3481.73	2643.99_2643.99	2008.14_2008.14
292	3433.03_3433.03	2648.39_2648.39	1977.05_1977.05
293	3480.06_3480.06	2679.22_2679.22	2057.94_2057.94
294	3431.13_3431.13	2638.72_2638.72	2005.31_2005.31
295	3399.36_3399.36	2595.39_2595.39	1970.65_1970.65
296	3457.2_3457.2	2628.16_2628.16	1883.84_1883.84
297	3438.54_3438.54	2609.45_2609.45	2009.73_2009.73
298	3370.18_3370.18	2528.67_2528.67	1992.92_1992.92
299	3436.57_3436.57	2590.19_2590.19	2025.73_2025.73
300	3453.12_3453.12	2568.93_2568.93	2061.48_2061.48
301	3423.39_3423.39	2599.15_2599.15	2051.01_2051.01
302	3522.64_3522.64	2637.61_2637.61	2066_2066
303	3451.77_3451.77	2578.08_2578.08	1982.2_1982.2
304	3444.69_3444.69	2529.06_2529.06	1918.93_1918.93
305	3493.73_3493.73	2568.98_2568.98	1911.78_1911.78
306	3423.12_3423.12	2533.38_2533.38	1934.68_1934.68
307	3415.89_3415.89	2548.99_2548.99	1959.81_1959.81
308	3432.24_3432.24	2622.47_2622.47	1968.57_1968.57
309	3397.09_3397.09	2573.14_2573.14	1935.83_1935.83
310	3361.16_3361.16	2600.97_2600.97	1957.69_1957.69
311	3389.55_3389.55	2609.56_2609.56	2001.82_2001.82
312	3396.58_3396.58	2589.8_2589.8	1987.07_1987.07
313	3384.54_3384.54	2566.04_2566.04	1921.47_1921.47
314	3448.81_3448.81	2594.78_2594.78	1948.86_1948.86
315	3489.49_3489.49	2644.18_2644.18	1990.85_1990.85
316	3433.65_3433.65	2671.74_2671.74	1954.17_1954.17
317	3459.51_3459.51	2632.05_2632.05	1993.85_1993.85
318	3466.29_3466.29	2673.97_2673.97	2033.78_2033.78
319	3431.37_3431.37	2646.76_2646.76	2124.41_2124.41
320	3466.19_3466.19	2681.07_2681.07	2100.48_2100.48
321	3448.65_3448.65	2666.4_2666.4	2026.62_2026.62
322	3515.48_3515.48	2697.89_2697.89	2039.86_2039.86
323	3532.26_3532.26	2658.32_2658.32	1994.6_1994.6
324	3464.69_3464.69	2654.89_2654.89	2089.44_2089.44
325	3512.27_3512.27	2694.87_2694.87	2062.34_2062.34
326	3540.57_3540.57	2730.22_2730.22	2099.8_2099.8
327	3545.98_3545.98	2737.4_2737.4	2050.14_2050.14
328	3516.41_3516.41	2669.7_2669.7	2119.71_2119.71
329	3558.78_3558.78	2710.66_2710.66	2010.26_2010.26
330	3549.81_3549.81	2705.34_2705.34	2018.48_2018.48
331	3544.51_3544.51	2653.5_2653.5	2033.45_2033.45
332	3517.04_3517.04	2608.08_2608.08	2019.26_2019.26
333	3504.12_3504.12	2594.02_2594.02	2003.03_2003.03
334	3475.56_3475.56	2529.4_2529.4	1967.93_1967.93
335	3514.29_3514.29	2564.26_2564.26	2012.19_2012.19
336	3436.56_3436.56	2538.52_2538.52	1987.99_1987.99
337	3406.35_3406.35	2565.91_2565.91	2069.69_2069.69
338	3446.46_3446.46	2583.72_2583.72	2074.78_2074.78
339	3453.36_3453.36	2572.81_2572.81	1994.61_1994.61
340	3468.48_3468.48	2554.13_2554.13	2023.58_2023.58
341	3483.46_3483.46	2596.41_2596.41	2048.85_2048.85
342	3526.45_3526.45	2595.63_2595.63	2010.33_2010.33
343	3567.69_3567.69	2545.45_2545.45	1935.19_1935.19
344	3523.79_3523.79	2542.14_2542.14	2043.6_2043.6
345	3534.65_3534.65	2656.89_2656.89	2049.71_2049.71
346	3575.49_3575.49	2661.75_2661.75	2039.45_2039.45
347	3514.91_3514.91	2625.58_2625.58	2012.37_2012.37
348	3602.66_3602.66	2706.15_2706.15	2110.47_2110.47
349	3493.77_3493.77	2694.74_2694.74	2140.53_2140.53
350	3488.22_3488.22	2676.78_2676.78	2031.95_2031.95
351	3456.3_3456.3	2589.38_2589.38	2123.37_2123.37
352	3534.92_3534.92	2591.88_2591.88	2028.99_2028.99
353	3480.37_3480.37	2570.63_2570.63	2040.83_2040.83
354	3496.72_3496.72	2579.58_2579.58	2037.26_2037.26
355	3491.67_3491.67	2517.58_2517.58	2060.9_2060.9
356	3465.91_3465.91	2572.93_2572.93	2008.99_2008.99
357	3501.2_3501.2	2525.73_2525.73	1987.34_1987.34
358	3578.42_3578.42	2563.65_2563.65	2068.77_2068.77
359	3443.89_3443.89	2491.77_2491.77	1963.09_1963.09
360	3433.88_3433.88	2527.3_2527.3	2012.02_2012.02
361	3386.94_3386.94	2515.78_2515.78	2070.61_2070.61
362	3428.83_3428.83	2499.64_2499.64	1961.21_1961.21
363	3447.88_3447.88	2483.29_2483.29	1904.15_1904.15
364	3549.45_3549.45	2555.37_2555.37	1974.13_1974.13
365	3596.91_3596.91	2592.1_2592.1	2002.88_2002.88
366	3529.5_3529.5	2572.79_2572.79	2020.22_2020.22
367	3491.78_3491.78	2516.09_2516.09	2025.28_2025.28
368	3582.27_3582.27	2614.5_2614.5	2012.97_2012.97
369	3526.81_3526.81	2609.16_2609.16	2032.51_2032.51
370	3543.38_3543.38	2618.76_2618.76	2025.59_2025.59
371	3578.67_3578.67	2671.2_2671.2	2097.87_2097.87
372	3513.76_3513.76	2638.43_2638.43	2088.95_2088.95
373	3510.3_3510.3	2639.06_2639.06	2086.8_2086.8
374	3518.12_3518.12	2634.75_2634.75	2094.01_2094.01
375	3523.45_3523.45	2644.39_2644.39	2071.86_2071.86
376	3523.32_3523.32	2669.38_2669.38	2144.4_2144.4
377	3503.94_3503.94	2582.19_2582.19	2062.13_2062.13
378	3543.01_3543.01	2625.51_2625.51	2094.14_2094.14
379	3519.98_3519.98	2643.96_2643.96	2007.23_2007.23
380	3521.36_3521.36	2610.17_2610.17	2020.85_2020.85
381	3445.12_3445.12	2557.58_2557.58	1953.36_1953.36
382	3527.88_3527.88	2561.89_2561.89	2033.64_2033.64
383	3552.03_3552.03	2629.49_2629.49	2081.85_2081.85
384	3497.43_3497.43	2598.02_2598.02	2101.89_2101.89
385	3446.7_3446.7	2571.69_2571.69	1991.24_1991.24
386	3525.25_3525.25	2614.49_2614.49	2084.08_2084.08
387	3527.79_3527.79	2657.9_2657.9	2137.29_2137.29
388	3460.38_3460.38	2626.91_2626.91	2069.77_2069.77
389	3446.92_3446.92	2656.58_2656.58	2036.53_2036.53
390	3427_3427	2582.51_2582.51	1989.02_1989.02
391	3474.94_3474.94	2596.7_2596.7	2012.94_2012.94
392	3463.96_3463.96	2605.6_2605.6	1968.46_1968.46
393	3547.94_3547.94	2669.75_2669.75	2082.29_2082.29
394	3397.81_3397.81	2569.67_2569.67	1856.11_1856.11
395	3384.67_3384.67	2497.35_2497.35	1814.22_1814.22
396	3421.68_3421.68	2557.88_2557.88	1812.64_1812.64
397	3454.79_3454.79	2509.41_2509.41	1910.62_1910.62
398	3453.23_3453.23	2571.81_2571.81	1982.74_1982.74
399	3501.75_3501.75	2583.12_2583.12	1964.72_1964.72
400	3556.92_3556.92	2616.19_2616.19	1921.18_1921.18
401	3513.08_3513.08	2653.88_2653.88	1923.52_1923.52
402	3545.52_3545.52	2611.22_2611.22	1917.99_1917.99
403	3549.75_3549.75	2579.05_2579.05	1839.48_1839.48
404	3498.59_3498.59	2562.58_2562.58	1907.38_1907.38
405	3563.03_3563.03	2558.2_2558.2	1967.8_1967.8
406	3493.42_3493.42	2579.25_2579.25	1965.91_1965.91
407	3503.16_3503.16	2574.84_2574.84	1931.28_1931.28
408	3487.8_3487.8	2567.39_2567.39	1926.96_1926.96
409	3483.42_3483.42	2582.47_2582.47	1864.44_1864.44
410	3491.63_3491.63	2612.3_2612.3	1887.86_1887.86
411	3458.7_3458.7	2586.92_2586.92	1980.95_1980.95
412	3425.9_3425.9	2667.21_2667.21	2039.71_2039.71
413	3411.69_3411.69	2580.09_2580.09	1990.1_1990.1
414	3475.67_3475.67	2531.6_2531.6	2004.28_2004.28
415	3494.93_3494.93	2556.96_2556.96	2049.97_2049.97
416	3445.41_3445.41	2603.84_2603.84	2037.3_2037.3
417	3477.42_3477.42	2625.52_2625.52	2072.37_2072.37
418	3436.32_3436.32	2584.22_2584.22	2045.42_2045.42
419	3430.21_3430.21	2515.87_2515.87	2013.29_2013.29
420	3413.96_3413.96	2523.21_2523.21	1992.11_1992.11
421	3422.66_3422.66	2512.87_2512.87	2013.84_2013.84
422	3448.49_3448.49	2544.53_2544.53	2038.07_2038.07
423	3498.59_3498.59	2565.11_2565.11	2061.32_2061.32
424	3406.89_3406.89	2576_2576	2062.63_2062.63
425	3402.72_3402.72	2533.24_2533.24	1961.22_1961.22
426	3432.31_3432.31	2600.79_2600.79	1993.67_1993.67
427	3532.42_3532.42	2620.25_2620.25	2152.96_2152.96
428	3458.59_3458.59	2596.76_2596.76	2082.99_2082.99
429	3519.63_3519.63	2699.16_2699.16	1982.01_1982.01
430	3524.4_3524.4	2669.67_2669.67	2044.53_2044.53
431	3510.25_3510.25	2611.05_2611.05	2039.32_2039.32
432	3609.7_3609.7	2585.82_2585.82	1953.99_1953.99
433	3577.08_3577.08	2584.91_2584.91	1981.92_1981.92
434	3470.66_3470.66	2541.87_2541.87	1890.78_1890.78
435	3556.54_3556.54	2567.23_2567.23	1963.6_1963.6
436	3527.71_3527.71	2625.74_2625.74	1999.97_1999.97
437	3552.73_3552.73	2655.52_2655.52	2052.68_2052.68
438	3547.67_3547.67	2560.88_2560.88	1962.58_1962.58
439	3556.27_3556.27	2622.64_2622.64	1982.14_1982.14
440	3550.49_3550.49	2633.89_2633.89	1973.23_1973.23
441	3589.5_3589.5	2634.81_2634.81	1958.57_1958.57
442	3563.98_3563.98	2556_2556	1891.01_1891.01
443	3634.59_3634.59	2625.09_2625.09	1932.6_1932.6
444	3573.24_3573.24	2605.16_2605.16	2014.44_2014.44
445	3477.47_3477.47	2497.31_2497.31	1939.25_1939.25
446	3482.27_3482.27	2473.54_2473.54	1891.83_1891.83
447	3382.83_3382.83	2466.68_2466.68	1910.27_1910.27
448	3468.26_3468.26	2496.81_2496.81	1933.46_1933.46
449	3433.51_3433.51	2512.25_2512.25	2005.61_2005.61
450	3538.45_3538.45	2553.93_2553.93	2018.76_2018.76
451	3484.03_3484.03	2520.91_2520.91	1948.86_1948.86
452	3452.2_3452.2	2533.82_2533.82	1932.51_1932.51
453	3404.2_3404.2	2501.94_2501.94	1956.43_1956.43
454	3455.29_3455.29	2573.68_2573.68	2024.32_2024.32
455	3483.42_3483.42	2622.4_2622.4	2071.46_2071.46
456	3406.1_3406.1	2525.85_2525.85	1951.44_1951.44
457	3487.48_3487.48	2581.91_2581.91	1971.18_1971.18
458	3557.71_3557.71	2626.1_2626.1	2052.81_2052.81
459	3523.53_3523.53	2629.2_2629.2	2068.88_2068.88
460	3543.55_3543.55	2634.62_2634.62	2016.88_2016.88
461	3529.68_3529.68	2546.93_2546.93	1929.78_1929.78
462	3559.79_3559.79	2625.29_2625.29	1869.28_1869.28
463	3524.76_3524.76	2628.71_2628.71	1889.28_1889.28
464	3485.68_3485.68	2593.15_2593.15	1858.74_1858.74
465	3529.74_3529.74	2612.84_2612.84	1933.66_1933.66
466	3469.66_3469.66	2625.99_2625.99	1861.71_1861.71
467	3471.46_3471.46	2601.41_2601.41	1840.16_1840.16
468	3463.82_3463.82	2580.85_2580.85	1843.2_1843.2
469	3463_3463	2510.51_2510.51	1800.29_1800.29
470	3483.18_3483.18	2530.88_2530.88	1852.57_1852.57
471	3550.16_3550.16	2532.67_2532.67	1839.33_1839.33
472	3576.43_3576.43	2494.4_2494.4	1845.48_1845.48
473	3615.52_3615.52	2475.78_2475.78	1834.39_1834.39
474	3565.86_3565.86	2441.04_2441.04	1823.22_1823.22
475	3530.93_3530.93	2562.05_2562.05	1876.82_1876.82
476	3561.09_3561.09	2604.4_2604.4	1996.27_1996.27
477	3492.08_3492.08	2522.62_2522.62	1934.41_1934.41
478	3520.17_3520.17	2516.01_2516.01	1920.6_1920.6
479	3500.44_3500.44	2514.87_2514.87	1926.36_1926.36
480	3502.79_3502.79	2565.64_2565.64	1984.18_1984.18
481	3520.53_3520.53	2554.49_2554.49	2017.15_2017.15
482	3584.46_3584.46	2601.6_2601.6	2059.25_2059.25
483	3573.71_3573.71	2646.03_2646.03	2071.49_2071.49
484	3460.07_3460.07	2624.77_2624.77	2039.56_2039.56
485	3576.14_3576.14	2623.95_2623.95	2052.65_2052.65
486	3578.65_3578.65	2659.27_2659.27	2076.28_2076.28
487	3536.26_3536.26	2626.5_2626.5	2012.42_2012.42
488	3564.02_3564.02	2616.91_2616.91	2069.22_2069.22
489	3569.34_3569.34	2578.16_2578.16	1934.33_1934.33
490	3674.25_3674.25	2621.27_2621.27	2054.03_2054.03
491	3530.13_3530.13	2537.77_2537.77	1928.42_1928.42
492	3495.59_3495.59	2494.14_2494.14	1912.61_1912.61
493	3450.07_3450.07	2488.89_2488.89	1893.11_1893.11
494	3448.35_3448.35	2461.84_2461.84	1883.56_1883.56
495	3432.89_3432.89	2480.06_2480.06	1868.19_1868.19
496	3398.79_3398.79	2493.02_2493.02	1839.32_1839.32
497	3479.11_3479.11	2532.39_2532.39	1896.41_1896.41
498	3435.27_3435.27	2519.18_2519.18	1863.34_1863.34
499	3425.03_3425.03	2503.66_2503.66	1825.05_1825.05
500	3497.46_3497.46	2550.85_2550.85	1874.34_1874.34
501	3428.84_3428.84	2429.68_2429.68	1834.6_1834.6
502	3383.02_3383.02	2435.12_2435.12	1865.11_1865.11
