a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3577.74_3577.74	2941.06_2941.06	2330.19_2330.19
251	3587.02_3587.02	2913.8_2913.8	2328.77_2328.77
252	3577.06_3577.06	2890.2_2890.2	2344.69_2344.69
253	3642.67_3642.67	2878.28_2878.28	2285.27_2285.27
254	3748.21_3748.21	3036_3036	2435_2435
255	3686.11_3686.11	2901.62_2901.62	2297.16_2297.16
256	3747.66_3747.66	3065.27_3065.27	2327.79_2327.79
257	3670.88_3670.88	2891.68_2891.68	2295.92_2295.92
258	3673.54_3673.54	2982.51_2982.51	2421.79_2421.79
259	3705.11_3705.11	2915.91_2915.91	2409.74_2409.74
260	3702.85_3702.85	2878.92_2878.92	2314.18_2314.18
261	3780.88_3780.88	3036.98_3036.98	2382.97_2382.97
262	3724.88_3724.88	3079.95_3079.95	2449.9_2449.9
263	3862.74_3862.74	3097.33_3097.33	2327.29_2327.29
264	3678.89_3678.89	2926.43_2926.43	2355.41_2355.41
265	3899.57_3899.57	2963.76_2963.76	2483.72_2483.72
266	3807.58_3807.58	3167.55_3167.55	2628.69_2628.69
267	3952.86_3952.86	3161.68_3161.68	2593.96_2593.96
268	3799.98_3799.98	3159.85_3159.85	2609.97_2609.97
269	3817.57_3817.57	3065.19_3065.19	2462.53_2462.53
270	3890.46_3890.46	2983.92_2983.92	2335.57_2335.57
271	3904.72_3904.72	2991.93_2991.93	2223.87_2223.87
272	3954.41_3954.41	3206.43_3206.43	2337.48_2337.48
273	3992.83_3992.83	3243.14_3243.14	2607.09_2607.09
274	3921.89_3921.89	3184.43_3184.43	2644.83_2644.83
275	3886.2_3886.2	3081.69_3081.69	2387.96_2387.96
276	3850.25_3850.25	3164.67_3164.67	2576.36_2576.36
277	3901.41_3901.41	3002.86_3002.86	2444.65_2444.65
278	4018.92_4018.92	3020.97_3020.97	2413.25_2413.25
279	3822.42_3822.42	2990.51_2990.51	2598.23_2598.23
280	3966.86_3966.86	3172.04_3172.04	2397.95_2397.95
281	4041.89_4041.89	3146.91_3146.91	2539.98_2539.98
282	4044.95_4044.95	3153.4_3153.4	2639.8_2639.8
283	4042.14_4042.14	3084.33_3084.33	2578.01_2578.01
284	4002.42_4002.42	3251.61_3251.61	2557.53_2557.53
285	3958.35_3958.35	3045.71_3045.71	2504.09_2504.09
286	3998.91_3998.91	3216.48_3216.48	2435.39_2435.39
287	3824.61_3824.61	3111.21_3111.21	2478.55_2478.55
288	4041.47_4041.47	3153.92_3153.92	2404.46_2404.46
289	3895.2_3895.2	3078.41_3078.41	2513.66_2513.66
290	3859.3_3859.3	3042.52_3042.52	2395.32_2395.32
291	3882.43_3882.43	3013.12_3013.12	2534.96_2534.96
292	3856.11_3856.11	2855.43_2855.43	2365.4_2365.4
293	3818.04_3818.04	3000.9_3000.9	2425.54_2425.54
294	3779.38_3779.38	3099.32_3099.32	2500.7_2500.7
295	3912.85_3912.85	3209.85_3209.85	2496.69_2496.69
296	3836.17_3836.17	3030.89_3030.89	2300.75_2300.75
297	3957.29_3957.29	3043.01_3043.01	2487.58_2487.58
298	3935.66_3935.66	3013.78_3013.78	2362.08_2362.08
299	3831.15_3831.15	3193.89_3193.89	2465.45_2465.45
300	3867.1_3867.1	3124.24_3124.24	2415.77_2415.77
301	3929.69_3929.69	3067.62_3067.62	2515.71_2515.71
