a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
349	3936.44_3936.44	3099.75_3099.75	2521.57_2521.57
350	3920.25_3920.25	3082.32_3082.32	2579.78_2579.78
351	3980.75_3980.75	3142.78_3142.78	2375.01_2375.01
352	3941.73_3941.73	3073.77_3073.77	2260.53_2260.53
353	3784.86_3784.86	3102.92_3102.92	2377.94_2377.94
354	3828.78_3828.78	3065.84_3065.84	2398.62_2398.62
355	3867.33_3867.33	2927.27_2927.27	2396.72_2396.72
356	3827_3827	3019.16_3019.16	2273.81_2273.81
357	3882.56_3882.56	2973.35_2973.35	2267.87_2267.87
358	3916.36_3916.36	3095.72_3095.72	2240.31_2240.31
359	3990.91_3990.91	2954.39_2954.39	2392.08_2392.08
360	3867.06_3867.06	3012.93_3012.93	2362.13_2362.13
361	3945.03_3945.03	3237.88_3237.88	2417.08_2417.08
362	3913.24_3913.24	3129.5_3129.5	2505.35_2505.35
363	3938.86_3938.86	3008.02_3008.02	2397.18_2397.18
364	3817.76_3817.76	2989.95_2989.95	2485.9_2485.9
365	3910.29_3910.29	3167.75_3167.75	2599.11_2599.11
366	3910.73_3910.73	2954.25_2954.25	2401.62_2401.62
367	3981.11_3981.11	3188.91_3188.91	2552.89_2552.89
368	3945.08_3945.08	2998.4_2998.4	2402.39_2402.39
369	3893.87_3893.87	3231.85_3231.85	2571.54_2571.54
370	3903.68_3903.68	2970.7_2970.7	2454.66_2454.66
371	3973.82_3973.82	3281.92_3281.92	2438.17_2438.17
372	3936.03_3936.03	3124.64_3124.64	2611.44_2611.44
373	3909.61_3909.61	3091.44_3091.44	2389.84_2389.84
374	3959.5_3959.5	3134.32_3134.32	2614.33_2614.33
375	3910.9_3910.9	3019.19_3019.19	2407.97_2407.97
376	3886.16_3886.16	3069.05_3069.05	2251.8_2251.8
377	3942.04_3942.04	3128.31_3128.31	2486.29_2486.29
378	3801.24_3801.24	2883.83_2883.83	2260.22_2260.22
379	3881.41_3881.41	3022.74_3022.74	2355.4_2355.4
380	3801.5_3801.5	3052.35_3052.35	2326.26_2326.26
381	3848.28_3848.28	2894.78_2894.78	2395.31_2395.31
382	3789.38_3789.38	2894.51_2894.51	2284.53_2284.53
383	3866.62_3866.62	2991.23_2991.23	2476.26_2476.26
384	3879.88_3879.88	3012.73_3012.73	2394.78_2394.78
385	3882.57_3882.57	2883.88_2883.88	2276.96_2276.96
386	3991.28_3991.28	3042.95_3042.95	2359.1_2359.1
387	4006.18_4006.18	3204.54_3204.54	2402.71_2402.71
388	3922.91_3922.91	3126.49_3126.49	2349.94_2349.94
389	3906.1_3906.1	3038.25_3038.25	2426.48_2426.48
390	3970.29_3970.29	3112.71_3112.71	2356.48_2356.48
391	3717.92_3717.92	2936.34_2936.34	2265.89_2265.89
392	3885.08_3885.08	2999.62_2999.62	2253.38_2253.38
393	3973.03_3973.03	3049.06_3049.06	2475.73_2475.73
394	3759.93_3759.93	3096.99_3096.99	2600.87_2600.87
395	3990.53_3990.53	3183.28_3183.28	2420.53_2420.53
396	3792.48_3792.48	2962.88_2962.88	2290.81_2290.81
397	3978.47_3978.47	2957.39_2957.39	2249.97_2249.97
398	3942.42_3942.42	3081.91_3081.91	2387.69_2387.69
399	3811.33_3811.33	2913.55_2913.55	2299.39_2299.39
400	3903.19_3903.19	3163.04_3163.04	2229.15_2229.15
401	3971.17_3971.17	3061.15_3061.15	2558.8_2558.8
402	3921.74_3921.74	3072.31_3072.31	2590.2_2590.2
403	3877.25_3877.25	3123.09_3123.09	2346.84_2346.84
404	3921.36_3921.36	2914.77_2914.77	2445.38_2445.38
405	3949.69_3949.69	3218.05_3218.05	2491.63_2491.63
406	3872.26_3872.26	3020.2_3020.2	2395.71_2395.71
407	3988.84_3988.84	3159.48_3159.48	2424.69_2424.69
408	3843.1_3843.1	2996.43_2996.43	2315.17_2315.17
409	4044.95_4044.95	3046.27_3046.27	2359.04_2359.04
410	3916.02_3916.02	3024.44_3024.44	2328.91_2328.91
411	3976.23_3976.23	3183.53_3183.53	2437.71_2437.71
412	3912.15_3912.15	3184.4_3184.4	2560.92_2560.92
413	3878.12_3878.12	2993.34_2993.34	2349.98_2349.98
414	3993.87_3993.87	3175.02_3175.02	2590.16_2590.16
415	3949.69_3949.69	3225.75_3225.75	2260.61_2260.61
416	3921.96_3921.96	3036.69_3036.69	2480.78_2480.78
417	3950.8_3950.8	3238.65_3238.65	2667.62_2667.62
418	3857.62_3857.62	3027.24_3027.24	2360.43_2360.43
419	3861.91_3861.91	3040.76_3040.76	2395.15_2395.15
420	3891.31_3891.31	3031.9_3031.9	2507.25_2507.25
421	3758.42_3758.42	3067.13_3067.13	2356.9_2356.9
422	3939.22_3939.22	3068.5_3068.5	2465.16_2465.16
423	3999.53_3999.53	3176.19_3176.19	2565_2565
424	3890.99_3890.99	2920.48_2920.48	2424.44_2424.44
425	3874.53_3874.53	3158.59_3158.59	2286.64_2286.64
426	3912.72_3912.72	3188.6_3188.6	2446.05_2446.05
427	3897.12_3897.12	3102.67_3102.67	2330.4_2330.4
428	3941.25_3941.25	3210.97_3210.97	2510.85_2510.85
429	3970.92_3970.92	3149.27_3149.27	2732.35_2732.35
430	3921.13_3921.13	3199.78_3199.78	2515.06_2515.06
431	3941.4_3941.4	2934.54_2934.54	2271.96_2271.96
432	4089.28_4089.28	3226.54_3226.54	2617.77_2617.77
433	4000.76_4000.76	3106.64_3106.64	2242.06_2242.06
434	3914.43_3914.43	3051.35_3051.35	2452.42_2452.42
435	3958.67_3958.67	3163.44_3163.44	2505.17_2505.17
436	3937.47_3937.47	3143.73_3143.73	2345.24_2345.24
437	4105.97_4105.97	3261.93_3261.93	2470.86_2470.86
438	3993.15_3993.15	3157.19_3157.19	2314.09_2314.09
439	3956.96_3956.96	3166.62_3166.62	2426.29_2426.29
440	3856.03_3856.03	3017.91_3017.91	2273.22_2273.22
441	3901.66_3901.66	3139.31_3139.31	2580.33_2580.33
442	3916.93_3916.93	3134.35_3134.35	2429.9_2429.9
443	3875.9_3875.9	3144.99_3144.99	2479.12_2479.12
444	4001.57_4001.57	3042.84_3042.84	2441.32_2441.32
445	3824.8_3824.8	3081.23_3081.23	2390.2_2390.2
446	3993.45_3993.45	2922.9_2922.9	2274.43_2274.43
447	4008.6_4008.6	3236.8_3236.8	2546.26_2546.26
448	3942.8_3942.8	3205.88_3205.88	2699.4_2699.4
449	3991.79_3991.79	3195.74_3195.74	2399.17_2399.17
450	3962_3962	3007.41_3007.41	2368.41_2368.41
451	4003.1_4003.1	3116.65_3116.65	2649.85_2649.85
452	3911.95_3911.95	3125.06_3125.06	2564.36_2564.36
453	3818.2_3818.2	3125.52_3125.52	2330.23_2330.23
454	3903.42_3903.42	3021.77_3021.77	2375.99_2375.99
455	3878.47_3878.47	3117.95_3117.95	2542.7_2542.7
456	3881.58_3881.58	2946.54_2946.54	2259.11_2259.11
