a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
550	3834.27_3834.27	2902.49_2902.49	2406.28_2406.28
551	3863.67_3863.67	2862.66_2862.66	2256.11_2256.11
552	3808.83_3808.83	2992.68_2992.68	2310.11_2310.11
553	3727.99_3727.99	2926.57_2926.57	2343.1_2343.1
554	3801.06_3801.06	3123.81_3123.81	2493.01_2493.01
555	3760.99_3760.99	2947.1_2947.1	2279.26_2279.26
556	3704.96_3704.96	3040.48_3040.48	2414.14_2414.14
557	3815.46_3815.46	3057.86_3057.86	2321.85_2321.85
558	3686.91_3686.91	3030.96_3030.96	2452.07_2452.07
559	3746.49_3746.49	2979.38_2979.38	2441.88_2441.88
560	3639.26_3639.26	2956.11_2956.11	2241.11_2241.11
561	3663.28_3663.28	3070.04_3070.04	2414.06_2414.06
562	3691.45_3691.45	2886.91_2886.91	2403.78_2403.78
563	3800.13_3800.13	2928.05_2928.05	2425_2425
564	3742.22_3742.22	2890.55_2890.55	2164.72_2164.72
565	3781.18_3781.18	2925.47_2925.47	2291.03_2291.03
566	3750.34_3750.34	3031.9_3031.9	2352.1_2352.1
567	3716.92_3716.92	2986.69_2986.69	2369.83_2369.83
568	3759.97_3759.97	3030.12_3030.12	2476.33_2476.33
569	3730.34_3730.34	3042.03_3042.03	2466.02_2466.02
570	3693.06_3693.06	2916.32_2916.32	2301.86_2301.86
571	3735.41_3735.41	2977.5_2977.5	2340.6_2340.6
572	3705.84_3705.84	3024.44_3024.44	2342.22_2342.22
573	3793.14_3793.14	3074.75_3074.75	2505.32_2505.32
574	3823.25_3823.25	3099.22_3099.22	2507.74_2507.74
575	3760.12_3760.12	3113.52_3113.52	2608.57_2608.57
576	3824.17_3824.17	3029.8_3029.8	2348.07_2348.07
577	3883.44_3883.44	3014.2_3014.2	2345.55_2345.55
578	3802.21_3802.21	3039.6_3039.6	2474.79_2474.79
579	3852.38_3852.38	3147.93_3147.93	2291.77_2291.77
580	3768.97_3768.97	3077.5_3077.5	2307.84_2307.84
581	3793.22_3793.22	2963.58_2963.58	2342.25_2342.25
582	3820.77_3820.77	2999.38_2999.38	2400.96_2400.96
583	3726.93_3726.93	2943.31_2943.31	2276.71_2276.71
584	3734.75_3734.75	3065.73_3065.73	2254.72_2254.72
585	3856.84_3856.84	3232.13_3232.13	2691.63_2691.63
586	3734.4_3734.4	2938.79_2938.79	2243.42_2243.42
587	3698.67_3698.67	3022.95_3022.95	2514.13_2514.13
588	3747.63_3747.63	2918.4_2918.4	2229.78_2229.78
589	3690.56_3690.56	3039.26_3039.26	2324.28_2324.28
590	3663.81_3663.81	2933.29_2933.29	2372.19_2372.19
591	3740.38_3740.38	2917.23_2917.23	2341.39_2341.39
592	3776.87_3776.87	3045.22_3045.22	2516.42_2516.42
593	3788.3_3788.3	2951.31_2951.31	2367.46_2367.46
594	3814.54_3814.54	3131.85_3131.85	2556.79_2556.79
