a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
800	3580.89_3580.89	2715.4_2715.4	2160.55_2160.55
801	3650.61_3650.61	2754.37_2754.37	2135.87_2135.87
802	3602.01_3602.01	2679.72_2679.72	2201.67_2201.67
803	3609.69_3609.69	2665.87_2665.87	2161.93_2161.93
804	3611.72_3611.72	2593.08_2593.08	2126.65_2126.65
805	3586.18_3586.18	2569.42_2569.42	2026.48_2026.48
806	3664.41_3664.41	2627.72_2627.72	2154.5_2154.5
807	3599.23_3599.23	2617.5_2617.5	2080.3_2080.3
808	3590.35_3590.35	2596.96_2596.96	2029.61_2029.61
809	3641.21_3641.21	2595.55_2595.55	2029.8_2029.8
810	3639.11_3639.11	2627.65_2627.65	2077.88_2077.88
811	3590.56_3590.56	2664.37_2664.37	2036.81_2036.81
812	3660.02_3660.02	2728.55_2728.55	2061_2061
813	3656.73_3656.73	2698.8_2698.8	2055.32_2055.32
814	3639.22_3639.22	2717.57_2717.57	2059.97_2059.97
815	3672.53_3672.53	2675.89_2675.89	2041.29_2041.29
816	3682.45_3682.45	2665.91_2665.91	2075.28_2075.28
817	3633.4_3633.4	2617.52_2617.52	2000.86_2000.86
818	3579.94_3579.94	2626.24_2626.24	1936.63_1936.63
819	3627.6_3627.6	2560.24_2560.24	1918.05_1918.05
820	3523.08_3523.08	2522.91_2522.91	1851.9_1851.9
821	3496.89_3496.89	2443.57_2443.57	1915.55_1915.55
822	3477.88_3477.88	2441.62_2441.62	1887.3_1887.3
823	3551.83_3551.83	2515.45_2515.45	1952.58_1952.58
824	3647.44_3647.44	2570.44_2570.44	2005.33_2005.33
825	3625.66_3625.66	2509.02_2509.02	1961.91_1961.91
826	3619.52_3619.52	2544.47_2544.47	1951.84_1951.84
827	3593.5_3593.5	2597.65_2597.65	1987.13_1987.13
828	3624.65_3624.65	2625.65_2625.65	1992.48_1992.48
829	3641.41_3641.41	2665.17_2665.17	2101.12_2101.12
830	3696.93_3696.93	2719.84_2719.84	2131.48_2131.48
831	3663.73_3663.73	2712.2_2712.2	2147.38_2147.38
832	3670.33_3670.33	2722.97_2722.97	2075.85_2075.85
833	3687.22_3687.22	2735.94_2735.94	2108.32_2108.32
834	3727.52_3727.52	2736.47_2736.47	2149.92_2149.92
835	3619.41_3619.41	2667.51_2667.51	2103.05_2103.05
836	3645.04_3645.04	2711.7_2711.7	2119.84_2119.84
837	3588.07_3588.07	2651.05_2651.05	2036.69_2036.69
838	3569.09_3569.09	2637.89_2637.89	2076.92_2076.92
839	3643.33_3643.33	2709.24_2709.24	2056.24_2056.24
840	3617.48_3617.48	2689.77_2689.77	2053.74_2053.74
841	3676.56_3676.56	2712.41_2712.41	2060.59_2060.59
842	3603.22_3603.22	2621.97_2621.97	1950.94_1950.94
843	3535.84_3535.84	2679.69_2679.69	1974.31_1974.31
844	3545.94_3545.94	2647.82_2647.82	2090.44_2090.44
845	3645.31_3645.31	2663.2_2663.2	2129.15_2129.15
846	3576.03_3576.03	2620.38_2620.38	2081.27_2081.27
847	3591.42_3591.42	2612.35_2612.35	2055.93_2055.93
848	3524.05_3524.05	2628.29_2628.29	2093.56_2093.56
849	3613.86_3613.86	2636.99_2636.99	2103.94_2103.94
850	3590.71_3590.71	2586.07_2586.07	2142.19_2142.19
851	3579.23_3579.23	2573.81_2573.81	2066.69_2066.69
852	3575.38_3575.38	2550.2_2550.2	2026.76_2026.76
853	3559.59_3559.59	2534.71_2534.71	1983.71_1983.71
854	3544.31_3544.31	2592.72_2592.72	1989.81_1989.81
855	3575.34_3575.34	2586.18_2586.18	2026.21_2026.21
856	3589.76_3589.76	2622.94_2622.94	2042.28_2042.28
857	3658.57_3658.57	2697.03_2697.03	2070.54_2070.54
858	3598.29_3598.29	2689.75_2689.75	1965.1_1965.1
859	3606.92_3606.92	2652.34_2652.34	2093_2093
860	3556.41_3556.41	2604.43_2604.43	2046.51_2046.51
861	3607.98_3607.98	2663.55_2663.55	1861.26_1861.26
862	3589.87_3589.87	2635.4_2635.4	1803.87_1803.87
863	3611.33_3611.33	2606.39_2606.39	1957.92_1957.92
864	3614.55_3614.55	2592.66_2592.66	1954.86_1954.86
865	3616.12_3616.12	2623.95_2623.95	1913.83_1913.83
866	3600.44_3600.44	2614.26_2614.26	1920.55_1920.55
867	3658.61_3658.61	2641.74_2641.74	1907.19_1907.19
868	3629.64_3629.64	2691.8_2691.8	2037.72_2037.72
869	3641.63_3641.63	2706.18_2706.18	2025.35_2025.35
870	3576.48_3576.48	2720.39_2720.39	1954.62_1954.62
871	3689.6_3689.6	2718.99_2718.99	1990.9_1990.9
872	3690.03_3690.03	2699.35_2699.35	1997.87_1997.87
873	3630.99_3630.99	2702.49_2702.49	1977.12_1977.12
874	3638_3638	2662.64_2662.64	2017.44_2017.44
875	3635.68_3635.68	2621.13_2621.13	1896.47_1896.47
876	3642.72_3642.72	2599.46_2599.46	1905.79_1905.79
877	3636.34_3636.34	2570.82_2570.82	1956.39_1956.39
878	3631.72_3631.72	2506.81_2506.81	1942.13_1942.13
879	3559.68_3559.68	2484.78_2484.78	1985.95_1985.95
880	3529.26_3529.26	2411.92_2411.92	1976.96_1976.96
881	3659.21_3659.21	2491.48_2491.48	1923.21_1923.21
882	3576.63_3576.63	2460.29_2460.29	1877.15_1877.15
883	3597.81_3597.81	2533.36_2533.36	1914.54_1914.54
884	3565.94_3565.94	2535.68_2535.68	1973.68_1973.68
885	3548.68_3548.68	2459.88_2459.88	1881.88_1881.88
886	3585_3585	2507.01_2507.01	1902.56_1902.56
887	3553_3553	2551.82_2551.82	1957.18_1957.18
888	3522.83_3522.83	2463.84_2463.84	1978.98_1978.98
889	3625.5_3625.5	2527.01_2527.01	1897.68_1897.68
890	3599.26_3599.26	2528.96_2528.96	1804.72_1804.72
891	3558.85_3558.85	2519.17_2519.17	1867.98_1867.98
892	3606.69_3606.69	2488.2_2488.2	1889.25_1889.25
893	3634.76_3634.76	2527.48_2527.48	1833.91_1833.91
894	3593.83_3593.83	2577.69_2577.69	1898.41_1898.41
895	3652.65_3652.65	2522.73_2522.73	1947.7_1947.7
896	3660.69_3660.69	2513.23_2513.23	1948.68_1948.68
897	3662.07_3662.07	2522.76_2522.76	1898.14_1898.14
898	3659.79_3659.79	2531.14_2531.14	1925.66_1925.66
899	3684.03_3684.03	2563.66_2563.66	1869.58_1869.58
900	3573.79_3573.79	2568.95_2568.95	1892.88_1892.88
901	3541.71_3541.71	2487.82_2487.82	1854.2_1854.2
902	3597.59_3597.59	2489.5_2489.5	1907.38_1907.38
903	3644.89_3644.89	2605.52_2605.52	1966.09_1966.09
904	3664.66_3664.66	2593.62_2593.62	2049.55_2049.55
905	3615.97_3615.97	2590.34_2590.34	1940.24_1940.24
906	3665.06_3665.06	2635.58_2635.58	1932.27_1932.27
907	3633.22_3633.22	2586.24_2586.24	1875.04_1875.04
908	3666.63_3666.63	2616.48_2616.48	2004.87_2004.87
909	3602.15_3602.15	2585.91_2585.91	1971.12_1971.12
910	3649.82_3649.82	2629.12_2629.12	1899.94_1899.94
911	3620.92_3620.92	2600.17_2600.17	1970.17_1970.17
912	3549.85_3549.85	2587.47_2587.47	2000.49_2000.49
913	3570.23_3570.23	2576.35_2576.35	1955.83_1955.83
914	3640.96_3640.96	2633.63_2633.63	1961.05_1961.05
915	3693.69_3693.69	2609.43_2609.43	2010.04_2010.04
916	3639.52_3639.52	2619.42_2619.42	1927.8_1927.8
917	3669.69_3669.69	2580.26_2580.26	1977.72_1977.72
918	3581.33_3581.33	2537.61_2537.61	1892.67_1892.67
919	3571.66_3571.66	2524.66_2524.66	1927.78_1927.78
920	3633.39_3633.39	2580.52_2580.52	1976.14_1976.14
921	3634.78_3634.78	2579.41_2579.41	1991.09_1991.09
922	3607.58_3607.58	2606.86_2606.86	1967.17_1967.17
923	3622.42_3622.42	2581.68_2581.68	1972.11_1972.11
924	3651.81_3651.81	2595.93_2595.93	1990.29_1990.29
925	3586.81_3586.81	2616.19_2616.19	2000.22_2000.22
926	3672.02_3672.02	2630.48_2630.48	2040.3_2040.3
927	3679.09_3679.09	2678.73_2678.73	2029.76_2029.76
928	3625.18_3625.18	2689.47_2689.47	2057.5_2057.5
929	3635.17_3635.17	2661.45_2661.45	2104.35_2104.35
930	3647.79_3647.79	2648.97_2648.97	2066.97_2066.97
931	3683.34_3683.34	2675.07_2675.07	2000.66_2000.66
932	3656.86_3656.86	2633.49_2633.49	2090.91_2090.91
933	3607.88_3607.88	2590.93_2590.93	2066.4_2066.4
934	3583.06_3583.06	2573.01_2573.01	1931.34_1931.34
935	3534.63_3534.63	2493.64_2493.64	1981.1_1981.1
936	3561.71_3561.71	2529.72_2529.72	2013.64_2013.64
937	3516.05_3516.05	2538.56_2538.56	1946.21_1946.21
938	3494.81_3494.81	2559.78_2559.78	1977.42_1977.42
939	3544.49_3544.49	2616.7_2616.7	1947.04_1947.04
940	3517.93_3517.93	2596.86_2596.86	1895.39_1895.39
941	3425.92_3425.92	2476.39_2476.39	1794.63_1794.63
942	3555.8_3555.8	2487.14_2487.14	1973.25_1973.25
943	3573.72_3573.72	2588.82_2588.82	1882.85_1882.85
944	3583.33_3583.33	2514.05_2514.05	1918.53_1918.53
945	3621.02_3621.02	2565.46_2565.46	1952.59_1952.59
946	3605.58_3605.58	2611.01_2611.01	1962.88_1962.88
947	3649.75_3649.75	2698.78_2698.78	2052.92_2052.92
948	3541.5_3541.5	2562.28_2562.28	1902.86_1902.86
949	3639.91_3639.91	2602.11_2602.11	1963.86_1963.86
950	3529.32_3529.32	2519.95_2519.95	1989.76_1989.76
951	3530.72_3530.72	2547.24_2547.24	2053.43_2053.43
952	3493.12_3493.12	2530.44_2530.44	1998.97_1998.97
953	3592.49_3592.49	2589.17_2589.17	2037.05_2037.05
954	3538.25_3538.25	2600.14_2600.14	1976.09_1976.09
955	3627.77_3627.77	2619.14_2619.14	1995.15_1995.15
956	3624.56_3624.56	2571.65_2571.65	2001.95_2001.95
957	3592.19_3592.19	2570.29_2570.29	1878.73_1878.73
958	3580.4_3580.4	2567.24_2567.24	1938.37_1938.37
959	3580.91_3580.91	2593.85_2593.85	2037.03_2037.03
960	3574.81_3574.81	2518.99_2518.99	1988.46_1988.46
961	3596.92_3596.92	2588.73_2588.73	2068.07_2068.07
962	3567.47_3567.47	2582.53_2582.53	2056.01_2056.01
963	3547.94_3547.94	2548.2_2548.2	1921.71_1921.71
964	3569.54_3569.54	2552.23_2552.23	1913.57_1913.57
965	3621.32_3621.32	2596.95_2596.95	2008.32_2008.32
966	3635.46_3635.46	2667.51_2667.51	2041.69_2041.69
967	3593.67_3593.67	2607.98_2607.98	2056.91_2056.91
968	3527.84_3527.84	2569.47_2569.47	1882.82_1882.82
969	3551.54_3551.54	2559.29_2559.29	1955.29_1955.29
970	3533.31_3533.31	2518.67_2518.67	1924.81_1924.81
971	3456.87_3456.87	2471.22_2471.22	1921.62_1921.62
972	3509.95_3509.95	2557.41_2557.41	1996.17_1996.17
973	3493.23_3493.23	2569.5_2569.5	2014.29_2014.29
974	3590.55_3590.55	2661.46_2661.46	1968.25_1968.25
975	3554.82_3554.82	2619.03_2619.03	2045.91_2045.91
976	3533.4_3533.4	2585.09_2585.09	2045.61_2045.61
977	3614.6_3614.6	2605.51_2605.51	2011.71_2011.71
978	3577.52_3577.52	2648.43_2648.43	2022.56_2022.56
979	3620.81_3620.81	2634.65_2634.65	2068.21_2068.21
980	3616.16_3616.16	2579.45_2579.45	2078.11_2078.11
981	3558.44_3558.44	2565.33_2565.33	2054.33_2054.33
982	3521.02_3521.02	2549.36_2549.36	1992.88_1992.88
983	3582_3582	2601.25_2601.25	1988.41_1988.41
984	3488.66_3488.66	2561.31_2561.31	1955.59_1955.59
985	3526.05_3526.05	2619.14_2619.14	1995.02_1995.02
986	3523.57_3523.57	2646.67_2646.67	1992.09_1992.09
987	3572.94_3572.94	2643.24_2643.24	2024.5_2024.5
988	3530.81_3530.81	2543.79_2543.79	1923.45_1923.45
989	3524.61_3524.61	2634.54_2634.54	1977.82_1977.82
990	3476.24_3476.24	2607.13_2607.13	1958.15_1958.15
991	3501.93_3501.93	2623.98_2623.98	1988.06_1988.06
992	3438.83_3438.83	2573.85_2573.85	1968.32_1968.32
993	3471.94_3471.94	2633.27_2633.27	1996.57_1996.57
994	3413.36_3413.36	2484.26_2484.26	1867.99_1867.99
995	3435.53_3435.53	2515.47_2515.47	1856.66_1856.66
996	3480.14_3480.14	2525.91_2525.91	1896.47_1896.47
997	3412.82_3412.82	2443.78_2443.78	1891.02_1891.02
998	3511.93_3511.93	2555.85_2555.85	1887.82_1887.82
999	3434.82_3434.82	2537.73_2537.73	1870.99_1870.99
1000	3496.88_3496.88	2559.74_2559.74	1878.69_1878.69
1001	3503.41_3503.41	2572.44_2572.44	1872.37_1872.37
1002	3472.14_3472.14	2575.34_2575.34	1931.79_1931.79
1003	3444.94_3444.94	2503.46_2503.46	1888.44_1888.44
1004	3507.31_3507.31	2526.36_2526.36	1878.62_1878.62
1005	3503.74_3503.74	2546.39_2546.39	1896.16_1896.16
1006	3482.76_3482.76	2554.45_2554.45	1949.52_1949.52
1007	3555.06_3555.06	2592.25_2592.25	1972.61_1972.61
1008	3528.76_3528.76	2568.82_2568.82	1954.36_1954.36
1009	3537.43_3537.43	2545.09_2545.09	1893.01_1893.01
1010	3593.72_3593.72	2610.55_2610.55	1987.02_1987.02
1011	3527_3527	2638.67_2638.67	1909.91_1909.91
1012	3493.41_3493.41	2553.82_2553.82	1931.51_1931.51
1013	3553.11_3553.11	2584.31_2584.31	1900.38_1900.38
1014	3565.9_3565.9	2641.83_2641.83	1902.49_1902.49
1015	3602.26_3602.26	2624.4_2624.4	1947.17_1947.17
1016	3593.43_3593.43	2654.78_2654.78	1873.52_1873.52
1017	3563.24_3563.24	2601.85_2601.85	1878.24_1878.24
1018	3500.9_3500.9	2598.06_2598.06	1874.78_1874.78
1019	3566.08_3566.08	2623.41_2623.41	1950_1950
1020	3561.82_3561.82	2648.76_2648.76	1991.04_1991.04
1021	3580.01_3580.01	2614.56_2614.56	1939.46_1939.46
1022	3497.35_3497.35	2675.65_2675.65	1964.33_1964.33
1023	3547.39_3547.39	2616.43_2616.43	2038.73_2038.73
1024	3531.99_3531.99	2651.55_2651.55	2039.63_2039.63
1025	3508.58_3508.58	2639.97_2639.97	1966.44_1966.44
1026	3460.96_3460.96	2628.41_2628.41	1991.24_1991.24
1027	3501.42_3501.42	2644.99_2644.99	1996.54_1996.54
1028	3551.83_3551.83	2692.31_2692.31	1997.32_1997.32
1029	3566.85_3566.85	2637.48_2637.48	1969.2_1969.2
1030	3548.36_3548.36	2630.5_2630.5	1979.51_1979.51
1031	3449.8_3449.8	2597.18_2597.18	2036.93_2036.93
1032	3467.49_3467.49	2686.59_2686.59	2146.78_2146.78
1033	3489.83_3489.83	2707.85_2707.85	2141.73_2141.73
1034	3495.16_3495.16	2713.67_2713.67	2145.23_2145.23
1035	3449.22_3449.22	2665.97_2665.97	2040.76_2040.76
1036	3453.57_3453.57	2628.14_2628.14	2024.91_2024.91
1037	3478.94_3478.94	2649.43_2649.43	2007.81_2007.81
1038	3422.98_3422.98	2572.66_2572.66	2042.18_2042.18
1039	3411.67_3411.67	2549.35_2549.35	2059.19_2059.19
1040	3448.59_3448.59	2593.12_2593.12	1966.29_1966.29
1041	3435.32_3435.32	2593.57_2593.57	2006.31_2006.31
1042	3480.61_3480.61	2574.98_2574.98	1947.32_1947.32
1043	3443.45_3443.45	2563.7_2563.7	1990.3_1990.3
1044	3458.16_3458.16	2552.33_2552.33	2076.24_2076.24
1045	3420.45_3420.45	2579.69_2579.69	1943.63_1943.63
1046	3472.7_3472.7	2589.5_2589.5	2043.78_2043.78
1047	3438.29_3438.29	2604.96_2604.96	2102.84_2102.84
1048	3405.51_3405.51	2552.04_2552.04	2072.05_2072.05
1049	3458.1_3458.1	2638.58_2638.58	1976.18_1976.18
