a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
700	3939.33_3939.33	3095_3095	2285.62_2285.62
701	4000.43_4000.43	3263.54_3263.54	2532.15_2532.15
702	3837.52_3837.52	3055.52_3055.52	2383.45_2383.45
703	3989.11_3989.11	3185.59_3185.59	2467.13_2467.13
704	3934.08_3934.08	3079.1_3079.1	2432.14_2432.14
705	3905.32_3905.32	2969.7_2969.7	2438.25_2438.25
706	3925.39_3925.39	3188.46_3188.46	2635.28_2635.28
707	3829.3_3829.3	2903.61_2903.61	2359.51_2359.51
708	3769.28_3769.28	2890.11_2890.11	2187.57_2187.57
709	3875.72_3875.72	3102.7_3102.7	2476.62_2476.62
710	3828.03_3828.03	3034.62_3034.62	2534.15_2534.15
711	3882.31_3882.31	3040.83_3040.83	2506.05_2506.05
712	3947.56_3947.56	2902.61_2902.61	2260.91_2260.91
713	3850.84_3850.84	3178.89_3178.89	2476.23_2476.23
714	3905.71_3905.71	3169.04_3169.04	2507.58_2507.58
715	3963.96_3963.96	3069.56_3069.56	2381.18_2381.18
716	3801.38_3801.38	3027.38_3027.38	2358.34_2358.34
717	3925.71_3925.71	3186.84_3186.84	2506.5_2506.5
718	3908.42_3908.42	3083.72_3083.72	2499.87_2499.87
719	3950.61_3950.61	3170.42_3170.42	2451.78_2451.78
720	3979.67_3979.67	3370.11_3370.11	2518.75_2518.75
721	3944.19_3944.19	3123.26_3123.26	2398.64_2398.64
722	3967.53_3967.53	3140.91_3140.91	2491.39_2491.39
723	3982.64_3982.64	3168.72_3168.72	2456.95_2456.95
724	3812.97_3812.97	2922.97_2922.97	2341.44_2341.44
725	4000.42_4000.42	3084.22_3084.22	2422.89_2422.89
726	3841.58_3841.58	3110.5_3110.5	2415.86_2415.86
727	4045.43_4045.43	3097.36_3097.36	2380_2380
728	3903.01_3903.01	3212.71_3212.71	2502.14_2502.14
729	3902.65_3902.65	3149.67_3149.67	2563.76_2563.76
730	3826.44_3826.44	3069.28_3069.28	2569.1_2569.1
731	3870.09_3870.09	3158.37_3158.37	2481.39_2481.39
732	3952.84_3952.84	3155.69_3155.69	2477.84_2477.84
733	4009.38_4009.38	3055.15_3055.15	2439.74_2439.74
734	3894.25_3894.25	3056.44_3056.44	2504.93_2504.93
735	3873.34_3873.34	3085.2_3085.2	2512.08_2512.08
736	3937.84_3937.84	2990.74_2990.74	2344.67_2344.67
737	3971.11_3971.11	3155.4_3155.4	2566.25_2566.25
738	4071.52_4071.52	3179.04_3179.04	2484.52_2484.52
