a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
700	3906.84_3906.84	3067.66_3067.66	2475.95_2475.95
701	3816.62_3816.62	3045.09_3045.09	2366.22_2366.22
702	3815.85_3815.85	3109.59_3109.59	2332.29_2332.29
703	3789.92_3789.92	2968.3_2968.3	2472.95_2472.95
704	3798.06_3798.06	2886.03_2886.03	2307.29_2307.29
705	3861.85_3861.85	3128.91_3128.91	2427.46_2427.46
706	3831.4_3831.4	2951.74_2951.74	2409.43_2409.43
707	3820.86_3820.86	2855.39_2855.39	2192.4_2192.4
708	3827.48_3827.48	3025.66_3025.66	2278.68_2278.68
709	3801.26_3801.26	2949.94_2949.94	2283.34_2283.34
710	3868.54_3868.54	3148.83_3148.83	2490.11_2490.11
711	3947.97_3947.97	3009.76_3009.76	2161.01_2161.01
712	3882.36_3882.36	3048.99_3048.99	2425.44_2425.44
713	3854.89_3854.89	3191.03_3191.03	2108.85_2108.85
714	3842.26_3842.26	3006.25_3006.25	2319.61_2319.61
715	3836.78_3836.78	2911.13_2911.13	2339.47_2339.47
716	3815.15_3815.15	3039.3_3039.3	2256.04_2256.04
717	3783.25_3783.25	2957.97_2957.97	2318.16_2318.16
718	3746.81_3746.81	2989.87_2989.87	2258.95_2258.95
719	3897.91_3897.91	3066.63_3066.63	2398.6_2398.6
720	3904.84_3904.84	3076.21_3076.21	2455.51_2455.51
721	3783.28_3783.28	2875.51_2875.51	2102.56_2102.56
722	3900.32_3900.32	3042.05_3042.05	2352.42_2352.42
723	3823.63_3823.63	2919.16_2919.16	2377.37_2377.37
724	3826.06_3826.06	3071.96_3071.96	2279.55_2279.55
725	3872.9_3872.9	2996.12_2996.12	2380.88_2380.88
726	3918.61_3918.61	3040.77_3040.77	2290.55_2290.55
727	3908.46_3908.46	2988.62_2988.62	2323.3_2323.3
728	3841.35_3841.35	3148_3148	2379.64_2379.64
729	3892.55_3892.55	3058.42_3058.42	2363.48_2363.48
730	3822.15_3822.15	2892.42_2892.42	2235.12_2235.12
731	3891.89_3891.89	3194.64_3194.64	2468.59_2468.59
732	3878.97_3878.97	3176.97_3176.97	2569.78_2569.78
733	3670.52_3670.52	2994.31_2994.31	2321.85_2321.85
734	3749.38_3749.38	2937.74_2937.74	2352.33_2352.33
735	3752.32_3752.32	3023.17_3023.17	2523.75_2523.75
736	3896.71_3896.71	2966.52_2966.52	2345.38_2345.38
737	3683.39_3683.39	2965.12_2965.12	2405.1_2405.1
738	3828.8_3828.8	3037.61_3037.61	2288.9_2288.9
739	3754.69_3754.69	3072.76_3072.76	2426.22_2426.22
740	3889.55_3889.55	2958.03_2958.03	2359.43_2359.43
741	3877.51_3877.51	3067.23_3067.23	2467.48_2467.48
742	3865.49_3865.49	3112.31_3112.31	2276.4_2276.4
743	3885.03_3885.03	3012.58_3012.58	2518.92_2518.92
744	3830.49_3830.49	3146.85_3146.85	2347.33_2347.33
745	3881.13_3881.13	2975.02_2975.02	2296.76_2296.76
746	3942.31_3942.31	3044.99_3044.99	2418.97_2418.97
747	3870.78_3870.78	3119.17_3119.17	2490.95_2490.95
748	3881.04_3881.04	2999.99_2999.99	2409.29_2409.29
749	3836.26_3836.26	2995.71_2995.71	2199.17_2199.17
750	4012.12_4012.12	3270.39_3270.39	2415.57_2415.57
751	3835.15_3835.15	3110.09_3110.09	2355.08_2355.08
752	3814.45_3814.45	3090.51_3090.51	2376.05_2376.05
753	4003.77_4003.77	2969.09_2969.09	2451.5_2451.5
754	3777.41_3777.41	3072.5_3072.5	2532.98_2532.98
755	3781.71_3781.71	3091.26_3091.26	2538.49_2538.49
756	3860.54_3860.54	3014.43_3014.43	2350.19_2350.19
757	3746.71_3746.71	2867.86_2867.86	2265.87_2265.87
758	3951.82_3951.82	3175.82_3175.82	2339.4_2339.4
759	3973.01_3973.01	3048.25_3048.25	2485.41_2485.41
760	3916.94_3916.94	3182.05_3182.05	2522.34_2522.34
761	3909.12_3909.12	2994.91_2994.91	2298.63_2298.63
762	3899.53_3899.53	3057.15_3057.15	2252.92_2252.92
763	3846.68_3846.68	3069.05_3069.05	2337.66_2337.66
764	3819.74_3819.74	3099.26_3099.26	2388.99_2388.99
765	3953.66_3953.66	3160.77_3160.77	2426.24_2426.24
766	3823.55_3823.55	3132.81_3132.81	2267.56_2267.56
767	3849.69_3849.69	2954.05_2954.05	2117.83_2117.83
768	3767.67_3767.67	2910.12_2910.12	2277.78_2277.78
769	3695.87_3695.87	2914.76_2914.76	2280.68_2280.68
770	3844.95_3844.95	3153.61_3153.61	2423.02_2423.02
771	3837.26_3837.26	3065.07_3065.07	2432.9_2432.9
772	3820.54_3820.54	3063.59_3063.59	2557.09_2557.09
773	3903.76_3903.76	3075.01_3075.01	2352.22_2352.22
774	3842.23_3842.23	2995.66_2995.66	2384.99_2384.99
775	3947.26_3947.26	3125.57_3125.57	2396.54_2396.54
776	3853.6_3853.6	2882.19_2882.19	2399.68_2399.68
777	3917.72_3917.72	3091.28_3091.28	2385.04_2385.04
778	3793.83_3793.83	3004.01_3004.01	2328.35_2328.35
779	3967.15_3967.15	3202.05_3202.05	2568.39_2568.39
780	3842.23_3842.23	2926.43_2926.43	2103.06_2103.06
781	3937.94_3937.94	2752.12_2752.12	2339.78_2339.78
782	3862.25_3862.25	3159.95_3159.95	2608.6_2608.6
783	3717.4_3717.4	3022.51_3022.51	2443.81_2443.81
784	3917.09_3917.09	3112.29_3112.29	2326.86_2326.86
785	3861.43_3861.43	3042.22_3042.22	2160.32_2160.32
786	3865.69_3865.69	3063.98_3063.98	2229.93_2229.93
787	3990.99_3990.99	3061.86_3061.86	2382.75_2382.75
788	3871.96_3871.96	2968.58_2968.58	2270.67_2270.67
789	3939.4_3939.4	3154_3154	2410.04_2410.04
790	3878.97_3878.97	2983.21_2983.21	2357_2357
791	3793.83_3793.83	3012.6_3012.6	2410.73_2410.73
792	3952.42_3952.42	3025.52_3025.52	2105.52_2105.52
793	4022.72_4022.72	3059.45_3059.45	2470.1_2470.1
794	3935.23_3935.23	3168.98_3168.98	2324.35_2324.35
795	3764.14_3764.14	3000.25_3000.25	2357.84_2357.84
796	3801.03_3801.03	2957.05_2957.05	2483.42_2483.42
797	3901.71_3901.71	2969.47_2969.47	2117.55_2117.55
798	3851.1_3851.1	2895.3_2895.3	2209.37_2209.37
799	3729.4_3729.4	2934.89_2934.89	2336.3_2336.3
800	3874.8_3874.8	2917.71_2917.71	2210.35_2210.35
801	3823.56_3823.56	3024.46_3024.46	2479.82_2479.82
802	3919.91_3919.91	3083.66_3083.66	2386.76_2386.76
803	3911.68_3911.68	3000.31_3000.31	2443.55_2443.55
804	3709.81_3709.81	3062.56_3062.56	2417.43_2417.43
805	3807.91_3807.91	2894.87_2894.87	2470.11_2470.11
806	3800.74_3800.74	3118.21_3118.21	2301.8_2301.8
807	3706.49_3706.49	2960.04_2960.04	2298.05_2298.05
808	3857.04_3857.04	3067.89_3067.89	2317.36_2317.36
809	3779.04_3779.04	3049.32_3049.32	2476.54_2476.54
810	3823.43_3823.43	3100.71_3100.71	2347.71_2347.71
