a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
1300	3897.62_3897.62	2985.51_2985.51	2420.33_2420.33
1301	3858.08_3858.08	3121.53_3121.53	2544.83_2544.83
1302	3862.09_3862.09	3023.97_3023.97	2124.93_2124.93
1303	3995.16_3995.16	3200.07_3200.07	2397.9_2397.9
1304	3898.17_3898.17	2989.88_2989.88	2457.84_2457.84
1305	3923.04_3923.04	3124.4_3124.4	2388.8_2388.8
1306	3783.19_3783.19	2906.07_2906.07	2279.04_2279.04
1307	3923.22_3923.22	3174.43_3174.43	2480.26_2480.26
1308	3944.16_3944.16	2990.2_2990.2	2424.91_2424.91
1309	3813.54_3813.54	3022.81_3022.81	2337.6_2337.6
1310	4000.49_4000.49	3181.51_3181.51	2489.68_2489.68
1311	3816.24_3816.24	3033.29_3033.29	2162.66_2162.66
1312	3784.04_3784.04	2929.78_2929.78	2239_2239
1313	3833.57_3833.57	3149.39_3149.39	2348.66_2348.66
1314	3882.45_3882.45	2915.53_2915.53	2488.85_2488.85
1315	3865.19_3865.19	3124.46_3124.46	2487.38_2487.38
1316	3940.4_3940.4	3062.57_3062.57	2447.17_2447.17
1317	3924.84_3924.84	3145.04_3145.04	2593.24_2593.24
1318	3842.15_3842.15	2941.29_2941.29	2348.04_2348.04
1319	3896.16_3896.16	2992.05_2992.05	2262.95_2262.95
1320	3855.63_3855.63	3166.13_3166.13	2453.75_2453.75
1321	3841.03_3841.03	3044.82_3044.82	2400.62_2400.62
1322	3905.78_3905.78	3221.42_3221.42	2539.12_2539.12
1323	3983.06_3983.06	3011.39_3011.39	2248.05_2248.05
1324	3822.09_3822.09	3045.94_3045.94	2402.56_2402.56
1325	3872.2_3872.2	3034.69_3034.69	2251.06_2251.06
1326	3939.84_3939.84	3042.59_3042.59	2358.72_2358.72
1327	3874.84_3874.84	3188.99_3188.99	2248.02_2248.02
1328	3891.43_3891.43	3086.7_3086.7	2448.57_2448.57
1329	3977.62_3977.62	3179.98_3179.98	2547.8_2547.8
