a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
550	3852.54_3852.54	3187.27_3187.27	2336.04_2336.04
551	3853.44_3853.44	3060.9_3060.9	2399.27_2399.27
552	3855.67_3855.67	3071.67_3071.67	2369.05_2369.05
553	3607.3_3607.3	2966.72_2966.72	2204.94_2204.94
554	3698.91_3698.91	2981.43_2981.43	2325.18_2325.18
555	3743.79_3743.79	2918.95_2918.95	2245.54_2245.54
556	3730.18_3730.18	2979.45_2979.45	2213.8_2213.8
557	3789.02_3789.02	3003.36_3003.36	2286.73_2286.73
558	3826.5_3826.5	2983.71_2983.71	2366.14_2366.14
559	3758.94_3758.94	3107.3_3107.3	2298.15_2298.15
560	3796.77_3796.77	3049.56_3049.56	2449.1_2449.1
561	3850.12_3850.12	3054.64_3054.64	2504.77_2504.77
562	3810.77_3810.77	3125.46_3125.46	2311.39_2311.39
563	3724.81_3724.81	2958.7_2958.7	2358.04_2358.04
564	3698.92_3698.92	2915.25_2915.25	2175.26_2175.26
565	3668.89_3668.89	2903.23_2903.23	2392.27_2392.27
566	3735.36_3735.36	3058.24_3058.24	2462.12_2462.12
567	3796.29_3796.29	3071.85_3071.85	2484.78_2484.78
568	3809.13_3809.13	3059.05_3059.05	2406.83_2406.83
569	3757.76_3757.76	2882.28_2882.28	2169.73_2169.73
570	3674.93_3674.93	2953.28_2953.28	2341.29_2341.29
571	3798.77_3798.77	2972.23_2972.23	2238.34_2238.34
572	3734.09_3734.09	2974.01_2974.01	2188.99_2188.99
573	3681.84_3681.84	2983.79_2983.79	2395.62_2395.62
574	3638.74_3638.74	2901.18_2901.18	2284.15_2284.15
575	3713.95_3713.95	2880.35_2880.35	2234.44_2234.44
576	3892.72_3892.72	3089.73_3089.73	2481.25_2481.25
577	3777.56_3777.56	2936.38_2936.38	2381.31_2381.31
578	3652.03_3652.03	2830.97_2830.97	2208.32_2208.32
579	3735.07_3735.07	2914.04_2914.04	2366.74_2366.74
580	3661.96_3661.96	2960.35_2960.35	2263_2263
581	3775.85_3775.85	2977.33_2977.33	2427.66_2427.66
582	3790.65_3790.65	2952.36_2952.36	2316.25_2316.25
583	3790.42_3790.42	3008.85_3008.85	2501.33_2501.33
584	3776.31_3776.31	3084.78_3084.78	2358.93_2358.93
585	3864.67_3864.67	3121.11_3121.11	2230.31_2230.31
586	3708.11_3708.11	2978.79_2978.79	2344.71_2344.71
587	3715.72_3715.72	2977.16_2977.16	2377.87_2377.87
588	3859.11_3859.11	3012.9_3012.9	2424.4_2424.4
589	3758.05_3758.05	3100.98_3100.98	2522.69_2522.69
590	3839.77_3839.77	3122.88_3122.88	2293.53_2293.53
591	3857.34_3857.34	2947.38_2947.38	2493.46_2493.46
592	3755.64_3755.64	3101.47_3101.47	2420.87_2420.87
593	3724.14_3724.14	2956.44_2956.44	2483.17_2483.17
594	3787.49_3787.49	3024.25_3024.25	2331.39_2331.39
595	3750.86_3750.86	2909.1_2909.1	2409.18_2409.18
596	3750.7_3750.7	2930.49_2930.49	2407.87_2407.87
597	3753.56_3753.56	3065.88_3065.88	2113.06_2113.06
598	3717.24_3717.24	3034.38_3034.38	2294.83_2294.83
599	3850.93_3850.93	3085.19_3085.19	2419.25_2419.25
600	3799.83_3799.83	3089.85_3089.85	2505.12_2505.12
601	3821.79_3821.79	3049.03_3049.03	2360.66_2360.66
602	3751.46_3751.46	2941.24_2941.24	2328.27_2328.27
603	3759.64_3759.64	3051.57_3051.57	2381.24_2381.24
604	3832.24_3832.24	3186.06_3186.06	2337.19_2337.19
605	3755.18_3755.18	2913_2913	2245.84_2245.84
606	3743.66_3743.66	3064.31_3064.31	2338.05_2338.05
607	3743.9_3743.9	2865.74_2865.74	2081.46_2081.46
608	3734.09_3734.09	2971.13_2971.13	2368.23_2368.23
609	3762.79_3762.79	2959.42_2959.42	2450.51_2450.51
610	3856.12_3856.12	2991.55_2991.55	2261.51_2261.51
611	3751.16_3751.16	3050.6_3050.6	2401.57_2401.57
612	3808.77_3808.77	3031.85_3031.85	2223.64_2223.64
613	3823.21_3823.21	3084.61_3084.61	2421.58_2421.58
614	3858.48_3858.48	3141.98_3141.98	2333.98_2333.98
615	3840.56_3840.56	3074.6_3074.6	2360.47_2360.47
616	3825.65_3825.65	3137.3_3137.3	2467.45_2467.45
617	3816.16_3816.16	2989.16_2989.16	2482.89_2482.89
618	3723.32_3723.32	2997.08_2997.08	2235.01_2235.01
619	3908.33_3908.33	2986.99_2986.99	2438.24_2438.24
620	3815.07_3815.07	3134.1_3134.1	2489.27_2489.27
621	3679.87_3679.87	3076.83_3076.83	2470.33_2470.33
622	3666.4_3666.4	2880.28_2880.28	2230.26_2230.26
623	3802.43_3802.43	2949.62_2949.62	2165.28_2165.28
624	3768.86_3768.86	3029.64_3029.64	2546.73_2546.73
625	3663.59_3663.59	2930.82_2930.82	2333.38_2333.38
626	3666.05_3666.05	2924.72_2924.72	2204.78_2204.78
627	3840.56_3840.56	3118.06_3118.06	2505.81_2505.81
628	3851.94_3851.94	3118.93_3118.93	2473.05_2473.05
629	3792.46_3792.46	2817.68_2817.68	2236.7_2236.7
630	3797.25_3797.25	3069.4_3069.4	2654.69_2654.69
631	3807.57_3807.57	3179.56_3179.56	2489.7_2489.7
632	3788.99_3788.99	2911.75_2911.75	2395.54_2395.54
633	3883.2_3883.2	3063.73_3063.73	2379.45_2379.45
634	3730.71_3730.71	3043.56_3043.56	2416.44_2416.44
635	3855.97_3855.97	3021.04_3021.04	2507.37_2507.37
636	3776.05_3776.05	3063.72_3063.72	2476.91_2476.91
637	3739.6_3739.6	3048.97_3048.97	2375.71_2375.71
638	3739.8_3739.8	2912.45_2912.45	2381.96_2381.96
639	3714.82_3714.82	3014.59_3014.59	2435.06_2435.06
640	3761.85_3761.85	3064.73_3064.73	2391.32_2391.32
641	3819.82_3819.82	2959.33_2959.33	2382.6_2382.6
642	3819.26_3819.26	3085.68_3085.68	2495.27_2495.27
643	3863.71_3863.71	3005.86_3005.86	2284.01_2284.01
644	3858.68_3858.68	3002.97_3002.97	2413.11_2413.11
645	3831.41_3831.41	3029.19_3029.19	2347.79_2347.79
646	3908.03_3908.03	3140_3140	2564.28_2564.28
647	3824.79_3824.79	3096.44_3096.44	2381.56_2381.56
648	3755.81_3755.81	2889.77_2889.77	2220.66_2220.66
649	3878.95_3878.95	3199.63_3199.63	2554.54_2554.54
650	3778.83_3778.83	2961.79_2961.79	2341.8_2341.8
651	3781.61_3781.61	2996.7_2996.7	2371.58_2371.58
