a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3755.64_3755.64	3054.85_3054.85	2282.82_2282.82
251	3870.66_3870.66	3072.32_3072.32	2243.63_2243.63
252	4042.9_4042.9	3105.75_3105.75	2440.17_2440.17
253	3998.01_3998.01	3214.24_3214.24	2554.04_2554.04
254	4060.91_4060.91	3396.89_3396.89	2535.49_2535.49
255	3984.04_3984.04	3062.45_3062.45	2542.17_2542.17
256	4066.01_4066.01	3206.92_3206.92	2620.61_2620.61
257	4039.1_4039.1	3128.98_3128.98	2405.19_2405.19
258	3919.02_3919.02	3086.55_3086.55	2279.5_2279.5
259	3983.04_3983.04	3134.36_3134.36	2569.47_2569.47
260	4004.11_4004.11	3092.74_3092.74	2396.42_2396.42
261	3958.84_3958.84	3133.02_3133.02	2532.36_2532.36
262	3950.11_3950.11	3174.91_3174.91	2530.71_2530.71
263	4086_4086	3156.08_3156.08	2545.59_2545.59
264	4078.95_4078.95	3303.14_3303.14	2363.11_2363.11
265	4007.7_4007.7	3161.22_3161.22	2305.2_2305.2
266	4108.09_4108.09	3262.89_3262.89	2576.52_2576.52
267	4103.64_4103.64	3150.94_3150.94	2429.93_2429.93
268	4075.96_4075.96	3206.97_3206.97	2441.52_2441.52
269	3922.58_3922.58	3121.66_3121.66	2369.81_2369.81
270	3974.73_3974.73	3145.43_3145.43	2540.69_2540.69
271	4068.27_4068.27	3292.51_3292.51	2542.65_2542.65
272	4044.21_4044.21	3335.58_3335.58	2607.07_2607.07
273	3977.44_3977.44	3073.41_3073.41	2597.42_2597.42
274	3965.24_3965.24	3114.66_3114.66	2520.61_2520.61
275	3979.66_3979.66	3169.91_3169.91	2447.62_2447.62
276	3978.86_3978.86	2912.97_2912.97	2310.13_2310.13
277	4091.93_4091.93	3303_3303	2246.58_2246.58
278	3918.61_3918.61	3086.72_3086.72	2422.64_2422.64
279	4102.97_4102.97	3270.76_3270.76	2578.06_2578.06
280	4060.42_4060.42	3164.31_3164.31	2327.78_2327.78
281	3998.77_3998.77	3048.2_3048.2	2456.09_2456.09
282	4041.52_4041.52	3183.61_3183.61	2588.64_2588.64
283	3874.99_3874.99	3172.88_3172.88	2414.17_2414.17
284	4005.39_4005.39	3206.7_3206.7	2425.35_2425.35
285	4031.13_4031.13	3050.15_3050.15	2387.45_2387.45
286	3999_3999	3269.02_3269.02	2611.75_2611.75
287	4071.55_4071.55	3307.44_3307.44	2713.17_2713.17
288	3938.63_3938.63	3173.41_3173.41	2525.76_2525.76
289	4101.61_4101.61	3260.98_3260.98	2739.5_2739.5
290	3911.55_3911.55	3126.2_3126.2	2530.21_2530.21
291	4001.27_4001.27	3104_3104	2479.51_2479.51
292	3954.79_3954.79	3117.27_3117.27	2681.28_2681.28
293	3994.13_3994.13	3160.32_3160.32	2551.34_2551.34
294	4145.9_4145.9	3051.2_3051.2	2471.48_2471.48
295	3991.98_3991.98	3245.08_3245.08	2558.09_2558.09
296	3959.03_3959.03	3074.71_3074.71	2451.15_2451.15
297	3964.64_3964.64	3103.62_3103.62	2454.16_2454.16
298	4046.47_4046.47	3276.93_3276.93	2637.13_2637.13
299	3903.23_3903.23	3166.02_3166.02	2359.52_2359.52
300	4044.06_4044.06	3284.25_3284.25	2500.47_2500.47
301	4046.43_4046.43	3212.62_3212.62	2437.79_2437.79
302	3981.07_3981.07	3171.65_3171.65	2526.37_2526.37
303	3882.43_3882.43	3064.16_3064.16	2273.98_2273.98
304	4002.83_4002.83	3160.95_3160.95	2360.63_2360.63
305	3993.37_3993.37	3159.98_3159.98	2512.23_2512.23
306	4097.96_4097.96	3243.55_3243.55	2312.03_2312.03
307	3879.15_3879.15	2952.14_2952.14	2259.71_2259.71
308	3982.7_3982.7	3166.47_3166.47	2553.14_2553.14
309	4003.88_4003.88	3053.18_3053.18	2476.76_2476.76
310	4093.09_4093.09	3239.88_3239.88	2467.62_2467.62
311	4101.19_4101.19	3182.41_3182.41	2431.32_2431.32
312	3727.1_3727.1	3196.29_3196.29	2522.58_2522.58
313	3865.2_3865.2	3123.06_3123.06	2460.33_2460.33
314	4009.13_4009.13	3132.38_3132.38	2453.92_2453.92
315	3895.93_3895.93	3053.16_3053.16	2380.12_2380.12
316	3922.55_3922.55	3104.89_3104.89	2570.91_2570.91
317	3954.2_3954.2	3229.66_3229.66	2574.96_2574.96
318	3983.91_3983.91	3245.33_3245.33	2644.95_2644.95
319	3977.84_3977.84	3311.11_3311.11	2423.48_2423.48
320	4049.57_4049.57	3010.55_3010.55	2405.57_2405.57
321	3978.86_3978.86	3224.95_3224.95	2690.09_2690.09
322	4055.84_4055.84	2970.33_2970.33	2158.32_2158.32
323	3882.84_3882.84	3014.15_3014.15	2444.55_2444.55
324	3989.2_3989.2	2981.04_2981.04	2348.63_2348.63
325	3935.87_3935.87	3036.01_3036.01	2399.53_2399.53
326	4008.83_4008.83	3226.19_3226.19	2540.29_2540.29
327	4047.14_4047.14	3212.05_3212.05	2617.78_2617.78
328	4022.38_4022.38	3218.21_3218.21	2589.71_2589.71
329	4001.44_4001.44	3128_3128	2429.86_2429.86
330	3964.8_3964.8	3201.45_3201.45	2512.05_2512.05
331	3939.46_3939.46	3116.52_3116.52	2427.99_2427.99
332	3938.78_3938.78	3221.06_3221.06	2439.79_2439.79
333	3918.08_3918.08	3169.09_3169.09	2498.9_2498.9
334	3826.68_3826.68	2842.85_2842.85	2243.26_2243.26
335	4039.58_4039.58	3234.07_3234.07	2488.81_2488.81
336	3977.33_3977.33	3104.92_3104.92	2413.52_2413.52
337	3925.4_3925.4	2972.43_2972.43	2217.77_2217.77
338	3978.18_3978.18	3071.54_3071.54	2617.35_2617.35
339	4009.25_4009.25	3303.79_3303.79	2752.04_2752.04
340	3964.43_3964.43	3043.36_3043.36	2327.69_2327.69
341	3998.64_3998.64	3291.95_3291.95	2496.71_2496.71
342	4097.2_4097.2	3089.35_3089.35	2385.95_2385.95
343	3956.32_3956.32	3165.32_3165.32	2590_2590
344	3966_3966	3319.12_3319.12	2545.88_2545.88
345	3950.37_3950.37	3209.38_3209.38	2544.35_2544.35
346	3955.51_3955.51	3031.92_3031.92	2370.39_2370.39
347	4025.19_4025.19	3024.32_3024.32	2365.78_2365.78
348	4054.76_4054.76	3193.14_3193.14	2372.92_2372.92
349	4053.89_4053.89	3141.56_3141.56	2380.16_2380.16
350	4006.08_4006.08	3222.43_3222.43	2380.33_2380.33
351	3951.28_3951.28	3078.91_3078.91	2445.08_2445.08
352	3952.31_3952.31	3132.88_3132.88	2473.24_2473.24
353	4036.63_4036.63	3173.17_3173.17	2513.21_2513.21
354	3934.86_3934.86	3198.45_3198.45	2208.09_2208.09
355	4085.37_4085.37	3036.96_3036.96	2344.29_2344.29
356	3978.83_3978.83	3189.44_3189.44	2472.74_2472.74
357	3925.61_3925.61	2988.3_2988.3	2290.55_2290.55
358	4061.64_4061.64	3000.1_3000.1	2341.38_2341.38
359	4062.94_4062.94	3003.94_3003.94	2316.25_2316.25
360	4009.3_4009.3	3276.38_3276.38	2419.21_2419.21
361	4080.41_4080.41	3220.31_3220.31	2553.6_2553.6
362	4070.43_4070.43	3124.85_3124.85	2447.45_2447.45
363	4048.99_4048.99	3114.53_3114.53	2354.33_2354.33
364	4057.3_4057.3	3035.02_3035.02	2383.38_2383.38
365	3904.67_3904.67	3126.32_3126.32	2490.58_2490.58
366	3928.74_3928.74	3145.71_3145.71	2424.1_2424.1
367	4033.48_4033.48	3006.16_3006.16	2431.7_2431.7
368	3818.91_3818.91	3061.05_3061.05	2367.02_2367.02
369	4020.46_4020.46	3158.49_3158.49	2378.33_2378.33
370	4010.31_4010.31	3093.44_3093.44	2194.71_2194.71
371	4070.82_4070.82	3104.83_3104.83	2348.67_2348.67
372	4024.88_4024.88	3355.5_3355.5	2728.93_2728.93
373	4118.5_4118.5	3381.6_3381.6	2655.81_2655.81
374	4119.26_4119.26	3196.41_3196.41	2455.27_2455.27
375	3888_3888	2999.89_2999.89	2602.88_2602.88
376	4011.77_4011.77	3165.5_3165.5	2273.93_2273.93
377	4013.41_4013.41	3272.1_3272.1	2394.35_2394.35
378	3919.68_3919.68	3079.64_3079.64	2453.11_2453.11
379	3982.31_3982.31	3069.16_3069.16	2246.03_2246.03
380	3897.61_3897.61	3025.28_3025.28	2499.69_2499.69
381	3986.47_3986.47	3139.95_3139.95	2397.99_2397.99
382	4090.55_4090.55	3350.74_3350.74	2599.59_2599.59
383	4026.31_4026.31	3203.09_3203.09	2384.46_2384.46
384	3984.52_3984.52	3054.52_3054.52	2327.17_2327.17
385	3962.2_3962.2	3052.6_3052.6	2460.9_2460.9
386	4059.4_4059.4	3332.14_3332.14	2790.52_2790.52
387	3944.91_3944.91	3032.83_3032.83	2353.85_2353.85
388	3860.51_3860.51	3149.59_3149.59	2602.98_2602.98
389	4060.05_4060.05	3192.6_3192.6	2546.62_2546.62
390	4020.84_4020.84	3176.24_3176.24	2354.35_2354.35
391	3995.11_3995.11	3145.36_3145.36	2530.65_2530.65
392	3961.47_3961.47	3009.93_3009.93	2343.02_2343.02
393	4051.51_4051.51	3330.33_3330.33	2615.47_2615.47
394	4069.58_4069.58	3371.44_3371.44	2632.7_2632.7
395	4152.5_4152.5	3331.15_3331.15	2452.99_2452.99
396	3967.93_3967.93	2941.9_2941.9	2375.33_2375.33
