a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3985.36_3985.36	3252.11_3252.11	2512.88_2512.88
251	3871.16_3871.16	3060.53_3060.53	2582.42_2582.42
252	3896.49_3896.49	3154.58_3154.58	2509.06_2509.06
253	3901.3_3901.3	3170.12_3170.12	2560.31_2560.31
254	3895.05_3895.05	3064.21_3064.21	2482.35_2482.35
255	4013.59_4013.59	3221.23_3221.23	2472.74_2472.74
256	3972.33_3972.33	3103.93_3103.93	2608.39_2608.39
257	3992.12_3992.12	3266.28_3266.28	2569.27_2569.27
258	3989.92_3989.92	3220.96_3220.96	2694.01_2694.01
259	3979.69_3979.69	3225.41_3225.41	2530.36_2530.36
260	3886.57_3886.57	3019.09_3019.09	2422.52_2422.52
261	3970.51_3970.51	3122.75_3122.75	2415.6_2415.6
262	3953.25_3953.25	3219.36_3219.36	2602.68_2602.68
263	3979.66_3979.66	3171.03_3171.03	2472.43_2472.43
264	3921.42_3921.42	3063.09_3063.09	2503.98_2503.98
265	4027.67_4027.67	3180.37_3180.37	2525.95_2525.95
266	4002.06_4002.06	3198.88_3198.88	2554.43_2554.43
267	3995.83_3995.83	3211.5_3211.5	2711.77_2711.77
268	3968.62_3968.62	3217.27_3217.27	2621.86_2621.86
269	4019.1_4019.1	3186.15_3186.15	2480.94_2480.94
270	3928.75_3928.75	3115.19_3115.19	2573.46_2573.46
271	3833.68_3833.68	3087.35_3087.35	2401.28_2401.28
272	3954.42_3954.42	3214.92_3214.92	2400.18_2400.18
273	3994.49_3994.49	3121.16_3121.16	2601.97_2601.97
274	4023.71_4023.71	3203.54_3203.54	2664.56_2664.56
275	3959.01_3959.01	3103.85_3103.85	2434.17_2434.17
276	3995.74_3995.74	3098.68_3098.68	2472.03_2472.03
277	3973.25_3973.25	3102.38_3102.38	2442.05_2442.05
278	3909.95_3909.95	3096.98_3096.98	2457.58_2457.58
279	3928.39_3928.39	3076.13_3076.13	2508.17_2508.17
280	4057.61_4057.61	3054.12_3054.12	2475.74_2475.74
281	3906.76_3906.76	3196.21_3196.21	2730.47_2730.47
282	3947.71_3947.71	3261.02_3261.02	2536.69_2536.69
283	4026.04_4026.04	3320.2_3320.2	2630.62_2630.62
284	4018.35_4018.35	3190.43_3190.43	2400.29_2400.29
285	3968.51_3968.51	3061.17_3061.17	2310.73_2310.73
