a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3993.4_3993.4	3106.34_3106.34	2450.15_2450.15
251	4139.82_4139.82	3282.26_3282.26	2719.47_2719.47
252	3943.27_3943.27	3062.88_3062.88	2543.89_2543.89
253	3957.26_3957.26	3033.75_3033.75	2270.6_2270.6
254	3967.32_3967.32	3174.5_3174.5	2495.58_2495.58
255	4001.12_4001.12	3160.84_3160.84	2287.23_2287.23
256	3954.22_3954.22	3221.87_3221.87	2601.13_2601.13
257	4122.59_4122.59	3242.81_3242.81	2656.3_2656.3
258	3888.22_3888.22	2957.05_2957.05	2283.62_2283.62
259	3981.11_3981.11	3244.54_3244.54	2394.9_2394.9
260	3851.45_3851.45	3030.1_3030.1	2323.91_2323.91
261	4090.95_4090.95	3017.56_3017.56	2460.72_2460.72
262	3871.52_3871.52	3023.6_3023.6	2445.15_2445.15
263	4003.35_4003.35	3013.58_3013.58	2427.36_2427.36
264	3953.78_3953.78	3121.47_3121.47	2386.13_2386.13
265	4074.92_4074.92	3226.26_3226.26	2343.73_2343.73
266	3991.99_3991.99	3181.93_3181.93	2300.32_2300.32
267	4067.56_4067.56	3185.98_3185.98	2533.57_2533.57
268	3914.85_3914.85	3018.75_3018.75	2327.69_2327.69
269	3941.8_3941.8	3025.7_3025.7	2350.7_2350.7
270	4086.38_4086.38	3196.78_3196.78	2468.95_2468.95
271	4096.96_4096.96	3373.65_3373.65	2413.63_2413.63
272	3878.77_3878.77	2987.26_2987.26	2309.61_2309.61
273	4059.78_4059.78	3228.5_3228.5	2417.36_2417.36
274	4109.98_4109.98	3244.04_3244.04	2770.19_2770.19
275	4080.91_4080.91	3223.75_3223.75	2447.09_2447.09
276	3996.63_3996.63	3143.94_3143.94	2327.09_2327.09
277	4001.77_4001.77	3007.6_3007.6	2554.68_2554.68
278	3994.23_3994.23	3228.69_3228.69	2553.36_2553.36
279	3960.19_3960.19	2994.35_2994.35	2327.83_2327.83
280	3985.45_3985.45	2922.66_2922.66	2410.27_2410.27
281	3940.53_3940.53	3153.52_3153.52	2384.59_2384.59
282	4009.53_4009.53	3249.22_3249.22	2685.21_2685.21
283	4029.22_4029.22	2957.02_2957.02	2275.93_2275.93
