a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3934.15_3934.15	3113.12_3113.12	2390.05_2390.05
251	3867.2_3867.2	3116.25_3116.25	2610.55_2610.55
252	3897.96_3897.96	3319.51_3319.51	2766.11_2766.11
253	4024.3_4024.3	3136.92_3136.92	2480.2_2480.2
254	3965.45_3965.45	3172.79_3172.79	2554.31_2554.31
255	4018.76_4018.76	3262.84_3262.84	2770.4_2770.4
256	4053.64_4053.64	3113.37_3113.37	2505.02_2505.02
257	3951.71_3951.71	3194.02_3194.02	2556.08_2556.08
258	3977.75_3977.75	3173.35_3173.35	2580.58_2580.58
259	3984.88_3984.88	3014.79_3014.79	2482.84_2482.84
260	3863.41_3863.41	3022.76_3022.76	2285.17_2285.17
261	3793.16_3793.16	3056.64_3056.64	2283.48_2283.48
262	3972.1_3972.1	3147.96_3147.96	2386.58_2386.58
263	3922.02_3922.02	3026.15_3026.15	2464.19_2464.19
264	3938.12_3938.12	3190.5_3190.5	2523.36_2523.36
265	3905.16_3905.16	2954.93_2954.93	2295.75_2295.75
266	3919.2_3919.2	3148.04_3148.04	2252.6_2252.6
267	3923.14_3923.14	3184.12_3184.12	2512.46_2512.46
268	3960.78_3960.78	3082.12_3082.12	2584.88_2584.88
269	3825.18_3825.18	2872.98_2872.98	2196.07_2196.07
270	3941.25_3941.25	3092.37_3092.37	2506.47_2506.47
271	3978.59_3978.59	3016.68_3016.68	2449.88_2449.88
272	3878.79_3878.79	2987.62_2987.62	2267.57_2267.57
273	3902.27_3902.27	3183.86_3183.86	2522.31_2522.31
274	3989.58_3989.58	3233.6_3233.6	2550.99_2550.99
275	3957.31_3957.31	3178.57_3178.57	2453.58_2453.58
276	3897.84_3897.84	3130.2_3130.2	2175.78_2175.78
277	3901.09_3901.09	3233.08_3233.08	2468.84_2468.84
278	3836.86_3836.86	3065.23_3065.23	2397.5_2397.5
279	3932.08_3932.08	3208.45_3208.45	2474.72_2474.72
280	3900.89_3900.89	3100.59_3100.59	2383.88_2383.88
281	3898.24_3898.24	3052.36_3052.36	2326.74_2326.74
282	3931.63_3931.63	3090.34_3090.34	2411.89_2411.89
283	3897.45_3897.45	3130.48_3130.48	2463.69_2463.69
284	3919.72_3919.72	3100.36_3100.36	2528.06_2528.06
285	3950.62_3950.62	3131.75_3131.75	2471.88_2471.88
286	3929.55_3929.55	3125.94_3125.94	2550.1_2550.1
287	3910.02_3910.02	3197.13_3197.13	2457.03_2457.03
288	4094.01_4094.01	3166.38_3166.38	2567.78_2567.78
289	3977.39_3977.39	3019.11_3019.11	2442.27_2442.27
290	3882.3_3882.3	3195.29_3195.29	2604.8_2604.8
291	3863.56_3863.56	3064.86_3064.86	2477.23_2477.23
292	3980.94_3980.94	3249.12_3249.12	2358.01_2358.01
293	3880.63_3880.63	3145.45_3145.45	2354.13_2354.13
294	3922.15_3922.15	3123.82_3123.82	2430.25_2430.25
295	3952.33_3952.33	3065.53_3065.53	2146.04_2146.04
296	4013.86_4013.86	3079.21_3079.21	2325.89_2325.89
297	3891.62_3891.62	3017.01_3017.01	2402.82_2402.82
298	3936.78_3936.78	3111.01_3111.01	2470.16_2470.16
299	3840.94_3840.94	2876.64_2876.64	2279.11_2279.11
300	4012.45_4012.45	3177.09_3177.09	2347.12_2347.12
301	3920.5_3920.5	3011.71_3011.71	2347.78_2347.78
302	3901.26_3901.26	3042.17_3042.17	2542.23_2542.23
303	3910.56_3910.56	3147.82_3147.82	2557.36_2557.36
304	3899.01_3899.01	3185.8_3185.8	2353.88_2353.88
305	3792.87_3792.87	3004.4_3004.4	2469.78_2469.78
306	3951.91_3951.91	2922.38_2922.38	2259.09_2259.09
307	3946.55_3946.55	3021.11_3021.11	2468.35_2468.35
308	3939.7_3939.7	3257.93_3257.93	2469.03_2469.03
309	3935.3_3935.3	3017.2_3017.2	2445.04_2445.04
310	3992.94_3992.94	3122.46_3122.46	2443.65_2443.65
311	3919.77_3919.77	3119.47_3119.47	2586.97_2586.97
312	4036.1_4036.1	3054.5_3054.5	2351.82_2351.82
313	3860.78_3860.78	3044.85_3044.85	2362.06_2362.06
314	4011.81_4011.81	3076.15_3076.15	2296.16_2296.16
315	3956.18_3956.18	3070.53_3070.53	2711.46_2711.46
316	4015.55_4015.55	3098.11_3098.11	2551.34_2551.34
317	3880.46_3880.46	3105.73_3105.73	2525.32_2525.32
318	3938.31_3938.31	3040.61_3040.61	2429.52_2429.52
319	3905.41_3905.41	3132.17_3132.17	2362.95_2362.95
320	3990.08_3990.08	3134.54_3134.54	2478.94_2478.94
321	3943.37_3943.37	3155.03_3155.03	2563.56_2563.56
322	4021.89_4021.89	3268.69_3268.69	2679.12_2679.12
323	3991.81_3991.81	3195.74_3195.74	2366.06_2366.06
324	3848.15_3848.15	3094.73_3094.73	2384.64_2384.64
325	3993.11_3993.11	3064.9_3064.9	2639.61_2639.61
326	3961.01_3961.01	3226.28_3226.28	2350.99_2350.99
327	3813.63_3813.63	3076.93_3076.93	2587.84_2587.84
328	3971.92_3971.92	3211.32_3211.32	2470.41_2470.41
329	3899.44_3899.44	3109.13_3109.13	2553.14_2553.14
330	3916.9_3916.9	3066.45_3066.45	2401.14_2401.14
331	3961.08_3961.08	3148.54_3148.54	2518.59_2518.59
332	3980.43_3980.43	3240.02_3240.02	2432.37_2432.37
333	3894.16_3894.16	2969.35_2969.35	2429.9_2429.9
334	3890.41_3890.41	2977.86_2977.86	2346.08_2346.08
335	3898.38_3898.38	3064.81_3064.81	2401.91_2401.91
336	4052.84_4052.84	3058.59_3058.59	2479.92_2479.92
337	3922.86_3922.86	3018.2_3018.2	2398.82_2398.82
338	3876.22_3876.22	2988.02_2988.02	2401.66_2401.66
339	4016.77_4016.77	3010.89_3010.89	2294.15_2294.15
340	3997.24_3997.24	3245.38_3245.38	2611.93_2611.93
341	3815.54_3815.54	3063.97_3063.97	2406.4_2406.4
342	4060.48_4060.48	3022.31_3022.31	2429.16_2429.16
343	4065.11_4065.11	3067.19_3067.19	2478.88_2478.88
344	3885.4_3885.4	3064.1_3064.1	2481.91_2481.91
345	3948.48_3948.48	3209.81_3209.81	2356.09_2356.09
346	3892.64_3892.64	3089.89_3089.89	2507.96_2507.96
347	3998.25_3998.25	3244.64_3244.64	2421.78_2421.78
348	4005.75_4005.75	3121.14_3121.14	2198.37_2198.37
349	4089.38_4089.38	3338.65_3338.65	2435.76_2435.76
350	3922.39_3922.39	2990.59_2990.59	2386.76_2386.76
351	3944.79_3944.79	3220.79_3220.79	2431.71_2431.71
352	3897.98_3897.98	3093.45_3093.45	2496.82_2496.82
353	3935.03_3935.03	3084.62_3084.62	2504.36_2504.36
354	3937.2_3937.2	3149.69_3149.69	2640.26_2640.26
355	3933.11_3933.11	3076.87_3076.87	2554.94_2554.94
356	3901.35_3901.35	3135.78_3135.78	2488.2_2488.2
357	4029.3_4029.3	3329.96_3329.96	2369.79_2369.79
358	4007.63_4007.63	3158.2_3158.2	2448.48_2448.48
359	3986.13_3986.13	2870.67_2870.67	2252.35_2252.35
360	3836.23_3836.23	3034.84_3034.84	2536.58_2536.58
361	3918.52_3918.52	3113.14_3113.14	2554.42_2554.42
362	3992.82_3992.82	2953.81_2953.81	2253.72_2253.72
363	3941.41_3941.41	3066.83_3066.83	2544.32_2544.32
364	3922.68_3922.68	3027.32_3027.32	2504.83_2504.83
365	3969.31_3969.31	3137.38_3137.38	2466.77_2466.77
366	3958.24_3958.24	3111.35_3111.35	2352.14_2352.14
367	3910.66_3910.66	3141.53_3141.53	2321.62_2321.62
368	3942.16_3942.16	3163.32_3163.32	2459.84_2459.84
369	4034.23_4034.23	3102.53_3102.53	2476.73_2476.73
370	4027.12_4027.12	3250.42_3250.42	2502.63_2502.63
371	3859.39_3859.39	3070.8_3070.8	2414.01_2414.01
372	3857.91_3857.91	3084.07_3084.07	2281.14_2281.14
373	3926.62_3926.62	3184.82_3184.82	2548.89_2548.89
374	4015.14_4015.14	3212.14_3212.14	2409.36_2409.36
375	3903.27_3903.27	3008.69_3008.69	2488.68_2488.68
376	3890.61_3890.61	3165.12_3165.12	2432.1_2432.1
377	4053.69_4053.69	2955.24_2955.24	2241.97_2241.97
378	3925.5_3925.5	2964.83_2964.83	2301.6_2301.6
379	3948.11_3948.11	3125.25_3125.25	2356.63_2356.63
380	3758.57_3758.57	3049.23_3049.23	2434.05_2434.05
381	3976.92_3976.92	3117.78_3117.78	2414.33_2414.33
382	3877.49_3877.49	3159.25_3159.25	2485_2485
383	4039.83_4039.83	3132.32_3132.32	2602.63_2602.63
384	3953.85_3953.85	3129.29_3129.29	2381.58_2381.58
385	3822.68_3822.68	3072.95_3072.95	2517.54_2517.54
386	3999.16_3999.16	3191.48_3191.48	2494.65_2494.65
387	3872.01_3872.01	3037.88_3037.88	2431.91_2431.91
388	3938.08_3938.08	2996.43_2996.43	2284.44_2284.44
389	3930.59_3930.59	3106.9_3106.9	2566.46_2566.46
390	3736.74_3736.74	2980.44_2980.44	2289.43_2289.43
391	3804_3804	2900.97_2900.97	2374.85_2374.85
392	3934.86_3934.86	2904.28_2904.28	2249.17_2249.17
