a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3829.56_3829.56	3063.36_3063.36	2210.54_2210.54
251	3795.98_3795.98	3014.06_3014.06	2372.39_2372.39
252	3876.17_3876.17	2992.69_2992.69	2396.09_2396.09
253	3856.22_3856.22	2799.93_2799.93	2289.16_2289.16
254	3860.56_3860.56	3023.62_3023.62	2422.03_2422.03
255	3944.32_3944.32	3060.9_3060.9	2536.16_2536.16
256	3969.26_3969.26	2971.68_2971.68	2313.21_2313.21
257	3780.75_3780.75	2903.61_2903.61	2379.38_2379.38
258	3925.47_3925.47	3133.86_3133.86	2362.93_2362.93
259	3914.84_3914.84	3018.79_3018.79	2482.98_2482.98
260	3871.33_3871.33	2985.81_2985.81	2339.97_2339.97
261	4021.02_4021.02	3118.64_3118.64	2439.29_2439.29
262	3845.69_3845.69	3134.14_3134.14	2416.14_2416.14
263	3885.49_3885.49	2920.68_2920.68	2193.41_2193.41
264	3789.56_3789.56	3065.26_3065.26	2348.31_2348.31
265	3898.02_3898.02	3248.45_3248.45	2386.16_2386.16
266	3992_3992	3213.78_3213.78	2723.34_2723.34
267	3933.51_3933.51	3103.15_3103.15	2371.84_2371.84
268	3933.02_3933.02	3018.57_3018.57	2334.11_2334.11
269	3885.56_3885.56	3151.56_3151.56	2314.91_2314.91
270	3853.46_3853.46	3101.01_3101.01	2237.42_2237.42
271	3970.24_3970.24	3083.37_3083.37	2421.85_2421.85
272	3989.92_3989.92	3063.36_3063.36	2279.92_2279.92
273	3941.7_3941.7	3092.68_3092.68	2415.34_2415.34
274	3833.1_3833.1	2976.86_2976.86	2209.87_2209.87
275	3828.84_3828.84	3038.62_3038.62	2503.44_2503.44
276	3837.35_3837.35	3133.53_3133.53	2500.86_2500.86
277	3923.87_3923.87	3178.96_3178.96	2418.17_2418.17
278	3820.09_3820.09	3128.02_3128.02	2414.87_2414.87
279	3908.29_3908.29	2996.06_2996.06	2283.91_2283.91
280	3842.87_3842.87	2901.39_2901.39	2329.34_2329.34
281	3908.19_3908.19	3015.63_3015.63	2364.26_2364.26
