a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
700	4051.63_4051.63	3113.43_3113.43	2353.18_2353.18
701	3883.69_3883.69	3036.1_3036.1	2400.67_2400.67
702	3818.45_3818.45	3008.04_3008.04	2401.57_2401.57
703	3898.36_3898.36	3049.28_3049.28	2357.74_2357.74
704	3930.73_3930.73	3223.4_3223.4	2416.82_2416.82
705	4047.16_4047.16	3176.31_3176.31	2287.6_2287.6
706	3870.24_3870.24	2944.1_2944.1	2353.36_2353.36
707	3885.97_3885.97	3156.83_3156.83	2212.58_2212.58
708	3900.36_3900.36	3206.54_3206.54	2319.99_2319.99
709	3878.06_3878.06	3124.74_3124.74	2528.55_2528.55
710	3754.48_3754.48	2837.32_2837.32	2264.23_2264.23
711	3778.06_3778.06	2953.6_2953.6	2426.74_2426.74
712	3937_3937	3187.63_3187.63	2371.21_2371.21
713	3926.99_3926.99	3069.62_3069.62	2216.64_2216.64
714	3946.21_3946.21	3126.58_3126.58	2497.5_2497.5
715	3892.72_3892.72	3137.65_3137.65	2220.97_2220.97
716	3999.19_3999.19	3084.78_3084.78	2177.05_2177.05
717	3969.7_3969.7	3080.46_3080.46	2375.68_2375.68
718	3860.47_3860.47	2861.98_2861.98	2053.66_2053.66
719	3895.14_3895.14	3099.78_3099.78	2511.46_2511.46
720	4025.52_4025.52	3093.19_3093.19	2625.23_2625.23
721	3934.38_3934.38	3088.46_3088.46	2525.99_2525.99
722	3786.32_3786.32	2985.43_2985.43	2216.29_2216.29
723	3911.35_3911.35	3135.7_3135.7	2533.08_2533.08
724	3931.35_3931.35	3223.11_3223.11	2662.33_2662.33
725	3824.01_3824.01	3008.54_3008.54	2501.01_2501.01
726	3850.85_3850.85	3022.35_3022.35	2523.62_2523.62
727	3901.87_3901.87	3098.13_3098.13	2471.65_2471.65
728	3978.6_3978.6	3061.54_3061.54	2373.68_2373.68
729	3920.9_3920.9	3041.32_3041.32	2327.93_2327.93
730	3957.43_3957.43	3097.82_3097.82	2294.66_2294.66
731	3847.92_3847.92	3101.53_3101.53	2320.9_2320.9
732	4015.96_4015.96	3235.63_3235.63	2463.13_2463.13
733	4055.95_4055.95	3226.37_3226.37	2563.89_2563.89
734	3903.43_3903.43	2996.74_2996.74	2289.66_2289.66
735	3921.29_3921.29	3099.76_3099.76	2670.92_2670.92
736	3902.11_3902.11	3116.35_3116.35	2533.75_2533.75
737	3970.14_3970.14	3221.06_3221.06	2288.47_2288.47
738	3979.41_3979.41	3036.51_3036.51	2520.69_2520.69
739	3793.83_3793.83	2992.05_2992.05	2399.27_2399.27
740	3891.96_3891.96	3009.77_3009.77	2386.29_2386.29
741	3878.93_3878.93	2999.44_2999.44	2380.05_2380.05
742	3880.83_3880.83	2849.37_2849.37	2271.97_2271.97
743	3976.98_3976.98	3124.73_3124.73	2551.91_2551.91
744	3897.69_3897.69	2982.78_2982.78	2232.16_2232.16
745	3796.1_3796.1	2905.87_2905.87	2345.05_2345.05
746	3842.57_3842.57	3197.13_3197.13	2309.42_2309.42
747	4021.57_4021.57	3265.96_3265.96	2643.01_2643.01
748	4022.42_4022.42	3321.14_3321.14	2450.94_2450.94
749	4042.7_4042.7	3053.42_3053.42	2522.24_2522.24
750	3988.79_3988.79	3013.16_3013.16	2329.04_2329.04
751	3909.61_3909.61	3009.74_3009.74	2450.85_2450.85
752	4019.23_4019.23	3139.33_3139.33	2399.51_2399.51
753	3920.7_3920.7	3228.17_3228.17	2584.31_2584.31
754	3949.62_3949.62	3177.44_3177.44	2441.49_2441.49
755	3991.82_3991.82	3163.46_3163.46	2428.74_2428.74
756	4037.45_4037.45	3091.01_3091.01	2419.2_2419.2
757	3846.44_3846.44	3030.26_3030.26	2403.1_2403.1
758	3836.79_3836.79	3134.44_3134.44	2334.94_2334.94
759	3863.76_3863.76	3057.67_3057.67	2422.34_2422.34
760	3943.28_3943.28	3101.2_3101.2	2428.83_2428.83
761	3921.68_3921.68	3263.63_3263.63	2390.25_2390.25
762	3937.01_3937.01	3079.72_3079.72	2392.69_2392.69
