a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3839.93_3839.93	3075.03_3075.03	2439.96_2439.96
251	3775.31_3775.31	3058.64_3058.64	2418.96_2418.96
252	3913.63_3913.63	3046.54_3046.54	2425.23_2425.23
253	3986.41_3986.41	3278.27_3278.27	2480.86_2480.86
254	4011.2_4011.2	3284.62_3284.62	2693.13_2693.13
255	3856.44_3856.44	3152.84_3152.84	2579.41_2579.41
256	4008.8_4008.8	3271.38_3271.38	2600.94_2600.94
257	4047.41_4047.41	3312.77_3312.77	2583.96_2583.96
258	3885.23_3885.23	3080.78_3080.78	2431.59_2431.59
259	3904.22_3904.22	3004.6_3004.6	2548.63_2548.63
260	4006.84_4006.84	3099.27_3099.27	2300.65_2300.65
261	3948.5_3948.5	3176.11_3176.11	2555.65_2555.65
262	3929.63_3929.63	3184.92_3184.92	2482.97_2482.97
263	3862.94_3862.94	3057.96_3057.96	2396.77_2396.77
264	4041.52_4041.52	3259.55_3259.55	2624.91_2624.91
265	3940.72_3940.72	3372.99_3372.99	2649.67_2649.67
266	3874.66_3874.66	2904.87_2904.87	2363.34_2363.34
267	4136.6_4136.6	3449.03_3449.03	2416.59_2416.59
268	3980.1_3980.1	3274.64_3274.64	2341.65_2341.65
269	4005.68_4005.68	3202.18_3202.18	2593.85_2593.85
270	3893.92_3893.92	3011.9_3011.9	2351.61_2351.61
271	3883.48_3883.48	3156.87_3156.87	2664.03_2664.03
272	3877.1_3877.1	3055.53_3055.53	2474.74_2474.74
273	3967.79_3967.79	3101.4_3101.4	2456.39_2456.39
274	3850.71_3850.71	3070.2_3070.2	2516.89_2516.89
275	3948.12_3948.12	2983.47_2983.47	2265.36_2265.36
276	4029.91_4029.91	3276.26_3276.26	2438.25_2438.25
277	4078.86_4078.86	3266.21_3266.21	2527.13_2527.13
278	3849.86_3849.86	3165.07_3165.07	2474.44_2474.44
279	3943.75_3943.75	3090.04_3090.04	2461.66_2461.66
280	3994.67_3994.67	3218.05_3218.05	2262.54_2262.54
281	3912.68_3912.68	3063.98_3063.98	2477.12_2477.12
282	4040.57_4040.57	3025.24_3025.24	2357.55_2357.55
283	4058.58_4058.58	3048.72_3048.72	2473.01_2473.01
284	3840.57_3840.57	3016.41_3016.41	2368.31_2368.31
285	3981.81_3981.81	3145.41_3145.41	2443.21_2443.21
286	3983.23_3983.23	3123.79_3123.79	2702.56_2702.56
287	3914.38_3914.38	3116.46_3116.46	2362.7_2362.7
288	3854.64_3854.64	3004.75_3004.75	2452.91_2452.91
289	3954.4_3954.4	3107.51_3107.51	2282.57_2282.57
290	4005.4_4005.4	2971.01_2971.01	2367.56_2367.56
291	3892.72_3892.72	3144.71_3144.71	2368.55_2368.55
292	3966.87_3966.87	3115.4_3115.4	2410.57_2410.57
293	4053.95_4053.95	3284.03_3284.03	2802.61_2802.61
294	3836.72_3836.72	3016.23_3016.23	2496.53_2496.53
295	3892.16_3892.16	3204_3204	2448.85_2448.85
296	3898.36_3898.36	3185.43_3185.43	2417.69_2417.69
297	3917.65_3917.65	3155.04_3155.04	2419.94_2419.94
298	3857.92_3857.92	2992.87_2992.87	2390.25_2390.25
299	3983.07_3983.07	3279.35_3279.35	2514.7_2514.7
300	3949.56_3949.56	3171.45_3171.45	2508.49_2508.49
301	3814.43_3814.43	3020.84_3020.84	2190.62_2190.62
302	4054.55_4054.55	3302.27_3302.27	2758.26_2758.26
303	3897.77_3897.77	3179.09_3179.09	2384.94_2384.94
304	4012.46_4012.46	3136.98_3136.98	2319.48_2319.48
305	3843.32_3843.32	3044.58_3044.58	2393.35_2393.35
306	3931.13_3931.13	3178.08_3178.08	2591.46_2591.46
307	3930.38_3930.38	3065.06_3065.06	2451.19_2451.19
308	3854.54_3854.54	3014.38_3014.38	2562.09_2562.09
309	3939.05_3939.05	3144.8_3144.8	2393.69_2393.69
310	3893.41_3893.41	3081.25_3081.25	2374.44_2374.44
311	3870.81_3870.81	3032.32_3032.32	2348.29_2348.29
312	3887.3_3887.3	3204.14_3204.14	2621.33_2621.33
313	3951.48_3951.48	3132.53_3132.53	2527.09_2527.09
314	3768.59_3768.59	3027.44_3027.44	2388.74_2388.74
315	3875.91_3875.91	2994.66_2994.66	2449.07_2449.07
316	3821.75_3821.75	3028.4_3028.4	2460.19_2460.19
317	3901.27_3901.27	2990.01_2990.01	2336.97_2336.97
318	3890.09_3890.09	3012.67_3012.67	2414.47_2414.47
319	3974.65_3974.65	3076.72_3076.72	2371.95_2371.95
320	3884.37_3884.37	3130.23_3130.23	2412.93_2412.93
321	3879.29_3879.29	3057.91_3057.91	2305.11_2305.11
322	3877.36_3877.36	3016.2_3016.2	2444.69_2444.69
323	4002.49_4002.49	3067.38_3067.38	2105.53_2105.53
324	3828.87_3828.87	3007.02_3007.02	2177.44_2177.44
325	3886.65_3886.65	3102.51_3102.51	2379.3_2379.3
326	3836.73_3836.73	2821.86_2821.86	2276.51_2276.51
327	3923.1_3923.1	2941.07_2941.07	2462.6_2462.6
328	3850.48_3850.48	3060.92_3060.92	2284.96_2284.96
329	3846.21_3846.21	2953.27_2953.27	2333.01_2333.01
330	3918.21_3918.21	3103.32_3103.32	2363.15_2363.15
331	4007.59_4007.59	3041.53_3041.53	2272.83_2272.83
332	3984.66_3984.66	3028.72_3028.72	2547.51_2547.51
333	3996.73_3996.73	3094.74_3094.74	2497.13_2497.13
334	3873.01_3873.01	3011.66_3011.66	2441.62_2441.62
335	3831.58_3831.58	2892.47_2892.47	2281.25_2281.25
336	3971.88_3971.88	3163.08_3163.08	2228.54_2228.54
337	3965.25_3965.25	3215.65_3215.65	2542.52_2542.52
338	4006.94_4006.94	3139.43_3139.43	2446.29_2446.29
339	3991.3_3991.3	3126.53_3126.53	2484.42_2484.42
340	3919.18_3919.18	3102_3102	2492.23_2492.23
341	3984.75_3984.75	2862.57_2862.57	2255.39_2255.39
342	3860.42_3860.42	3164.36_3164.36	2227.98_2227.98
343	4026.28_4026.28	3048.23_3048.23	2196.71_2196.71
344	3909.69_3909.69	3078.09_3078.09	2541.77_2541.77
345	4001.77_4001.77	3141.46_3141.46	2546.84_2546.84
346	3821.87_3821.87	2980.59_2980.59	2285.15_2285.15
347	4008.41_4008.41	3165.94_3165.94	2503.21_2503.21
348	3903.06_3903.06	3241.1_3241.1	2305.97_2305.97
349	3970.57_3970.57	3034.99_3034.99	2274.69_2274.69
350	3871.72_3871.72	3095.34_3095.34	2432.63_2432.63
351	3908.74_3908.74	2948.18_2948.18	2316.7_2316.7
352	3936.4_3936.4	3050.57_3050.57	2355.19_2355.19
353	3960.56_3960.56	3108.58_3108.58	2346.24_2346.24
354	3859.93_3859.93	3176.73_3176.73	2635.78_2635.78
355	3870.22_3870.22	3119.95_3119.95	2475.03_2475.03
356	3869.46_3869.46	3208.6_3208.6	2525.71_2525.71
357	3919.4_3919.4	3173.5_3173.5	2523.81_2523.81
358	3812.29_3812.29	2977.23_2977.23	2386.67_2386.67
359	3992.32_3992.32	3171.91_3171.91	2358.88_2358.88
360	3963.62_3963.62	3349.37_3349.37	2722.09_2722.09
361	3965.93_3965.93	3138.25_3138.25	2416.11_2416.11
362	3866.6_3866.6	3052.67_3052.67	2159.6_2159.6
363	3884.61_3884.61	3119.76_3119.76	2415.34_2415.34
364	3937.03_3937.03	3068.32_3068.32	2235.68_2235.68
365	3914.32_3914.32	3143.98_3143.98	2390.93_2390.93
366	3848.84_3848.84	3051.03_3051.03	2362.8_2362.8
367	3882.31_3882.31	3175.57_3175.57	2621.56_2621.56
368	3999.04_3999.04	3124.39_3124.39	2556.95_2556.95
369	3943.34_3943.34	3099.11_3099.11	2580.87_2580.87
