a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
700	3887.26_3887.26	3106.53_3106.53	2314.21_2314.21
701	3872.13_3872.13	3114.93_3114.93	2520.5_2520.5
702	3934.24_3934.24	3049.4_3049.4	2360.96_2360.96
703	3871.13_3871.13	2977.19_2977.19	2330.47_2330.47
704	4011.39_4011.39	3036.74_3036.74	2518.18_2518.18
705	3973.37_3973.37	3155.74_3155.74	2471.95_2471.95
706	3966.05_3966.05	3240.79_3240.79	2551.98_2551.98
707	3906.04_3906.04	3089.25_3089.25	2378.1_2378.1
708	3937.3_3937.3	2946.78_2946.78	2324.84_2324.84
709	3954.44_3954.44	3092.31_3092.31	2272.91_2272.91
710	3910.64_3910.64	3057.27_3057.27	2370.37_2370.37
711	3783.11_3783.11	3046.69_3046.69	2368.05_2368.05
712	3893.97_3893.97	3052.96_3052.96	2249.81_2249.81
713	3939.29_3939.29	2954.83_2954.83	2184.67_2184.67
714	3966.23_3966.23	3131.13_3131.13	2518.34_2518.34
715	4006.11_4006.11	3306.72_3306.72	2294.44_2294.44
716	3954.12_3954.12	3145.31_3145.31	2513.53_2513.53
717	3866.77_3866.77	3105.96_3105.96	2396.1_2396.1
718	3911.41_3911.41	3066.4_3066.4	2573.09_2573.09
719	3691.95_3691.95	2945.78_2945.78	2292.68_2292.68
720	3849.96_3849.96	3062.15_3062.15	2334.31_2334.31
721	3859.68_3859.68	3003.84_3003.84	2456.9_2456.9
722	3970.47_3970.47	2998.8_2998.8	2298.33_2298.33
723	3893.79_3893.79	2918.98_2918.98	2453.48_2453.48
724	3922.16_3922.16	3095.2_3095.2	2497.73_2497.73
725	3921.63_3921.63	3114.88_3114.88	2512.83_2512.83
726	3994.55_3994.55	3066.02_3066.02	2370.09_2370.09
727	3955.36_3955.36	3083.64_3083.64	2385.26_2385.26
728	3980.12_3980.12	3114.59_3114.59	2504.66_2504.66
729	3786.21_3786.21	3042.97_3042.97	2358.4_2358.4
730	3781.47_3781.47	2975.25_2975.25	2375.66_2375.66
731	3945.08_3945.08	2940.39_2940.39	2400.85_2400.85
732	3972.53_3972.53	3030.4_3030.4	2198.02_2198.02
733	3810.09_3810.09	3076.55_3076.55	2382.72_2382.72
734	3878.51_3878.51	3124.06_3124.06	2561.23_2561.23
735	3945.93_3945.93	3190.1_3190.1	2609.2_2609.2
736	3940.18_3940.18	3227.02_3227.02	2606.17_2606.17
737	3928.89_3928.89	3241.42_3241.42	2346.28_2346.28
738	3964.08_3964.08	3003.38_3003.38	2482.46_2482.46
739	3955.87_3955.87	3153.46_3153.46	2337.34_2337.34
740	3871.85_3871.85	3072.8_3072.8	2479.53_2479.53
741	3988.5_3988.5	3103.55_3103.55	2215.12_2215.12
742	3918.24_3918.24	3084.54_3084.54	2227.49_2227.49
