a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3911.32_3911.32	3072.55_3072.55	2481.56_2481.56
251	3970.15_3970.15	3027.4_3027.4	2363.45_2363.45
252	3728.15_3728.15	2974.42_2974.42	2401.99_2401.99
253	4001.96_4001.96	3188.02_3188.02	2653.22_2653.22
254	3863.83_3863.83	3192.51_3192.51	2543.5_2543.5
255	4022.23_4022.23	2894.78_2894.78	2402.82_2402.82
256	3832.74_3832.74	3118.94_3118.94	2580.37_2580.37
257	3862.63_3862.63	3063.73_3063.73	2488.29_2488.29
258	3924.68_3924.68	3086.44_3086.44	2291.57_2291.57
259	4020.26_4020.26	3251.28_3251.28	2434.66_2434.66
260	3868.57_3868.57	3158.26_3158.26	2320.57_2320.57
261	3890.25_3890.25	3139.54_3139.54	2542.23_2542.23
262	3969.5_3969.5	3111.22_3111.22	2360.82_2360.82
263	3747.46_3747.46	3001.08_3001.08	2362.8_2362.8
264	3858.84_3858.84	3000.32_3000.32	2372.18_2372.18
265	3885.9_3885.9	3278.18_3278.18	2745.48_2745.48
266	3946.87_3946.87	3134.55_3134.55	2502.7_2502.7
267	3878_3878	3020.95_3020.95	2574.23_2574.23
268	3922.41_3922.41	3163.16_3163.16	2569.36_2569.36
269	3813.03_3813.03	2983.27_2983.27	2443.88_2443.88
270	3733.74_3733.74	3089.42_3089.42	2458.7_2458.7
271	3966.86_3966.86	3140.85_3140.85	2509.21_2509.21
272	3934.38_3934.38	3126.31_3126.31	2317.01_2317.01
273	3924.69_3924.69	3217.25_3217.25	2684.69_2684.69
274	3909.47_3909.47	3232.3_3232.3	2498.02_2498.02
275	3912.62_3912.62	3347.2_3347.2	2625.78_2625.78
276	3994.09_3994.09	3078.92_3078.92	2416.56_2416.56
277	4007.41_4007.41	3242.91_3242.91	2470.67_2470.67
278	3953.09_3953.09	3122.54_3122.54	2343.46_2343.46
279	3977.63_3977.63	3020.48_3020.48	2384.76_2384.76
280	3929.05_3929.05	3079.37_3079.37	2590.36_2590.36
281	3861.49_3861.49	3067.52_3067.52	2404.37_2404.37
282	4036.45_4036.45	3200.61_3200.61	2577.8_2577.8
283	4006.47_4006.47	3188.61_3188.61	2539.4_2539.4
284	3937.15_3937.15	3237.93_3237.93	2568.96_2568.96
285	3917.84_3917.84	3130.12_3130.12	2359.88_2359.88
286	3931.29_3931.29	3155.54_3155.54	2583.1_2583.1
287	4032.36_4032.36	3166.86_3166.86	2474.91_2474.91
288	4001.14_4001.14	3135.65_3135.65	2467.02_2467.02
289	3979.1_3979.1	3135.61_3135.61	2493.74_2493.74
290	3913.32_3913.32	3111.48_3111.48	2448.16_2448.16
291	3961.37_3961.37	3225.04_3225.04	2618.09_2618.09
292	3916.29_3916.29	3136.84_3136.84	2504.74_2504.74
293	3957.13_3957.13	3019.68_3019.68	2425.61_2425.61
294	3971.86_3971.86	3037.71_3037.71	2453.39_2453.39
295	3983.53_3983.53	3258.06_3258.06	2395.53_2395.53
296	3932.08_3932.08	3145.91_3145.91	2594.03_2594.03
297	3882.96_3882.96	3065.99_3065.99	2475.66_2475.66
298	4012.77_4012.77	3264.56_3264.56	2363.02_2363.02
299	4008.34_4008.34	3201.97_3201.97	2426.84_2426.84
300	3883.16_3883.16	2950.02_2950.02	2403.39_2403.39
301	3965.17_3965.17	3200.28_3200.28	2439.01_2439.01
302	3933.71_3933.71	3020.38_3020.38	2337.67_2337.67
303	3877.47_3877.47	3014.04_3014.04	2350.44_2350.44
304	3786.54_3786.54	2934.22_2934.22	2434.25_2434.25
305	3896.86_3896.86	3133.22_3133.22	2590.03_2590.03
306	3755.37_3755.37	2997.51_2997.51	2297.12_2297.12
307	3908.42_3908.42	3179.73_3179.73	2529_2529
308	4019.51_4019.51	3279.89_3279.89	2435.01_2435.01
309	3987.33_3987.33	2947.6_2947.6	2409.14_2409.14
310	4011.51_4011.51	3140.17_3140.17	2399.96_2399.96
311	3838.85_3838.85	3070.82_3070.82	2382_2382
312	3757.1_3757.1	2971.46_2971.46	2354.65_2354.65
313	3923.64_3923.64	3187.97_3187.97	2557.87_2557.87
314	3949.34_3949.34	3069.5_3069.5	2540.71_2540.71
315	3988.55_3988.55	3124.62_3124.62	2460.85_2460.85
316	3942.66_3942.66	3128.22_3128.22	2477.79_2477.79
317	3984.73_3984.73	3245.33_3245.33	2606.53_2606.53
318	3949.83_3949.83	3161.11_3161.11	2630.95_2630.95
319	4027.82_4027.82	3333.04_3333.04	2597.56_2597.56
320	3931.28_3931.28	2972.15_2972.15	2293.42_2293.42
321	3935.28_3935.28	3206.72_3206.72	2737.77_2737.77
322	3874.37_3874.37	3154.47_3154.47	2414.32_2414.32
323	3936.54_3936.54	3040.93_3040.93	2381.91_2381.91
324	3958.22_3958.22	3139.28_3139.28	2446.02_2446.02
325	3894.88_3894.88	3159.3_3159.3	2584.65_2584.65
326	3929.05_3929.05	3109.3_3109.3	2661.42_2661.42
327	3876.66_3876.66	3022.79_3022.79	2451.04_2451.04
328	3908.46_3908.46	3026.52_3026.52	2551.89_2551.89
329	3921.66_3921.66	2982.21_2982.21	2503.25_2503.25
330	3982.86_3982.86	3131.79_3131.79	2560.45_2560.45
331	3869.23_3869.23	3129.6_3129.6	2530_2530
