a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
700	3911.37_3911.37	3122.16_3122.16	2401.89_2401.89
701	3859.25_3859.25	3123.05_3123.05	2420.67_2420.67
702	3935.98_3935.98	3036.54_3036.54	2343.17_2343.17
703	3834.9_3834.9	3187.82_3187.82	2427.75_2427.75
704	3908.46_3908.46	3148.18_3148.18	2499.86_2499.86
705	3967.59_3967.59	3158.94_3158.94	2365.42_2365.42
706	3849.03_3849.03	3120.08_3120.08	2618.17_2618.17
707	3900.96_3900.96	3016.72_3016.72	2415.68_2415.68
708	4016.03_4016.03	3233.54_3233.54	2631.59_2631.59
709	4022.35_4022.35	3203.21_3203.21	2726.04_2726.04
710	3986.77_3986.77	3228.62_3228.62	2454.5_2454.5
711	3825.56_3825.56	3022.91_3022.91	2625.59_2625.59
712	3957.04_3957.04	3176.56_3176.56	2432.74_2432.74
713	3864.61_3864.61	3084.72_3084.72	2420.89_2420.89
714	3899.34_3899.34	3038.62_3038.62	2503.14_2503.14
715	3774.92_3774.92	2997.3_2997.3	2428.87_2428.87
716	3888.02_3888.02	2988.3_2988.3	2411.97_2411.97
717	3944.18_3944.18	3087.01_3087.01	2447.52_2447.52
718	3841.22_3841.22	2961.21_2961.21	2370.25_2370.25
719	3954.4_3954.4	3272.33_3272.33	2469.54_2469.54
720	3937.11_3937.11	3172.73_3172.73	2165.66_2165.66
721	3933.19_3933.19	3131.25_3131.25	2173.71_2173.71
722	3967.97_3967.97	3069.45_3069.45	2417.71_2417.71
723	3795.31_3795.31	2968.21_2968.21	2011.66_2011.66
724	3945.51_3945.51	3224.52_3224.52	2535.63_2535.63
725	3863.17_3863.17	3183.9_3183.9	2348.08_2348.08
726	3901.45_3901.45	2942.41_2942.41	2204.96_2204.96
727	3891.96_3891.96	2872.1_2872.1	2251.97_2251.97
728	3974.17_3974.17	3113.94_3113.94	2418.98_2418.98
729	3834.86_3834.86	3085.19_3085.19	2369.88_2369.88
730	3921.71_3921.71	3034.94_3034.94	2272.05_2272.05
731	3998.57_3998.57	3110.87_3110.87	2598.83_2598.83
732	3938.62_3938.62	3072.51_3072.51	2361.15_2361.15
733	3949.65_3949.65	3028_3028	2556.96_2556.96
734	3906.15_3906.15	3014.7_3014.7	2421.19_2421.19
735	3980.93_3980.93	3223.47_3223.47	2570.31_2570.31
736	3858.49_3858.49	3250.94_3250.94	2764.79_2764.79
737	3876.24_3876.24	3116.17_3116.17	2504.41_2504.41
738	4002.77_4002.77	3179.33_3179.33	2530.87_2530.87
739	3982.12_3982.12	3238.95_3238.95	2400.61_2400.61
740	3877.02_3877.02	3165.19_3165.19	2294.15_2294.15
741	3916.83_3916.83	2861.92_2861.92	2263.47_2263.47
742	3916.97_3916.97	3118.14_3118.14	2458.97_2458.97
743	3991.32_3991.32	3068.57_3068.57	2476.62_2476.62
744	3889.02_3889.02	3048.59_3048.59	2447.83_2447.83
745	3890.6_3890.6	3126.1_3126.1	2420.94_2420.94
746	3913.2_3913.2	3058.22_3058.22	2469.34_2469.34
747	4009.23_4009.23	3048.25_3048.25	2364.01_2364.01
748	3948.37_3948.37	2983.11_2983.11	2316.13_2316.13
749	3916.14_3916.14	3038.4_3038.4	2450.21_2450.21
750	4036.97_4036.97	3208.1_3208.1	2553.22_2553.22
751	3909.68_3909.68	3148.19_3148.19	2570.6_2570.6
752	3892.21_3892.21	2992.59_2992.59	2282.07_2282.07
753	4028.09_4028.09	3319.58_3319.58	2521.97_2521.97
754	3981.62_3981.62	3072.75_3072.75	2322.95_2322.95
755	3929.49_3929.49	2932.31_2932.31	2237.87_2237.87
756	3919.95_3919.95	3137.46_3137.46	2648.16_2648.16
757	3964.09_3964.09	3264.99_3264.99	2496.96_2496.96
758	3873.72_3873.72	2942.31_2942.31	2509.89_2509.89
759	3870.8_3870.8	3097.27_3097.27	2365.35_2365.35
760	3896.89_3896.89	3115.76_3115.76	2439.67_2439.67
761	3972.37_3972.37	3012.47_3012.47	2328.58_2328.58
762	3990.16_3990.16	3058.18_3058.18	2305.53_2305.53
763	4025.65_4025.65	3340.14_3340.14	2569.08_2569.08
764	3953.85_3953.85	3144.8_3144.8	2316.2_2316.2
765	3988.62_3988.62	3140.1_3140.1	2497.17_2497.17
766	3917.09_3917.09	3069.04_3069.04	2519.43_2519.43
767	4003.22_4003.22	3207.88_3207.88	2436.07_2436.07
768	4053.39_4053.39	3181.53_3181.53	2434.28_2434.28
769	3954.59_3954.59	3163.32_3163.32	2264.48_2264.48
770	3990.53_3990.53	3042.92_3042.92	2409.32_2409.32
771	3924.98_3924.98	3123.61_3123.61	2300.52_2300.52
772	3902.03_3902.03	3131.66_3131.66	2433.09_2433.09
773	3899.05_3899.05	3126.97_3126.97	2463.53_2463.53
774	3934.65_3934.65	3072.41_3072.41	2285.44_2285.44
775	3911.44_3911.44	3248.47_3248.47	2567.59_2567.59
776	3912.78_3912.78	2925.64_2925.64	2425.92_2425.92
777	3930.11_3930.11	3135.56_3135.56	2528.94_2528.94
778	3941.02_3941.02	3127.1_3127.1	2553.84_2553.84
779	3942.32_3942.32	3102.64_3102.64	2311.21_2311.21
780	3947.55_3947.55	3056.96_3056.96	2521.68_2521.68
781	3938.41_3938.41	3131.77_3131.77	2261.98_2261.98
782	3976.18_3976.18	3101.44_3101.44	2484.63_2484.63
