a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3969.91_3969.91	3201.08_3201.08	2606.77_2606.77
251	4011.54_4011.54	3079.75_3079.75	2209.17_2209.17
252	4077.21_4077.21	3356.97_3356.97	2529.86_2529.86
253	4037.16_4037.16	3150.73_3150.73	2512.76_2512.76
254	4094.4_4094.4	3294.83_3294.83	2511.15_2511.15
255	4011.79_4011.79	3258.54_3258.54	2425.29_2425.29
256	3922.49_3922.49	3189.66_3189.66	2535.4_2535.4
257	3941.13_3941.13	3106.55_3106.55	2590.6_2590.6
258	3932.75_3932.75	3196.65_3196.65	2393.78_2393.78
259	3970.71_3970.71	3161.64_3161.64	2447.02_2447.02
260	3966.22_3966.22	3243.7_3243.7	2501.04_2501.04
261	3958.75_3958.75	3024.98_3024.98	2386.63_2386.63
262	3909.75_3909.75	3131.32_3131.32	2581.56_2581.56
263	3912.47_3912.47	3093.18_3093.18	2543.68_2543.68
264	3888.3_3888.3	2966.87_2966.87	2360.08_2360.08
265	3887.08_3887.08	3200.1_3200.1	2686.53_2686.53
266	3981.84_3981.84	3264.6_3264.6	2333.92_2333.92
267	3923.89_3923.89	3214.91_3214.91	2363.24_2363.24
268	3923.41_3923.41	3227.67_3227.67	2678.63_2678.63
269	3912.97_3912.97	3170.24_3170.24	2606.97_2606.97
270	3909.8_3909.8	3042.3_3042.3	2577.64_2577.64
271	3995.05_3995.05	3261.68_3261.68	2389.91_2389.91
272	3951.87_3951.87	3115.72_3115.72	2427.09_2427.09
273	4014.23_4014.23	3188.81_3188.81	2538.29_2538.29
274	3974.89_3974.89	3212.16_3212.16	2629.68_2629.68
275	3964.45_3964.45	3235.11_3235.11	2551.24_2551.24
276	3901.2_3901.2	3106.48_3106.48	2413.11_2413.11
277	4095.06_4095.06	3199.94_3199.94	2574.11_2574.11
278	3930.19_3930.19	3087.29_3087.29	2323.96_2323.96
279	3957.36_3957.36	3148.21_3148.21	2535.69_2535.69
280	4030.05_4030.05	3177.6_3177.6	2431.03_2431.03
281	4038.62_4038.62	3259.22_3259.22	2812.41_2812.41
282	4014.75_4014.75	3159.92_3159.92	2706.94_2706.94
283	3988.81_3988.81	3139.1_3139.1	2465.02_2465.02
284	3899.98_3899.98	3175.27_3175.27	2438.58_2438.58
285	3936.14_3936.14	3269.38_3269.38	2669.01_2669.01
286	3981.61_3981.61	3215.3_3215.3	2557.86_2557.86
287	4000.04_4000.04	3122.58_3122.58	2590.79_2590.79
288	3922.03_3922.03	3216.89_3216.89	2655.13_2655.13
289	3884.3_3884.3	3185.02_3185.02	2585.67_2585.67
290	3935.19_3935.19	3167.8_3167.8	2406.85_2406.85
291	4009.05_4009.05	3260.35_3260.35	2629.72_2629.72
292	3963.82_3963.82	3136.87_3136.87	2637.15_2637.15
293	4001.72_4001.72	3300.72_3300.72	2506.44_2506.44
294	3995.91_3995.91	3186.6_3186.6	2603.16_2603.16
295	3990.5_3990.5	3218.55_3218.55	2618.43_2618.43
296	3973.32_3973.32	3050.91_3050.91	2580.78_2580.78
297	3897.01_3897.01	3037.99_3037.99	2379.94_2379.94
298	3960.76_3960.76	3208.14_3208.14	2593.78_2593.78
299	3910_3910	3100.73_3100.73	2351.49_2351.49
300	3967.58_3967.58	3205.58_3205.58	2622.85_2622.85
301	4016.84_4016.84	3160.7_3160.7	2410.71_2410.71
302	3956.09_3956.09	3204.9_3204.9	2624.65_2624.65
303	3894.65_3894.65	3131.8_3131.8	2599.77_2599.77
304	3969.73_3969.73	3180.02_3180.02	2498.49_2498.49
305	3931.64_3931.64	3022.32_3022.32	2385.08_2385.08
306	3931.32_3931.32	3115.3_3115.3	2317.25_2317.25
307	3925.8_3925.8	3031.79_3031.79	2390.42_2390.42
308	3954.96_3954.96	3248.1_3248.1	2593.37_2593.37
309	4035.21_4035.21	3236.19_3236.19	2410.75_2410.75
310	4007.15_4007.15	3258.45_3258.45	2618.95_2618.95
311	4008.91_4008.91	3175.72_3175.72	2605.33_2605.33
312	3953.84_3953.84	3100.72_3100.72	2380.46_2380.46
313	4076.78_4076.78	3373.7_3373.7	2517.93_2517.93
314	3980.91_3980.91	3244.1_3244.1	2412.25_2412.25
315	3968.44_3968.44	3037_3037	2339.9_2339.9
316	3964.36_3964.36	3081.29_3081.29	2343.09_2343.09
317	4020.86_4020.86	3233.27_3233.27	2556.22_2556.22
318	4033.35_4033.35	3194.6_3194.6	2506.72_2506.72
319	3936.19_3936.19	3180.69_3180.69	2566.67_2566.67
320	4033.38_4033.38	3070.25_3070.25	2469.04_2469.04
321	4019.61_4019.61	3112.47_3112.47	2225.22_2225.22
322	4008.74_4008.74	3211.25_3211.25	2585.62_2585.62
323	3992.08_3992.08	2996.76_2996.76	2353.92_2353.92
324	3909.03_3909.03	3025.28_3025.28	2378.43_2378.43
325	3955.57_3955.57	3203.91_3203.91	2511.5_2511.5
326	3977.09_3977.09	3173.44_3173.44	2464.33_2464.33
327	3864.2_3864.2	3150.91_3150.91	2514.27_2514.27
328	3969.03_3969.03	3132.25_3132.25	2588.9_2588.9
329	3942.25_3942.25	3141.45_3141.45	2441.78_2441.78
330	3951.69_3951.69	3143.23_3143.23	2619.51_2619.51
331	4016.32_4016.32	3229.79_3229.79	2384.82_2384.82
332	3943.41_3943.41	3137.15_3137.15	2430.56_2430.56
333	3762.9_3762.9	3092.69_3092.69	2471.42_2471.42
334	4014.99_4014.99	3297.04_3297.04	2659.04_2659.04
335	3959.57_3959.57	3176.12_3176.12	2475.52_2475.52
336	3983.19_3983.19	3178.66_3178.66	2568.53_2568.53
337	3938.85_3938.85	3147.04_3147.04	2516.82_2516.82
338	3886_3886	3215.62_3215.62	2523.74_2523.74
339	4011.17_4011.17	3143.67_3143.67	2545.05_2545.05
340	3942.08_3942.08	3185.88_3185.88	2526.5_2526.5
341	3918.48_3918.48	3344.63_3344.63	2654.36_2654.36
342	3939.93_3939.93	3111.89_3111.89	2479.21_2479.21
343	4061.99_4061.99	3281.22_3281.22	2643.86_2643.86
344	3916_3916	3157.58_3157.58	2569.57_2569.57
345	4040.87_4040.87	3347.31_3347.31	2544.8_2544.8
346	3948.57_3948.57	3036.15_3036.15	2517.12_2517.12
347	3980.5_3980.5	3078.66_3078.66	2478.87_2478.87
348	3906.35_3906.35	3094.91_3094.91	2634.31_2634.31
349	3993.26_3993.26	3310.03_3310.03	2659.76_2659.76
350	3910.07_3910.07	3115.26_3115.26	2565.01_2565.01
351	3902.81_3902.81	3105.26_3105.26	2474.33_2474.33
352	3848.24_3848.24	3141.98_3141.98	2539.54_2539.54
353	3971.23_3971.23	3225.34_3225.34	2510.3_2510.3
354	3960.47_3960.47	3215.17_3215.17	2569.69_2569.69
355	4002.81_4002.81	3137.31_3137.31	2549.42_2549.42
356	3869.25_3869.25	2944.48_2944.48	2442.58_2442.58
357	3969.41_3969.41	3262.45_3262.45	2520.89_2520.89
358	4008.92_4008.92	3182.23_3182.23	2558.72_2558.72
359	3915.36_3915.36	3237.46_3237.46	2455.95_2455.95
360	3969.75_3969.75	3211.6_3211.6	2736.13_2736.13
361	4024.79_4024.79	3174.84_3174.84	2482.69_2482.69
362	4011.38_4011.38	3276.81_3276.81	2563.99_2563.99
363	4044.58_4044.58	3255.8_3255.8	2396.16_2396.16
364	3917.95_3917.95	3178.12_3178.12	2442_2442
365	3999.41_3999.41	3193.13_3193.13	2553.79_2553.79
366	4021.77_4021.77	3280.2_3280.2	2535.63_2535.63
367	3900.17_3900.17	3167.9_3167.9	2479.12_2479.12
368	3950.05_3950.05	3222.1_3222.1	2555.64_2555.64
369	4043.66_4043.66	3240.97_3240.97	2574.62_2574.62
370	4001.8_4001.8	3196.7_3196.7	2442.16_2442.16
371	3891.37_3891.37	3076.71_3076.71	2393.48_2393.48
372	4034.05_4034.05	3224.06_3224.06	2530.57_2530.57
373	4032.66_4032.66	3104.92_3104.92	2496.19_2496.19
