a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3982.04_3982.04	3290.68_3290.68	2378.75_2378.75
251	4018.92_4018.92	3138.64_3138.64	2725.25_2725.25
252	3890.91_3890.91	3179.45_3179.45	2200.46_2200.46
253	3960.37_3960.37	3212.05_3212.05	2278.41_2278.41
254	3975.87_3975.87	3146.71_3146.71	2266.47_2266.47
255	3875.32_3875.32	3050.45_3050.45	2357.77_2357.77
256	3980.27_3980.27	3021.19_3021.19	2409.25_2409.25
257	3972.36_3972.36	3259.46_3259.46	2614.17_2614.17
258	4040.63_4040.63	3198.65_3198.65	2452.24_2452.24
259	4046.33_4046.33	3097.75_3097.75	2417.29_2417.29
260	3946.66_3946.66	2917.86_2917.86	2373.86_2373.86
261	3884.25_3884.25	3144.63_3144.63	2514.75_2514.75
262	3984.31_3984.31	2940.79_2940.79	2297.45_2297.45
263	3959.53_3959.53	2998.69_2998.69	2454.6_2454.6
264	3855.13_3855.13	2959.87_2959.87	2294.23_2294.23
265	3910.57_3910.57	3128_3128	2520.08_2520.08
266	3962.55_3962.55	3062.43_3062.43	2297.03_2297.03
267	3886.26_3886.26	3179.47_3179.47	2411.89_2411.89
268	3890.06_3890.06	3082.23_3082.23	2320.52_2320.52
269	3900.51_3900.51	3075.86_3075.86	2326.5_2326.5
270	3811.97_3811.97	3017.35_3017.35	2310.33_2310.33
271	3903.6_3903.6	3146.88_3146.88	2480.66_2480.66
272	3828.47_3828.47	3016.92_3016.92	2470.19_2470.19
273	3934.05_3934.05	3233.11_3233.11	2591.41_2591.41
274	3834.44_3834.44	3136.7_3136.7	2343.79_2343.79
275	3863.88_3863.88	3027.34_3027.34	2351.95_2351.95
276	3947.72_3947.72	3080.03_3080.03	2241_2241
277	3826.53_3826.53	3070.79_3070.79	2446.84_2446.84
278	3979.73_3979.73	3057.91_3057.91	2423.36_2423.36
279	3961.65_3961.65	3220.77_3220.77	2574.09_2574.09
280	3829.34_3829.34	3087.38_3087.38	2365.71_2365.71
281	3802.21_3802.21	3019.86_3019.86	2321.33_2321.33
282	3765.73_3765.73	3083.12_3083.12	2375.58_2375.58
283	3752.6_3752.6	3136.9_3136.9	2555.42_2555.42
284	3923.1_3923.1	3249.74_3249.74	2547.84_2547.84
285	3946.62_3946.62	3073.2_3073.2	2447.09_2447.09
286	3861.92_3861.92	2989.12_2989.12	2447.5_2447.5
287	3998.55_3998.55	3168.81_3168.81	2610.35_2610.35
288	3929.29_3929.29	3193.31_3193.31	2422.8_2422.8
289	3959.79_3959.79	3222.45_3222.45	2294.46_2294.46
290	3883.89_3883.89	3107.74_3107.74	2487.92_2487.92
291	3975.66_3975.66	3020.5_3020.5	2407.46_2407.46
292	4035.09_4035.09	3102.65_3102.65	2163.22_2163.22
293	3937.22_3937.22	3031.28_3031.28	2405.02_2405.02
294	3966_3966	2983.73_2983.73	2445.62_2445.62
295	3936.05_3936.05	3064.54_3064.54	2346.48_2346.48
296	3952.01_3952.01	3134.13_3134.13	2454.58_2454.58
