a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
700	3892.67_3892.67	3225.91_3225.91	2429.51_2429.51
701	3827.94_3827.94	2861.68_2861.68	2359.22_2359.22
702	3980.06_3980.06	3202.54_3202.54	2499.63_2499.63
703	4023.06_4023.06	3178.65_3178.65	2467.61_2467.61
704	3908.49_3908.49	3237.57_3237.57	2324.88_2324.88
705	3829.36_3829.36	3017.68_3017.68	2333.11_2333.11
706	3836.81_3836.81	3031.59_3031.59	2473.08_2473.08
707	3886.76_3886.76	3078.92_3078.92	2490.84_2490.84
708	3846.4_3846.4	3085.79_3085.79	2369.6_2369.6
709	3906.5_3906.5	3062.8_3062.8	2285.2_2285.2
710	3894.92_3894.92	3049.74_3049.74	2513.33_2513.33
711	3838.12_3838.12	3093.83_3093.83	2473.66_2473.66
712	3914.06_3914.06	2883.16_2883.16	2308.56_2308.56
713	3967.5_3967.5	2927.25_2927.25	2418.98_2418.98
714	3889.69_3889.69	3147.81_3147.81	2427.37_2427.37
715	3921.5_3921.5	3070.67_3070.67	2352.78_2352.78
716	3938.53_3938.53	3163.86_3163.86	2385.88_2385.88
717	3833.87_3833.87	2993.44_2993.44	2259.46_2259.46
718	3806.91_3806.91	3008.92_3008.92	2266.62_2266.62
719	3858.6_3858.6	3087.05_3087.05	2363.85_2363.85
720	3888.84_3888.84	3096.79_3096.79	2406.61_2406.61
721	3890.2_3890.2	3053.14_3053.14	2381.29_2381.29
722	3702.7_3702.7	2715.06_2715.06	2066.28_2066.28
723	3853.52_3853.52	2963.25_2963.25	2382.28_2382.28
724	3955.94_3955.94	3206.93_3206.93	2436.25_2436.25
725	3806.74_3806.74	3014.73_3014.73	2480.29_2480.29
726	3946.22_3946.22	3155.24_3155.24	2464.07_2464.07
727	3693.76_3693.76	2976.32_2976.32	2358.66_2358.66
728	3833.34_3833.34	2832.68_2832.68	2095.21_2095.21
729	3951.12_3951.12	3053.69_3053.69	2442.42_2442.42
730	3879.78_3879.78	3151.38_3151.38	2769.13_2769.13
731	3809.45_3809.45	2952.74_2952.74	2433.73_2433.73
732	3753.03_3753.03	2998.93_2998.93	2221.28_2221.28
733	3947.6_3947.6	2912.46_2912.46	2307.46_2307.46
734	3808.88_3808.88	3089.63_3089.63	2506.89_2506.89
735	3780.71_3780.71	3021.43_3021.43	2398.09_2398.09
736	3840.41_3840.41	3126.55_3126.55	2337.39_2337.39
737	3863.51_3863.51	3051.76_3051.76	2462.99_2462.99
738	3640.25_3640.25	2803.71_2803.71	2187.9_2187.9
739	3834.1_3834.1	2942.48_2942.48	2233.06_2233.06
740	3894.36_3894.36	2944.48_2944.48	2339.58_2339.58
741	3911.81_3911.81	2936.95_2936.95	2498.14_2498.14
742	3827.51_3827.51	2844.23_2844.23	2179.69_2179.69
743	3796.57_3796.57	3063.6_3063.6	2292.97_2292.97
744	3849.98_3849.98	3028.59_3028.59	2312.48_2312.48
745	3913.65_3913.65	3195.58_3195.58	2188.93_2188.93
746	3772.66_3772.66	2990.83_2990.83	2276.53_2276.53
747	3977.07_3977.07	3001.73_3001.73	2280.1_2280.1
748	3945.53_3945.53	3080.73_3080.73	2403.71_2403.71
749	3935.47_3935.47	3148.28_3148.28	2458.29_2458.29
750	3977.39_3977.39	3085.33_3085.33	2423.45_2423.45
751	3779.28_3779.28	3048.24_3048.24	2577.18_2577.18
752	3811.71_3811.71	2990.89_2990.89	2319.12_2319.12
753	3747.39_3747.39	3065.63_3065.63	2175.17_2175.17
754	3806.03_3806.03	3058.48_3058.48	2383.24_2383.24
755	3865.48_3865.48	3049.06_3049.06	2305.18_2305.18
756	3685.02_3685.02	3007.5_3007.5	2280.29_2280.29
757	3715.17_3715.17	2888.96_2888.96	2474.28_2474.28
758	3945.92_3945.92	3065.93_3065.93	2397.57_2397.57
759	3904.43_3904.43	3016.39_3016.39	2144.8_2144.8
760	3865.22_3865.22	2981.62_2981.62	2411.25_2411.25
761	4020.11_4020.11	3105.58_3105.58	2132.65_2132.65
762	3754.12_3754.12	2880.85_2880.85	2370.48_2370.48
763	3697.75_3697.75	3024.44_3024.44	2295.01_2295.01
764	3861.17_3861.17	3009.86_3009.86	2183.67_2183.67
765	3832.72_3832.72	3010.93_3010.93	2280.8_2280.8
766	3757.72_3757.72	2859.87_2859.87	2365.43_2365.43
767	3881.98_3881.98	3127.21_3127.21	2397.27_2397.27
768	3752.2_3752.2	3148.44_3148.44	2339.67_2339.67
769	3763.11_3763.11	3098.06_3098.06	2596.49_2596.49
770	3804.9_3804.9	3026.12_3026.12	2350.88_2350.88
771	3740.93_3740.93	2887.45_2887.45	2419.72_2419.72
772	3804.93_3804.93	2919.21_2919.21	2224.08_2224.08
773	3739.68_3739.68	2785.94_2785.94	2300.19_2300.19
774	3757.59_3757.59	2976.73_2976.73	2382.81_2382.81
775	3873.86_3873.86	3024.31_3024.31	2466.51_2466.51
776	3968.9_3968.9	3181.23_3181.23	2519.4_2519.4
777	3878.56_3878.56	2926.22_2926.22	2139.32_2139.32
778	3860.1_3860.1	3232.97_3232.97	2592.82_2592.82
779	3901.62_3901.62	3023.99_3023.99	2387.07_2387.07
780	3775.48_3775.48	3129.59_3129.59	2611.16_2611.16
781	3698.22_3698.22	2777.88_2777.88	2185.11_2185.11
782	3881.97_3881.97	3035.43_3035.43	2409.58_2409.58
783	3915.6_3915.6	3197.92_3197.92	2397.85_2397.85
784	3887.51_3887.51	3123.66_3123.66	2392.61_2392.61
785	3819.33_3819.33	2990.33_2990.33	2222.03_2222.03
786	3760.5_3760.5	2860.96_2860.96	2382.09_2382.09
787	3884.82_3884.82	3050.68_3050.68	2278.27_2278.27
788	3859.08_3859.08	2988.03_2988.03	2407.99_2407.99
789	3860.26_3860.26	3001.65_3001.65	2529.13_2529.13
790	3914.44_3914.44	3067.49_3067.49	2268.83_2268.83
791	3740.46_3740.46	3028.91_3028.91	2318.09_2318.09
792	3911.31_3911.31	3123.27_3123.27	2211.49_2211.49
793	3619.86_3619.86	2871.65_2871.65	2185.94_2185.94
794	3775.23_3775.23	2992.95_2992.95	2299.33_2299.33
795	3881.43_3881.43	2866.07_2866.07	2240.1_2240.1
796	3909.94_3909.94	3080.81_3080.81	2448.07_2448.07
797	3902.01_3902.01	3144.24_3144.24	2412.84_2412.84
798	3814.61_3814.61	3088.77_3088.77	2473.02_2473.02
799	3825.47_3825.47	2999.37_2999.37	2335.76_2335.76
800	3993.93_3993.93	3096.98_3096.98	2498.09_2498.09
801	3881.68_3881.68	3042.85_3042.85	2350.32_2350.32
802	3827.41_3827.41	3053.05_3053.05	2486.54_2486.54
803	3740.8_3740.8	2888.2_2888.2	2354.02_2354.02
804	3878.03_3878.03	2928.55_2928.55	2371.34_2371.34
805	3772.9_3772.9	2969_2969	2328.65_2328.65
806	3895.1_3895.1	2989.89_2989.89	2361.38_2361.38
807	3884.02_3884.02	3237.63_3237.63	2534.6_2534.6
808	3863.89_3863.89	3145.96_3145.96	2414.52_2414.52
809	3891.77_3891.77	3143.8_3143.8	2323.56_2323.56
810	3675.97_3675.97	3028.59_3028.59	2398.79_2398.79
811	3891.96_3891.96	2896.03_2896.03	2496.68_2496.68
812	3916.04_3916.04	3077.63_3077.63	2500.81_2500.81
813	3706.31_3706.31	2971.69_2971.69	2335.99_2335.99
814	3891.04_3891.04	3020.06_3020.06	2308.17_2308.17
815	3911.83_3911.83	3050.07_3050.07	2361.36_2361.36
816	3834.81_3834.81	3133.88_3133.88	2394.36_2394.36
817	3894.31_3894.31	2908.52_2908.52	2339.37_2339.37
818	3889.49_3889.49	3039.17_3039.17	2476.9_2476.9
819	3658.45_3658.45	2979.51_2979.51	2350.42_2350.42
820	3734.77_3734.77	2877.16_2877.16	2221.95_2221.95
821	3893.04_3893.04	2963.08_2963.08	2116.69_2116.69
822	3956.22_3956.22	3100.24_3100.24	2382.57_2382.57
823	3738.63_3738.63	2710.11_2710.11	2284.58_2284.58
824	3963.23_3963.23	3227.34_3227.34	2560.47_2560.47
825	3956.15_3956.15	2978.42_2978.42	2215.29_2215.29
826	3923.84_3923.84	3131.73_3131.73	2460.95_2460.95
827	3870.39_3870.39	2978.77_2978.77	2358.22_2358.22
828	3771.92_3771.92	3042.63_3042.63	2412.96_2412.96
829	3917.7_3917.7	2999.4_2999.4	2366.31_2366.31
830	3883.49_3883.49	2847.26_2847.26	2453.11_2453.11
831	3780.8_3780.8	2922.95_2922.95	2323.11_2323.11
832	3792.76_3792.76	3012.71_3012.71	2222.38_2222.38
