a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
1650	3524.43_3524.43	2644.67_2644.67	2107.64_2107.64
1651	3498.5_3498.5	2647_2647	2089.05_2089.05
1652	3502.64_3502.64	2620.95_2620.95	2094.23_2094.23
1653	3549.52_3549.52	2644.32_2644.32	2144.12_2144.12
1654	3516.48_3516.48	2604.53_2604.53	2090.68_2090.68
1655	3519.18_3519.18	2608.81_2608.81	2075.12_2075.12
1656	3570.33_3570.33	2669.53_2669.53	2105.73_2105.73
1657	3571.99_3571.99	2687.3_2687.3	2215.58_2215.58
1658	3453.21_3453.21	2600.63_2600.63	2082.27_2082.27
1659	3444.44_3444.44	2641.19_2641.19	2029.69_2029.69
1660	3409.1_3409.1	2663.1_2663.1	2089.29_2089.29
1661	3483.8_3483.8	2706.53_2706.53	2212.14_2212.14
1662	3450.61_3450.61	2652.46_2652.46	2101.53_2101.53
1663	3438.18_3438.18	2708.06_2708.06	2207.47_2207.47
1664	3438.96_3438.96	2686.7_2686.7	2238.06_2238.06
1665	3522.29_3522.29	2741.85_2741.85	2115.88_2115.88
1666	3638.47_3638.47	2791.24_2791.24	2253.16_2253.16
1667	3551.48_3551.48	2763.72_2763.72	2209.89_2209.89
1668	3526.31_3526.31	2749.12_2749.12	2204.57_2204.57
1669	3528.88_3528.88	2718.06_2718.06	2217.42_2217.42
1670	3498_3498	2727.14_2727.14	2191.92_2191.92
1671	3523.06_3523.06	2686.7_2686.7	2125.21_2125.21
1672	3454.4_3454.4	2637.23_2637.23	2095.33_2095.33
1673	3429.77_3429.77	2657.66_2657.66	2123.43_2123.43
1674	3517.2_3517.2	2676.31_2676.31	2141.22_2141.22
1675	3451.02_3451.02	2672.49_2672.49	2113.58_2113.58
1676	3399.84_3399.84	2606.26_2606.26	2093.19_2093.19
1677	3523.29_3523.29	2726.26_2726.26	2214.77_2214.77
1678	3483.16_3483.16	2678.22_2678.22	2114.67_2114.67
1679	3432.79_3432.79	2700.46_2700.46	2099.7_2099.7
1680	3434.12_3434.12	2668.77_2668.77	2118.55_2118.55
1681	3447.58_3447.58	2653.41_2653.41	2120.86_2120.86
1682	3431.27_3431.27	2687.4_2687.4	2154.47_2154.47
1683	3428.32_3428.32	2674.14_2674.14	2140.6_2140.6
1684	3393.22_3393.22	2630.67_2630.67	2098.38_2098.38
1685	3392.09_3392.09	2651.25_2651.25	2059.34_2059.34
1686	3338.95_3338.95	2633.56_2633.56	2058.51_2058.51
1687	3437.65_3437.65	2653.92_2653.92	2027.63_2027.63
1688	3399.3_3399.3	2616.38_2616.38	2047.46_2047.46
1689	3343.07_3343.07	2634.33_2634.33	1970.79_1970.79
1690	3418.46_3418.46	2685.69_2685.69	1982_1982
1691	3516.31_3516.31	2746.68_2746.68	2056.61_2056.61
1692	3436.5_3436.5	2751.13_2751.13	1971.3_1971.3
1693	3471.14_3471.14	2723.24_2723.24	2066.31_2066.31
1694	3447.96_3447.96	2745.52_2745.52	2142.38_2142.38
1695	3441.38_3441.38	2692.16_2692.16	2097.85_2097.85
1696	3434.94_3434.94	2645.08_2645.08	2034.37_2034.37
1697	3413.87_3413.87	2594.06_2594.06	2024.21_2024.21
1698	3444.97_3444.97	2654.69_2654.69	2186.54_2186.54
1699	3374.49_3374.49	2604.04_2604.04	2064.51_2064.51
1700	3416.19_3416.19	2622.45_2622.45	2114.48_2114.48
1701	3378.45_3378.45	2536.48_2536.48	2017.11_2017.11
1702	3419.52_3419.52	2563.3_2563.3	2032.87_2032.87
1703	3400.01_3400.01	2561.83_2561.83	2004.64_2004.64
1704	3448.07_3448.07	2587.12_2587.12	2067.34_2067.34
1705	3489.73_3489.73	2651.64_2651.64	2117.11_2117.11
1706	3482.77_3482.77	2616.4_2616.4	2118.86_2118.86
1707	3417.15_3417.15	2663.97_2663.97	2086.32_2086.32
1708	3346.83_3346.83	2626.23_2626.23	2175.85_2175.85
1709	3377.29_3377.29	2610.95_2610.95	2160.07_2160.07
1710	3455.4_3455.4	2635.09_2635.09	2096.52_2096.52
1711	3416.75_3416.75	2633.49_2633.49	2103.44_2103.44
1712	3479.26_3479.26	2707.84_2707.84	2162.84_2162.84
1713	3396.06_3396.06	2606.64_2606.64	2111.72_2111.72
1714	3376_3376	2613.5_2613.5	2081.73_2081.73
1715	3460.23_3460.23	2603.09_2603.09	2108.83_2108.83
1716	3475.9_3475.9	2621.84_2621.84	2084.13_2084.13
1717	3504.87_3504.87	2682.27_2682.27	2146.8_2146.8
1718	3504.66_3504.66	2705.96_2705.96	2180.04_2180.04
1719	3485.39_3485.39	2693.66_2693.66	2136.77_2136.77
1720	3463.83_3463.83	2670.68_2670.68	2102.57_2102.57
1721	3492.93_3492.93	2716.84_2716.84	2143.66_2143.66
1722	3501.73_3501.73	2691.97_2691.97	2208.63_2208.63
