a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
250	3810.81_3810.81	3083.88_3083.88	2375.22_2375.22
251	3876.78_3876.78	3023.92_3023.92	2313.96_2313.96
252	3845.9_3845.9	2997.68_2997.68	2345.98_2345.98
253	3916.38_3916.38	2955.98_2955.98	2522.1_2522.1
254	3865.13_3865.13	3103.82_3103.82	2419.43_2419.43
255	3908.4_3908.4	3204.9_3204.9	2522.61_2522.61
256	3850.78_3850.78	3086.84_3086.84	2538.41_2538.41
257	3878.83_3878.83	3063.79_3063.79	2495.88_2495.88
258	3931.4_3931.4	3095.73_3095.73	2458.86_2458.86
259	3781.32_3781.32	3011.87_3011.87	2486.15_2486.15
260	3926.53_3926.53	3143.51_3143.51	2605.36_2605.36
261	3973.44_3973.44	3213.04_3213.04	2409.08_2409.08
262	3858.9_3858.9	3124.64_3124.64	2284.97_2284.97
263	3743.73_3743.73	2907.12_2907.12	2313.55_2313.55
264	3952.56_3952.56	3122.06_3122.06	2318.76_2318.76
265	3786.13_3786.13	2997.4_2997.4	2354.17_2354.17
266	3816.36_3816.36	3089.12_3089.12	2478.74_2478.74
267	3911.45_3911.45	3129.86_3129.86	2560.35_2560.35
268	3803.21_3803.21	3018.84_3018.84	2485.57_2485.57
269	3860.51_3860.51	3076.89_3076.89	2469.21_2469.21
270	3881.28_3881.28	3161.71_3161.71	2366.14_2366.14
271	3972.26_3972.26	3006.56_3006.56	2434.39_2434.39
272	3944.01_3944.01	3275.71_3275.71	2574.19_2574.19
273	4010.19_4010.19	3149.02_3149.02	2537.59_2537.59
274	3965.21_3965.21	3105.04_3105.04	2358.07_2358.07
275	3829.51_3829.51	3028.21_3028.21	2354.44_2354.44
276	3745.74_3745.74	2939.9_2939.9	2417.47_2417.47
277	3939.66_3939.66	3141.26_3141.26	2477.86_2477.86
278	3871.59_3871.59	3021.35_3021.35	2361.23_2361.23
279	4021.76_4021.76	3117.93_3117.93	2250.38_2250.38
280	4007.25_4007.25	3115.5_3115.5	2595.18_2595.18
281	3955.74_3955.74	3239.68_3239.68	2614.42_2614.42
282	3912.99_3912.99	3089.99_3089.99	2429.26_2429.26
283	3901.19_3901.19	3109.84_3109.84	2442.23_2442.23
284	4066.87_4066.87	3204.16_3204.16	2606.96_2606.96
285	3848.82_3848.82	3033.71_3033.71	2279.78_2279.78
286	3954.31_3954.31	3268.56_3268.56	2510.57_2510.57
287	4042.41_4042.41	3336.43_3336.43	2425.54_2425.54
288	3893.92_3893.92	3037.13_3037.13	2491.17_2491.17
289	3976.82_3976.82	3096.07_3096.07	2354.1_2354.1
290	3982.59_3982.59	3095.22_3095.22	2357.28_2357.28
291	3864.6_3864.6	3022.95_3022.95	2357.35_2357.35
292	3883.5_3883.5	3096.66_3096.66	2510.84_2510.84
293	3894.76_3894.76	3096.98_3096.98	2479.81_2479.81
294	3910.09_3910.09	3053.14_3053.14	2440.97_2440.97
295	3944.6_3944.6	3173.32_3173.32	2526.47_2526.47
296	3957.7_3957.7	3237.87_3237.87	2564.13_2564.13
297	3932.29_3932.29	3122.22_3122.22	2397.81_2397.81
298	3972.41_3972.41	3139.57_3139.57	2592.2_2592.2
299	3982.85_3982.85	3160.71_3160.71	2381.9_2381.9
300	3977.86_3977.86	3123.46_3123.46	2261.25_2261.25
301	3986.12_3986.12	3208.49_3208.49	2574.98_2574.98
302	4080.55_4080.55	3159.37_3159.37	2434.04_2434.04
303	3940.09_3940.09	3196.55_3196.55	2030.44_2030.44
304	3880.91_3880.91	2949.94_2949.94	2464.96_2464.96
305	3908.76_3908.76	3140.55_3140.55	2683.47_2683.47
306	3973.21_3973.21	3210.68_3210.68	2529.71_2529.71
307	3879.34_3879.34	2954.14_2954.14	2269.51_2269.51
308	3903.32_3903.32	3089.3_3089.3	2379.1_2379.1
309	3827.81_3827.81	2987.87_2987.87	2383.36_2383.36
310	3975.98_3975.98	3147.72_3147.72	2617.28_2617.28
311	3948.68_3948.68	3224.33_3224.33	2349.83_2349.83
312	4066.13_4066.13	3231.06_3231.06	2583.63_2583.63
313	4011.65_4011.65	3047.86_3047.86	2290.23_2290.23
314	3885.15_3885.15	3270.71_3270.71	2539.06_2539.06
315	3859.33_3859.33	3183.88_3183.88	2571.45_2571.45
316	3999.7_3999.7	3117.64_3117.64	2397.41_2397.41
317	3991.14_3991.14	3102.07_3102.07	2372.5_2372.5
318	3919.83_3919.83	3162.61_3162.61	2402.37_2402.37
319	3992.89_3992.89	3165.48_3165.48	2336.51_2336.51
320	3962.04_3962.04	3091.21_3091.21	2204.19_2204.19
321	3910.33_3910.33	3166.53_3166.53	2712.42_2712.42
322	3999.04_3999.04	3045.08_3045.08	2431.39_2431.39
323	3937.49_3937.49	3011.16_3011.16	2400.82_2400.82
324	3889.44_3889.44	3063.39_3063.39	2443.72_2443.72
325	3933.01_3933.01	3095.66_3095.66	2293.81_2293.81
326	3870.41_3870.41	2909.95_2909.95	2344.17_2344.17
327	3983.96_3983.96	3032.46_3032.46	2436.89_2436.89
328	3883_3883	3092.23_3092.23	2498.9_2498.9
329	3822.19_3822.19	3034.46_3034.46	2172.96_2172.96
330	3838.67_3838.67	3102.71_3102.71	2272.19_2272.19
331	3916.52_3916.52	3152.75_3152.75	2542.82_2542.82
332	3896.28_3896.28	3076.56_3076.56	2397.62_2397.62
333	3878.45_3878.45	2997.45_2997.45	2184.99_2184.99
334	4001.65_4001.65	3135.27_3135.27	2579.96_2579.96
335	3931.38_3931.38	3095.46_3095.46	2425.12_2425.12
336	3847.23_3847.23	2995.62_2995.62	2284.21_2284.21
337	3931.69_3931.69	3151.16_3151.16	2465.74_2465.74
338	3990.88_3990.88	3212.19_3212.19	2370.84_2370.84
339	3875.77_3875.77	3021.93_3021.93	2382.02_2382.02
340	3809.91_3809.91	3106.14_3106.14	2355.56_2355.56
341	3906.42_3906.42	2957.66_2957.66	2274.52_2274.52
342	3948.33_3948.33	3023.42_3023.42	2468.21_2468.21
343	3873.23_3873.23	3036.85_3036.85	2466.06_2466.06
344	3913.26_3913.26	3032.1_3032.1	2224.49_2224.49
345	3985.78_3985.78	3023.44_3023.44	2428.12_2428.12
346	3953.87_3953.87	3092.57_3092.57	2393.21_2393.21
347	3954.14_3954.14	3128.45_3128.45	2448.51_2448.51
348	4018.95_4018.95	3202.52_3202.52	2447.73_2447.73
349	3968.22_3968.22	3189.82_3189.82	2498.45_2498.45
350	3932.7_3932.7	3081.47_3081.47	2470.09_2470.09
351	4002.68_4002.68	3092.54_3092.54	2379.98_2379.98
352	3861.19_3861.19	3128.88_3128.88	2501.29_2501.29
353	4012.68_4012.68	3131.75_3131.75	2401.47_2401.47
354	3850.05_3850.05	3117.12_3117.12	2496.35_2496.35
355	3886.64_3886.64	2980.35_2980.35	2314.34_2314.34
356	3829.25_3829.25	2966.6_2966.6	2183.95_2183.95
357	3903.55_3903.55	3034.5_3034.5	2448.33_2448.33
358	3754.43_3754.43	2925.92_2925.92	2277.3_2277.3
359	3897.29_3897.29	2986.84_2986.84	2261.02_2261.02
360	3949.51_3949.51	3072.99_3072.99	2387.27_2387.27
361	3847.16_3847.16	3092.15_3092.15	2352.63_2352.63
362	3958.48_3958.48	3226.32_3226.32	2435.73_2435.73
363	3892.91_3892.91	2944.8_2944.8	2493.9_2493.9
364	3795.33_3795.33	3182.92_3182.92	2400.89_2400.89
365	3929.64_3929.64	3135.9_3135.9	2431.27_2431.27
366	3834.02_3834.02	2885.48_2885.48	2345.22_2345.22
367	3813.02_3813.02	3057.86_3057.86	2485.72_2485.72
368	3819.71_3819.71	3071.55_3071.55	2450.11_2450.11
369	3905.9_3905.9	3065.17_3065.17	2370.11_2370.11
370	3892.55_3892.55	2955.21_2955.21	2363.89_2363.89
371	3937.22_3937.22	3107.21_3107.21	2373.21_2373.21
372	3817.83_3817.83	2904.74_2904.74	2436.74_2436.74
373	3968.58_3968.58	3229.63_3229.63	2604.41_2604.41
374	3968.1_3968.1	2967.18_2967.18	2329.65_2329.65
375	3820.57_3820.57	2982.65_2982.65	2473.11_2473.11
376	3903.49_3903.49	3012.61_3012.61	2274.25_2274.25
377	3919.75_3919.75	3115.04_3115.04	2399.36_2399.36
378	3741.95_3741.95	3027.19_3027.19	2295.18_2295.18
379	3990.14_3990.14	3046.85_3046.85	2402.14_2402.14
380	4005.91_4005.91	3064.13_3064.13	2425.59_2425.59
381	3851.52_3851.52	3156.51_3156.51	2639.43_2639.43
382	3950.63_3950.63	3104.82_3104.82	2359.18_2359.18
383	3921.72_3921.72	2993.49_2993.49	2392.41_2392.41
384	3866.23_3866.23	3010.18_3010.18	2411.55_2411.55
385	3900.48_3900.48	3027.18_3027.18	2336.96_2336.96
386	3908.2_3908.2	3071.61_3071.61	2201.49_2201.49
387	3855.11_3855.11	3063.92_3063.92	2491.33_2491.33
388	3917.19_3917.19	3139.03_3139.03	2534.36_2534.36
389	3792.36_3792.36	3026.13_3026.13	2427.41_2427.41
390	3918.97_3918.97	3087.51_3087.51	2408.94_2408.94
391	3841.91_3841.91	3011.04_3011.04	2361.66_2361.66
392	3855.05_3855.05	2969.6_2969.6	2223.79_2223.79
393	3906.79_3906.79	2956.01_2956.01	2292_2292
394	3927.56_3927.56	3073.11_3073.11	2445.81_2445.81
395	3823.66_3823.66	3042.13_3042.13	2342.86_2342.86
396	3893.55_3893.55	2926.7_2926.7	2268.8_2268.8
397	3956.31_3956.31	3128.61_3128.61	2562.03_2562.03
398	3923.9_3923.9	3031.71_3031.71	2577.91_2577.91
399	3910.59_3910.59	3192.42_3192.42	2445.48_2445.48
400	3900.25_3900.25	3066.19_3066.19	2317.21_2317.21
401	3906.93_3906.93	3039.88_3039.88	2416.11_2416.11
402	3855.71_3855.71	3014_3014	2304.1_2304.1
403	3968.78_3968.78	3118.44_3118.44	2426.89_2426.89
404	3929.41_3929.41	3084.16_3084.16	2375.23_2375.23
405	3858.76_3858.76	3152.5_3152.5	2403.7_2403.7
406	3831.08_3831.08	3151.16_3151.16	2338.47_2338.47
407	3875.24_3875.24	2934.24_2934.24	2204.23_2204.23
408	3932.66_3932.66	3226.03_3226.03	2468.04_2468.04
409	3923.56_3923.56	3180.94_3180.94	2399.5_2399.5
410	3900.07_3900.07	3017.46_3017.46	2400.09_2400.09
411	3792.73_3792.73	3083.26_3083.26	2428.17_2428.17
412	3954.36_3954.36	3125.92_3125.92	2450.21_2450.21
413	3931.43_3931.43	3095.21_3095.21	2219.24_2219.24
414	3714.11_3714.11	2968.93_2968.93	2343.63_2343.63
415	3866.05_3866.05	2928.49_2928.49	2327.99_2327.99
416	3737.9_3737.9	3005.9_3005.9	2477.46_2477.46
417	3916.67_3916.67	3167.26_3167.26	2700.78_2700.78
418	3902.68_3902.68	3136.67_3136.67	2496.62_2496.62
419	3904.62_3904.62	3189.03_3189.03	2473.43_2473.43
420	3907.18_3907.18	2940.72_2940.72	2323.3_2323.3
421	3992.55_3992.55	3075.18_3075.18	2484.93_2484.93
422	3929.97_3929.97	3072.92_3072.92	2402.5_2402.5
