acc_ID,Species_Name
acc228,GCF.003353065.1
acc229,GCA.003695705.1
acc230,GCF.001571405.1
acc231,GCA.005239925.1
acc232,GCA.002347855.1
acc233,GCF.001701045.1
acc234,GCF.000166095.1
acc235,GCA.004212735.1
acc236,GCA.002402325.1
acc237,GCF.900129645.1
acc238,GCA.003151475.1
acc239,GCA.002683655.1
acc240,GCF.000219725.1
acc241,GCF.004209775.1
acc242,GCA.002722135.1
acc243,GCA.002162095.1
acc244,GCF.003664005.1
acc245,GCA.002010665.1
acc246,GCF.000092425.1
acc247,GCA.003577165.1
acc248,GCF.000021725.1
acc249,GCA.001771585.1
acc250,GCA.001800075.1
acc251,GCF.000020985.1
acc252,GCA.005110385.1
acc253,GCF.000011185.1
acc254,GCF.000153825.1
acc255,GCF.000183745.1
acc256,GCA.002419025.1
acc257,GCA.000708525.1
acc258,GCA.003650445.1
acc259,GCA.002779605.1
acc260,GCA.002684655.1
acc261,GCA.002787535.1
acc262,GCA.001577055.1
acc263,GCA.002343185.1
acc264,GCF.001458735.1
acc265,GCA.003141835.1
acc266,GCF.001535965.1
acc267,GCF.000011385.1
acc268,GCA.003972855.1
acc269,GCF.000297215.2
acc270,GCA.002010305.1
acc271,GCA.001771535.1
acc272,GCA.002696685.1
acc273,GCF.000025505.1
acc274,GCA.002469845.1
acc275,GCA.002335945.1
acc276,GCA.002683785.1
acc277,GCA.002011745.1
acc278,GCA.002321895.1
acc279,GCA.004296885.1
acc280,GCF.000015665.1
acc281,GCA.001766815.1
acc282,GCA.001627865.1
acc283,GCF.000153805.1
acc284,GCA.003695015.1
acc285,GCA.000802205.2
acc286,GCF.000213255.1
acc287,GCF.002874775.1
acc288,GCA.005799545.1
acc289,GCA.004295085.1
acc290,GCF.004684205.1
acc291,GCA.002011735.1
acc292,GCF.001458695.1
acc293,GCA.003158175.1
acc294,GCF.000017845.1
acc295,GCF.003815035.1
acc296,GCA.002686595.1
acc297,GCF.005818865.1
acc298,GCA.002705055.1
acc299,GCF.002752635.1
acc300,GCA.002753665.1
acc301,GCA.002709075.1
acc302,GCA.004212155.1
acc303,GCA.001567485.1
acc304,GCA.001871685.1
acc305,GCF.000217795.1
acc306,GCA.003242475.1
acc307,GCA.002721445.1
acc308,GCA.001899175.1
acc309,GCA.001767495.1
acc310,GCA.001800095.1
acc311,GCA.002897855.1
acc312,GCA.005888735.1
acc313,GCA.002238925.1
acc314,GCA.002428055.1
acc315,GCA.004295045.1
acc316,GCA.003973265.1
acc317,GCF.000772705.2
acc318,GCF.000758165.1
acc319,GCA.003584625.1
acc320,GCA.002238965.1
acc321,GCA.002771475.1
acc322,GCA.002685535.1
acc323,GCA.002305165.1
acc324,GCA.004195035.1
acc325,GCA.002307015.1
acc326,GCA.008534395.1
acc327,GCA.001897535.1
acc328,GCF.000012625.1
acc329,GCA.003452935.1
acc330,GCF.000063505.1
acc331,GCA.001898225.1
acc332,GCF.000147355.1
acc333,GCA.003223555.1
acc334,GCA.004195045.1
acc335,GCA.001940655.1
acc336,GCF.003633715.1
acc337,GCA.003864475.1
acc338,GCF.003011125.1
acc339,GCA.004298335.1
acc340,GCA.000299365.1
acc341,GCF.000275825.1
acc342,GCA.002753135.1
acc343,GCA.003242515.1
acc344,GCA.001800315.1
acc345,GCF.000204255.1
acc346,GCA.002313895.1
acc347,GCA.001804915.1
acc348,GCF.000341545.2
acc349,GCA.003134215.1
acc350,GCA.003641695.1
acc351,GCA.002787235.1
acc352,GCA.002405835.1
acc353,GCA.003242085.1
acc354,GCF.002754935.1
acc355,GCA.003140235.1
acc356,GCF.000063445.1
acc357,GCA.001464385.1
acc358,GCA.001469005.2
acc359,GCF.000685155.1
acc360,GCF.000015965.1
acc361,GCF.003173035.1
